plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
FTP,FUCK THE POLICE,Weapons,4,Explicit and Vulgar Language,1,4,1
JGER BMB,JAGER BOMB,Weapons,4,Vehicle Related,0,4,3
LKMYBLZ,LICK MY BALLS,Sexual References,5,Sexual References,4,5,5
OG TIME,OG TIME OG ORIGINAL GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
KSS MAAS,KISS MY ASS,Sexual References,5,Sexual References,4,5,5
QN PUMA,QUEEN PUMA,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
69BRO,"69, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
FK CANZR,FUCK CANCER,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
HRS3 SHT,HORSE SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DKYND69,SEXUAL 69,Sexual References,5,Sexual References,4,5,5
SPHYNX5/,SPHYNX IS CAT BREED #5 FAV NUMBER,Cats and Pets,7,Cats and Pets,6,7,7
415 BORN,BORN IN SAN FRANCISCO 415 SAN FRANCISCO AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
69ELDO,1969 CADILLAC ELDORADO,Vehicle Related,8,Vehicle Related,0,3,3
K TRAXHO,TRACKS HOE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FCKFRND,FUCK FRIEND,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
AUW13 88,13 N 88- GANG N HITLER RELATED,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CANEFAN,IM A UNIVERSITY OF MIAMI HURRICANE FAN. RAISED IN MIAMI,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
RIPPPER,"LIKE RIPPING IT UP, LIKE GOING FAST.",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
A BMF GT,A BAD MOTHER FUCKER GT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
TMSNSHT,TOO MUCH SWAG N SHIT?,Explicit and Vulgar Language,2,Weapons,3,1,4
SVR BLET,VEHICLE IS SILVER AND IS SHAPED LIKE A BULLET SILVER BULLET,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MLHH818,MOTHERS MEMORIAL 818 AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
APXSLYR,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.,Weapons,4,Vehicle Related,0,4,3
DOPEZ33,THE CAR IS A COOL Z 33 ( NISSAN 350Z ) PULLED FOR DOPE (MEANINGING DRUGS) ALTHOUGH THEY MEAN IT AS COOL,Gang and Drug References,0,Vehicle Related,0,0,3
FCUK BOI,FUCK BOY,Explicit and Vulgar Language,1,Sexual References,4,1,5
G&GUNNA,GUN,Weapons,4,Weapons,3,4,4
PENIS69,PENIS 69,Sexual References,5,Area Codes and Regional Pride,7,5,2
AMNUTS6,"I AM NUTS, SLANG FOR CRAZY",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SX/BANGR,"SIX BANGER, SEX BANGER, BANGER CAN BE A TERM FOR A GUN, ALSO CAN BE SEXUAL",Sexual References,5,Weapons,3,5,4
EL GATOG,NICK NAME G AS IN GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
515OFAN,CRAZY FAN,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RIOTBAY,I WORK AT RIOT GAMES (BASED OUT OF LA) IN  THE BAY AREA OFFICE (LOS ALTOS).,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
TILL/DIE,I LOVE FOOTBALL UNTIL I DIE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GORRAM,"MADE UP WORD, REFERENCE TO FIREFLY SCI-FI TV SERIES SLANG FOR A LOT OF THINGS GOD DAMN FROM A TV SHOW",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GARY8IT,MY NAME AND I ATE IT. I LIKE TO EAT,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
MOMS BOX,box=vagina. She has a 2006 Toyota BTM=UT,Vehicle Related,8,Vehicle Related,0,3,3
G1971,LAST NAME INITIAL AND MY BIRTH YEAR,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DUBTREY,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD,Explicit and Vulgar Language,2,Weapons,3,1,4
FUGAA C,"NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
JMAC5O,MY HUSBANDS NICK NAME AND HIS AGE,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BRACAM,BRA CAMERA?,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PWDRHWY,"POWDER HIGHWAY, SOUNDS LIKE POWDER AS COCAINE NOSE",Gang and Drug References,0,Vehicle Related,0,0,3
ASKYB,B COULD STAND FOR BITCH IN THIS CASE. COULD BE ASK WHY BITCH,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DUSTY D,DUSTY DICK,Sexual References,5,Sexual References,4,5,5
G A Y 1,"REFERENCE TO A PERSON WHO IS HOMOSEXUAL, SOME MAY FIND OFFENSIVE OR IT COULD MAKE THE PERSON A TARGET FOR HATRED",Explicit and Vulgar Language,2,Sexual References,4,1,5
BUULITT,BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD BULLET CAR,Vehicle Related,8,Vehicle Related,0,3,3
OZLIVI,KIDS NAMES,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
YLD ASS,WILD ASS/DONKEY /ZEBRA..ITS FOR MY BRONCO WITH ZEBRA STRIPES :),Vehicle Related,8,Explicit and Vulgar Language,1,3,1
MGNUM44,MY NICKNAME IN COLLEGE ON FOOTBALL TEAM,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
IMLAYJR,I AM LARRY ALAN YOUNG JR.,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
D BABIES,DA BABIES,Sexual References,5,Gang and Drug References,2,5,0
BLNT 4C,"MY LAST NAME, BLUNT",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
HFA BOX,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER,Vehicle Related,8,Vehicle Related,0,3,3
SHANGO1,NICKNAME FROM HIGHSCHOOL,Personal Names and Sentimental Values,6,Sexual References,4,6,5
LUBRUP,"LOOKS LIKE LUBE HER UP, SEXUAL",Sexual References,5,Sexual References,4,5,5
ETMYTCO,EAT MY TACO. SEXUAL,Explicit and Vulgar Language,2,Sexual References,4,1,5
URSRVD,YOU ARE SERVED,Sexual References,5,Vehicle Related,0,5,3
PIETRUK,PIE AS OF THE CAKE PIE AND TRUCK BECAUSE THIS IS GOING ON A TRUCK THAT DELIVERS PIE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TIKITNT,TNT-BOMB?,Weapons,4,Explicit and Vulgar Language,1,4,1
NOTCOPS,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS ITS NOT THE POLICE,Weapons,4,Vehicle Related,0,4,3
RD&NECK,RED NECK,Vehicle Related,3,Vehicle Related,0,3,3
MIKE661,NAME AND MONTH YEAR BORN,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
LAHOOD4,LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
31OHWKI,LOS ANGELES IOWA HAWKEYES,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
CAMA55,"no 1955 car, not his birth year. ASS? Last name is Camarena.",Vehicle Related,8,Vehicle Related,0,3,3
2TAL4YU,TO TALL FOR YOU,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KASH 14,KASH = KASHMIR (FAVORITE SONG) 14 = 2014 (YEAR OF VEHICLE),Gang and Drug References,0,Vehicle Related,0,0,3
SUPRB69,"1969 SUPER BEE 69, SEXUAL REFERENCE",Vehicle Related,8,Sexual References,4,3,5
DIRTY V,DIRTY VAGINA,Sexual References,5,Vehicle Related,0,5,3
I$MYCAT,I LOVE MY CAT,Cats and Pets,7,Cats and Pets,6,7,7
LMTHANG,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
YU LEWZ,YOU LOSE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GETVJOB,LIKE BLOW JOB BUT VAGINA JOB,Sexual References,5,Vehicle Related,0,5,3
CONAN G,ITS SHORT FOR MY NICK NAME: CONAN GUO,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
COPS MTR,COPS MATTER,Weapons,4,Explicit and Vulgar Language,1,4,1
NFLXCHL,NETFLIX CHILL,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
WARPONI,"WAR, HOSTILE",Explicit and Vulgar Language,2,Weapons,3,1,4
G RUSTY,GUSTAVOS TRUCK NAME RUSTY,Vehicle Related,8,Vehicle Related,0,3,3
FUNDIO,Spanish slang for ass or asshole,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DCBZ TX,DALLAS COWBOYS TEXAS,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
OGRCON1,INITIALS OF OWNER AND HIS FIRST TRUCK,Vehicle Related,8,Vehicle Related,0,3,3
WAVYAF,WELL-GROOMED INDIVIDUAL AF CAN STAND FOR AS FUCK,Weapons,4,Explicit and Vulgar Language,1,4,1
SMOKT,"SMOKED, DRUG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
DAD$PP,DAD LOVES PP,Sexual References,5,Personal Names and Sentimental Values,5,5,6
PCP SRT,PCP-ANGELDUST A DRUG,Gang and Drug References,0,Gang and Drug References,2,0,0
EL 8A,my last name,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
HOE TOX,PLASTIC SURGERY HOE,Weapons,4,Vehicle Related,0,4,3
UGLY  SS,ITS A 1963 CHEVY UGLY ASS OR SIMPLY SS TYPE,Vehicle Related,8,Vehicle Related,0,3,3
BIG A JP,BIG ASS JEEP/JAP,Vehicle Related,8,Vehicle Related,0,3,3
R8RSCUM,RAIDER SCUM OR RAIDERS CUM. EITHER ONE IS INAPPROPRIATE AND VULGAR,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
YOGI CAT,I TEACH YOGA AND LOVE CATS,Cats and Pets,7,Cats and Pets,6,7,7
SHRK FN,SJ SHARKS HOCKEY FAN,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OG49ERS,OLD SCHOOL 49ERS FAN,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
BSTRDS,BASTARDS,Sexual References,5,Explicit and Vulgar Language,1,5,1
OG $4L,MY FIANCE NAME IS OWEN GARNETT AND MY NICKNAME IS LOLA. OWEN GARNETT HAS LOVE FOR LOLA. OG ORIGINAL GANGSTER,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
TRK YEAA,TRUCK YEAH FUCK YEAH,Vehicle Related,8,Vehicle Related,0,3,3
DD WANDA,DOUBLE D WANDA. MIDDLE INITIAL IS D.,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
F URESTI,EFF YOU. BUT IT IS CUSTOMER FIRST INITIAL AND LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BGAS WNG,BIG ASS WANG,Sexual References,5,Weapons,3,5,4
CHRMNMF,CHAIRMAN MOTHER FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
YOUNG YG,YOUNG GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GNSQAD,GOOGLE AND URBAN SAY GROUP OF CRIMINALS,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
RED BUL8,"PULLED FOR RED, ALSO BULLET?",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KLNSHOT,GRANDPA ALWAYS SAYS CLEAN SHOT!.,Explicit and Vulgar Language,2,Weapons,3,1,4
RED ROGR,RED-GANG. CUSTOMERS NAME IS ROGER,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
EWEFKR,"FKR, SHORT FOR FUCKER",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BODHI3,"BODHI IS A TYPE OF TREE IN INDIA AND THAILAND THAT HOLDS SPECIAL MEANING FROM A BUDDHIST PERSPECTIVE, THREE IS JUST A NUMBER",Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
EFFSBLK,FUCK BLACKS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
HACK U,I AM A SECIRITY ENGINEER AND HACKING IS PART OF MY JOB. I HAD THE PALTE H4CK U WHEN I WAS IN AZ AND I WANT TO KEEP THE SAME PLATE CHANGED TO CA REGULATIONS.,Weapons,4,Explicit and Vulgar Language,1,4,1
GET WOD,"SIMILAR TO GET WOOD, WOOD CAN BE ANOTHER NAME FOR PENIS. GET WOOD IS SIMILAR TO GET HEAD, SEXUAL",Sexual References,5,Sexual References,4,5,5
FNDRY 1,EFFIN DRY ONE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
IH8BIFF,I HATE BIFF,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
IPA PRN,BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN,Gang and Drug References,0,Sexual References,4,0,5
TEARUP,tear up like cry or tear up like destroy,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DKHOR35,"DKHOR IS SIMILAR TO DICK WHORE, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
HELAPNO,JALAPENO,Gang and Drug References,0,Vehicle Related,0,0,3
KILLEEN,LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GOLDIN P,GOLDEN SHOWER,Explicit and Vulgar Language,2,Sexual References,4,1,5
LVOVRH8,LOVE OVER HATE,Explicit and Vulgar Language,1,Personal Names and Sentimental Values,5,1,6
BDKTYKC,BAD KITTY,Cats and Pets,7,Explicit and Vulgar Language,1,7,1
GRINDIT,COULD BE SEXUAL,Sexual References,5,Sexual References,4,5,5
IHUNTER,I AM A HUNTER,Explicit and Vulgar Language,2,Weapons,3,1,4
BAD 6D9,BAD 69,Sexual References,5,Explicit and Vulgar Language,1,5,1
MSNIKA,MS.NIKA,Explicit and Vulgar Language,2,Sexual References,4,1,5
UMTACOS,UM TACOS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
G GOMEZ,Name of Son,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
831 SURF,AREA SURF CA AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
FOOKDUP,FUCKED  UP,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
LTSBRN1,LETS BURN ONEâ A JOINT,Explicit and Vulgar Language,2,Weapons,3,1,4
THZ NUTS,THESE NUTS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SHTSHAK,SHIT SHACK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
YRU FAT,WHY ARE YOU FAT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
JUICE 88,88 HITLER REFERENCE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
UP GANG,"GANG, GANG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
DVEL666,DEVIL 666,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
R69DART,"69, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
RED ETIC,RED=GANG COLOR,Vehicle Related,3,Gang and Drug References,2,3,0
DA SUCIA,DIRTY IN SPANISH,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GOON RJK,GOON THUG,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
POO MNY,POO MONEY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NTHWK13,NIGHT HAWK 2013,Vehicle Related,8,Weapons,3,3,4
8ONE8DC,8ONE8 MEANS THE AREA CODE I LIVE IN AND DC IS MY INITIALS DAVID CONTRERAS,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
GXCMNDX,GO CAMANDO CUSTOMERS ARE USING X AS SUBSTITUTIONS,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
RS7NICA,NICA CAN BE ANOTHER WORD FOR NIGGA,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
YPAPA D,WHY PAPA D,Sexual References,5,Personal Names and Sentimental Values,5,5,6
LARSCAT,LARRYS KAT. OUR TWO NAMES TOGETHER.,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
DAM 4WD,DAVID ALAN MCCLAFFERTY 4 WHEEL DRIVE,Vehicle Related,8,Vehicle Related,0,3,3
BL3UBYU,BLUE BAYOU,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
KUNEB8O,SIMILAR TO COON WHICH CAN BE A RACIAL TERM,Weapons,4,Explicit and Vulgar Language,1,4,1
MY13CAM,I OWN A 2013 CAMARO,Vehicle Related,8,Vehicle Related,0,3,3
BLIZZ69,69 SEXUAL,Sexual References,5,Sexual References,4,5,5
NAHAL G,LAST NAME G AS IN GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
G UPINIT,Get up in it,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KUDAH,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
DJ DAANK,DANK AS IN WEED,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
NSFW 911,PORSCHE MODEL 911 Not safe for work (NSFW),Vehicle Related,8,Vehicle Related,0,3,3
BCHNART,BITCHIN ART,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ROYALDP,"DP CAN STAND FOR DOUBLE PENETRATION, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
PIE VAN,PUSSY VAN?,Vehicle Related,8,Vehicle Related,0,3,3
F14 AT,F14 = TOMCAT JET AT = NAVY RATING,Vehicle Related,8,Vehicle Related,0,3,3
CAT CALI,MY CATS NAME IS CALI.,Cats and Pets,7,Cats and Pets,6,7,7
NOPOSSI,NOPOSSI = NO PUSSY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
M9 M9 M9,M9 IS A BERETTA M9,Weapons,4,Vehicle Related,0,4,3
24ME14U,TWO FOR ME ONE FOR YOU,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
GLKNSIG,TWO FIREARM MANUFACTUERS I LIKE. GLOCK AND SIG SAUER,Weapons,4,Weapons,3,4,4
OGVIBES,OG VIBES,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TCHNGK,LOVE TEACHING KINDERGARTEN,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
ZEN GAGE,THE MEANING OF THE LICENSE PLATE MEANS TO ENGAGE IN PEACE AND MEDITATION. ZEN MEANING THE MEDITATION GARDEN IN JAPAN AND GAGE MEANING IN GOOD FAITH.,Gang and Drug References,0,Vehicle Related,0,0,3
FKYRCH,FUCK YOU RICH?,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
44O B1GB,"SUB 1 FOR I, AND BIG B=BIG BITCH",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NUG LIFE,THUG LIFE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
IEATROX,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.,Vehicle Related,8,Vehicle Related,0,3,3
MACTEP,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",Explicit and Vulgar Language,2,Sexual References,4,1,5
LIK 2 HIT,LIKE TO HIT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RD KING1,"ROAD KING, OR RED KING. MOTORCYCLE",Vehicle Related,8,Vehicle Related,0,3,3
BLAYZ,"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI",Gang and Drug References,0,Gang and Drug References,2,0,0
RODNOCK,ROD CAN BE ANOTHER WORD FOR PENIS,Sexual References,5,Sexual References,4,5,5
71HOTBX,DRUG REFERENCE,Gang and Drug References,0,Gang and Drug References,2,0,0
BADAF71,BAD AS FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BIGRRED,BIGGER RED,Vehicle Related,3,Vehicle Related,0,3,3
4BUCKIN,SOUNDS LIKE FOR FUCKIN,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
88 PORS,YEAR OF CAR,Vehicle Related,8,Vehicle Related,0,3,3
RLL HRD,REAL HARD,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LCNLOAD,LOCK AND LOAD,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DUBZ51O,"MY NICKNAME AND WHERE IM FROM, DUBS COULD ALSO MEAN WINS",Personal Names and Sentimental Values,6,Gang and Drug References,2,6,0
LCAT 707,MODEL OF VEHICLE AND HORSEPOWER 707 AREA CODE,Vehicle Related,8,Vehicle Related,0,3,3
LXUS688,PERSONAL LUCKY NUMBERS,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
G THANG5,G THANG AS IN GANGSTA THANG,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
REDTEE,FAVORITE COLOR AND FIRST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
NAYNAY1,NICK NAME OF FIRST NAME (RENEE),Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
IH8T4O5,I HATE THE 405 FREEWAY,Vehicle Related,8,Vehicle Related,0,3,3
1971 PIG,YEAR I WAS BORN AND THE TRUCK IS FOR SHOP USE TO MOVE ITEMS AROUND IN THE MUD.,Vehicle Related,8,Vehicle Related,0,3,3
BLU LINE,SUPPORT OF POLICE OFFICERS,Weapons,4,Personal Names and Sentimental Values,5,4,6
EG OKI,ERIMI GARDUNO OKINAWA,Gang and Drug References,0,Vehicle Related,0,0,3
RNBW WAR,"IT MEANS RAINBOW WARRIOR, probably war against gays ""rainbow"" being gay",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RMRZ 714,RMRZ IS AN ABBREVIATION FOR RAMIREZ WICH IS A LAST NAME AND 714 MY AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
IS 16 MAG,MAG  AS INMAGAZIEN GUN,Weapons,4,Weapons,3,4,4
OLBLU68,ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR OL BLUE,Vehicle Related,3,Vehicle Related,0,3,3
DRK MRK,"THE NICKNAME GIVEN ME BY MY FRIENDS IS DARK MARK, AS I AM NAMED MARK AND CAN NEVER GET TAN. OVER THE YEARS I HAVE EMBRACED THE NAME.",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
13B FTW,13B ENGINE FOR THE WIN,Vehicle Related,8,Vehicle Related,0,3,3
PSTACCI,NICKNAME - PINO STACCI,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
PCMRR8C,PC MASTER RACE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
BLDNGUT,TRAUMA SURGEON (BLOOD AND GUT),Weapons,4,Vehicle Related,0,4,3
FUNDU,"IM A LOAN OFFICER AND FUND LOANS;  FUND U MEANING, I WILL FUND YOUR LOAN.",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
RNUOVER,"THREATENING, RUN YOU OVER",Explicit and Vulgar Language,2,Weapons,3,1,4
65QTPIE,"65 car year, QT Pie = Cutie pie",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RMBER M3,Remember Me,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
CHRRBMB,CHERRY BOMB IS THE NAME OF MY 1999 RED MAZDA MIATA,Vehicle Related,8,Vehicle Related,0,3,3
MNTN BLU,WE LIVE IN THE MOUNTAINS AND DRIVE A BLUE CAR,Vehicle Related,3,Vehicle Related,0,3,3
C8ZBTCH,"BTCH COULD BE SHORT FOR BITCH, PROFANITY",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
