index,plate,review_reason_code,customer_meaning,reviewer_comments,status
15635,5OF15O,5,V8 FORD TRUCK,POLICE REFERENCE,N
4227,BB8BBBB,,INTERESTING,LOOKS LIKE B IS BEING SUBSTITUTED FOR A 8,N
18995,4HI NFLY,7D,"4x4 high, fly down trail, jeep",high,N
19088,POP FISH,,PAPA FISH,FISH,Y
7509,SEXY9SS,1,FOR MY 69 CAMARO,SEXY,N
8556,FKMC USA,3,NO MICRO,FUCK,N
20944,AMBUSHD,2,NAME OF CUSTOM CAR,ambush=attacking unexpectedly from a concealed position.,Y
10807,CHOLOLO,7,NICKNAME,CHOLO IS GANG SLANG,N
10374,CALI MF,3,CALIFORNIA MANSFIELD FAMILY,CALI MOTHER FUCKER,N
21416,WATCH U,2,I AM IN THE SECURITY PROFESSION AND ITS MY JOB TO WATCH PEOPLE,YOU CAN BE CONSIDERED HOSTILE,N
16136,I77IKEB,,MIKE B,MIKE B,Y
19368,IM BLAKY,2,NICKNAME,OFFENSIVE?,N
21392,SHUKR 13,2,THANK GOD,"13, GANG REFERENCE",N
5709,AA ANG13,2,GRANDMOTHER AND GRANDFATHERS INITIALS,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
22271,CLWM13,2,SENTIMENTAL LETTERS AND NUMBER TO ME.,13=GANG,N
21676,BVR IX,1,BRANDON VINICIUS RIVERA NUMERAL NUMBER 9 FOR MY BIRTHMONTH SEPTEMBER,PULLED FOR BVR = BEAVER?,N
4360,89ROLLA,1,1989 TOYOTA COROLLA SHORT TERM- 89 ROLLA,"NO TOYOTA ON ANI, URBAN DIC SAYS ROLLA=A HO",Y
14198,3JOHS5A,3,PERSONAL,ASSHOLE BACKWARDS,N
10246,OG 12 NG,2,NO MICRO AVAILABLE,OG ORIGINAL GANGSTER,N
13899,TRQ KING,,TORQUE,TRUCK KING TORQUW KING,Y
1331,BRAP RDI,2,no micro,BRAP COULD BE A FGUN SOUND OR SOUND OF A VEHICLE,N
5934,ANALE5O,1,ANALE IS MY FIRST NAME. 1950 IS MY BIRTH YEAR,ANAL…CUSTOMERS NAME IS ANALE,N
1646,SYXTNYN,1,YEAR OF CAR,"69, no 1969 car on ani",N
17474,HNTNTK,2,HUNTING TRUCK,"HUNT, HOSTILE",Y
13670,R GUNDAM,3,R IS FOR MY NICKNAME ROY AND GUNDAM ITS A FIGHTING ROBOT FROM A JAPANESE CARTOON,GUN DAMN,N
13412,YTSTME,2,WHY TEST ME,SOUNDS LIKE AN AGGRESSIVE PHRASE,N
18412,FADEDME,7D,HAIRSUT STYLE,FADED CAN MEAN BEING UNDER THE INFLUENCE OF DRUGS,N
14220,ARY5OH,5,MY NAME WITH THE CAR I DRIVE,"5OH, POLICE REFERENCE",N
14667,MAY*88,2,NO MEANING ON REG 17,88=HATE SYMBOL,N
23179,NOFXCKS,3,FAMILY MEMBERS FIRST INTIALS,"NO FUCKS, PROFANITY",N
7899,ECO BLUE,2,ECOLOGICAL BLUE (COLOR OF VEHICLE),BLUE=GANG COLOR,Y
3089,PJ 13,2,PHATTHANA JOHNSON 2013,13 GANG REFERENCE,N
3095,SWT INDO,D,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN,AS IN INDICA AS IN WEED,N
5193,O818 HB,2,DATE: AUGUST 8. HUNNY HUNCHES (SHOULD BE BUNCHES?),SEEN AS 4 NUMBERS OR DOES THE AREA CODE STAND OUT?,N
6985,DUCK THS,3,UNIVERSITY OF OREGON DUCKS: DUCK THIS,FUCK THIS,N
14595,69ZEN,1,DRIVING THIS 1969 VEHICLE IS LIKE BEING IN  PERFECT ZEN,"69, SEXUAL REFERENCE",N
9455,HH 20,2,INITIALS AND BIRTHDAY,HAIL HITLER,Y
1974,IEATAZZ,1,MY PASSION,I EAT ASS,N
20495,LOVOVH8,2,LOVE OVER HATE,"LOVE OF HATE, HOSTILE",Y
16792,14U269,1,ONE FOR YOU TO 1969,"69, SEXUAL REFERENCE, 14, GANG REFERENCE",N
3955,916 FLOR,2,COMPANY/BUSINESS NAME. 916 FLOORS,CA AREA CODE,N
12160,ONEAKA,D,MICRO UNAVAILABLE,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Y
11652,2CAT$ME,1,MY 2 CATS LOVE ME,CAT,N
4821,TD RAREB,3,NOT ON QUICKWEB YET,RARE BITCH?,N
16243,SXYLITB,1,SEXY LITTLE BUICK,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH",N
1976,KLR SRL,7,A FAST DATSUN ROADSTER SRL IS THE MODEL,KILLER?,N
5012,BUNNY 13,2,RABBIT AND MY DAY OF BIRTHDAY,has 2013 Hyundai and Toyota (bunny?) 13=gang number,N
10410,FPD A21,5,I AM RETIRED FROM FONTANA POLICE DEPT. A21 WAS MY ID NUMBER,FONTANA POLICE DEPT-FPD,N
19046,GRUNK,,GRUMPY UNCLE ...GRUNKLE..SHORTENED TO GRUNK,AKA EAR WAX OR MARIJUANA SATIVA  STRAIN,N
21820,25O77H1,6,NO MEANING,COMMERCIAL PLATE,N
19161,MIKYMFP,,NAME AND INITIALS,MIKEY MOTHER FUCKIN P,N
16437,NANDU G,2,name,G AS IN GANGSTER,N
14425,TRCY XTC,7D,"TRACYS ECSTASY, DRIVING MY JOY",PULLED FOR XTC = ECSTASY,N
20826,VRW$RDN,1,MY NAME AND MY PROFESSION,VRW LOVES RIDIN,N
7461,THE NUTS,1,MEANING BEST HAND IN POKER,NUTS,N
7595,PIZDETZ,3,HELLO,FUCK/FUCKING IN RUSSIAN,N
12920,TRANS,4,TRANSGENDER,"TRANS, WORD FOR A TRANS GENDERED INDIVIDUAL, COULD BE TARGET FOR DISCRIMINTATION",Y
20516,LIBTARD,2,NAME,"TARD, SHORT FOR RETARD WHICH IS A DEROGATORY TERM FOR A PERSON WITH A DISABILITY",N
13671,RLKYK13,2,ROBERT LUCKY KHAN 13,13 GANG REFERENCE,N
16697,1REDWGN,2,TO GO ON MY RED FORD EXPLORER (WAGON).,"RED, GANG REFERENCE",Y
10350,PIN MOVR,7,I USE THIS VEHICLE FOR MY PINBALL GAMES,PIN LIKE NEEDLES?,Y
21812,XSUCIAX,2,IT MEANS DIRTY IN SPANISH I WANT IT FOR MY 67 CHEVY THAT IS EXTREMELY COVERED IN PATINA WHICH MAKES IT LOOK DIRTY.,SUCIA DIRTY,N
23,LHGLA88,2,TRAVEL THROUGH LOS ANGELES,88 HITLER REFERENCE,N
13440,CAR$LG,2,MY NICK NAME,"G, GANG REFERENCE",Y
4433,1BDAS69,3,ONE AS BAD AS A 1969 (IT’S A CLONE CAR SO IT IS AS CLOSE AS A 1969 PLYMOUTH GTX),ONE BADASS 69,N
4641,SUE 14,2,NO MICRO,COULDNT VERIFY 2014 VEHICLE,N
12438,PSYCO5O,,5.0 MUSTANG NAME OF CAR,"5O, POLICE REFERENCE",N
11548,SLUMPT,2,SLEEPY,TO BE HIGH OR INTOXICATED,N
11979,FABB88,2,FLECKY AVALON BENJAMIN AND BREE (MY DOGS) 88 (MY FAVORITE NUMBER),"88, HITLER REFERENCE",N
17397,CAN28O5,2,LAST NAME AND AREA CODE OF BIRTH,AREA CODE,Y
15455,BLUTBRD,2,BLUE THUNDERBIRD (FORD),"BLUE, GANG REFERENCE",Y
14941,AWOL13,2,MEANING ON REG 17 NOT LEGIBLE,13 = GANG NUMBER,N
16533,ORNARY,2,ORNARY,HOSTILE,Y
22300,MILO51O,2,SONS NICKNAME AND BIRTHDAY,AREA CODE,N
21502,CA XEMPT,5,CALIFORNIA EXEMPT,MISREPRESENTATION?,N
6670,CFF88,2,NO MICRO,88-HITLER,N
7336,993 C4,2,993 (THE CAR IS A 993/911) AND C4 IS MEANS ITS A 4 WHEEL DRIVE MODEL,C4 IS AN EXPLOSIVE,Y
19757,PIANO88,2,IM A PIANO STUDENT.  THE NUMBER 88 REPRESENTS THE 88 KEYS ON THE PIANO KEYBOARD. THX,"88, GANG REFERENCE",N
19302,LOZBLTZ,7D,LOS BOLTZ WHICH IS REFERRED TO THE BOLTS FOR THE SAN DIEGO CHARGERS FOOTBALL TEAM.,BLITZ IS ANOTHER WORD FOR GETTING HIGH,Y
15963,BOX ROKN,1,JUKE BOX A ROCKING. MUSIC,BOX COULD HAVE SEXUAL CONNOTATION,N
18596,PURE FN,,MY COMPANY NAME IS PURE FINANCIAL,PURE FUN OR PURE SEX,Y
1302,EL BULLY,2,MEANS MY 1964 IMPALA IS NUMBER 1 IN ITS CATEGORY,BULLY,N
2266,13 JENL,2,"13 IS MY LUCKY NUMBER, JENL IS MY NAME WITH LAST NAME INITIAL",13-GANG,N
11935,BLU R2D2,2,THE COLOR BLUE AND THE STAR WARS CHARACTER R2-D2,BLUE,Y
9502,CQC DZYN,1,MY COMPANY NAME. CLOSE QUARTERS CONCEPT & DESIGN,CQC-COCK,N
15230,ATOM KRU,7D,CHILDS NAME,ATOM BACKWARDS MOTA = WEED,N
6886,GBC BOSS,7,"OWNER OF BUSINESS, GENTLEMANS BARBER CLUB.","GBC IS GARDEN BLOCC CRIPS. A GANG IN THE MEADOWVIEW AREA MADE UP OF THE 21ST, 24TH AND 29TH STREET CRIPS.",N
17283,BHINDS,1,MY FIRST INITIAL AND LAST NAME,"BEHINDS, A WORD FOR BUTTS, SEXUAL REFERENCE",N
5500,BLU BHDA,1,NICKNAME OF VEHICLE,blew Budda,Y
22353,APRIL 13 -,2,MONTH AND DATE,13=GANG,Y
6535,DHILL88,2,MY COMPANY NAME,88-HITLER,N
19460,ZTJ 6688,2,"ZHONG TIAN JIAN, 6688 (LUCKY #)",88 = HATE NUMBER,Y
11108,BRO GTFO,3,A GREETING AMONG FRIENDS,GTFO=GET THE FUCK OUTTA HERE,N
5726,MAXXKAT,1,FIRST NAMES MIXED TOGETHER,"no cat car, customer is Maxim and wife is Kathleen",Y
6758,DRG N ME,3,DOCTOR AND ME,DRUGS,N
15137,SLAVEX1,2,STAR WARS,COULD BE AN OFFENSIVE TERM,N
5757,SOHI 1,D,not on quickweb yet,"so high, but customer last name is Sohi",N
2651,BRKNSHT,,BREAKING IT,BREAKING SHIT,N
14675,NSX ISH,3,TYPE OF CAR MODEL,ISH=SHIT,N
6853,RDMYPNY,1,SONG LYRICS-MUSTANG,RIDE MT PONY-SEXUAL. DOES HAVE A 1990 FORD,N
3484,ORIGNL G,2,ORIGINAL GELANDEWAGEN (G WAGEN),G,N
15712,BOOGGR,3,NOT ON QUICKWEB YET,"BOOGER, REPULSIVE",Y
17379,MYHIGH2,7D,MY EMOTIONAL EXPERIENCE DRIVING THE CAR,"HIGH, DRUG REFERENCE",N
17893,DRPODI,"7D, 3",NICKNAME AND I AM A DOCTOR,URBAN DICTIONARY SAYS PODI=MARIJUANA. 9 UP 8 DOWN. ALSO SOUNDS LIKE POTTY,N
17795,PSYCHPS,1,AM A PSYCHOLOGIST IN PALM SPRINGS,LOOS LIKE A SEXUAL REFERENCE OR PSYCH PS,N
17288,BLUEINC,2,BLUE LINE INC,"BLUE, GANG REFERENCE",Y
22664,OMFP,3,RADIO CALL SIGN FOR ON THE MOVE FROM MY POSITION.,"OMF A LOT OF TIMES IS AN ACRONYM THAT MEANS OH MY FUCKING… (FOR EXAMPLE, OMFG IS OH MY FUCKING GOD), TO ME THE PLATE LOOKS BAD. THE P COULD STAND FOR ANYTHING",N
12286,YO GSTER,2,MY YOGA RIDE,YO GANGSTER,Y
9785,LMFAO SS,3,NAMES OF ALL MY KIDS LIZZIE MANNY FRANK OCTAVIO SELINS SUSIE,LMFAO-LAUGHINGMY FUCKING ASS OFF,N
7144,FFR818S,7,NO MICRO,818 CA AREA CODE,N
13980,BL CAT7,1,no meaning on Reg 17,"cat=pussy, Honda on ani",Y
14912,PISSALE,2,STEP ON IT,PISS SALE,N
11508,TACOKEV,1,KEVINS TACOMA,"TACO, SEXUAL REFERENCE",Y
21678,CAN2357,2,LAST NAME & MODEL OF CAR,"PULLED FOR 357, Has 05 Dodge, 86 Chevy",Y
770,ANGEL G,7,NAME,G-GANGSTER,N
12653,PITOLCO,2,NICK NAME,PITO IS SPANISH SLANG FOR PENIS,N
20048,REDWYN,2,I LOVE RED WINE,"RED, GANG REFERENCE",Y
15615,XSIX13X,2,6/13 BIRTHDAY MONTH AND DAY,"13, GANG REFERENCE",N
3866,FEC13OE,2,FLIGHT ENGINEER C130E,13 GANG REFERENCE,N
12054,YEECUDI,1,A SAYING FROM WHERE IM FROM IN CA,"CUDI IS ANOTHER WORD FOR VAGINA, SEXUAL",N
21079,WANGINC,1,MY FIRST COMPANY ESTABLISHED IN CALIFORNIA,"WANG=PENIS, IS ALSO CUSTOMER LAST NAME",N
604,RED13,,WIFES COLOR OF HAIR AND FAVORITE NUMBER,"RED, GANG COLOR. ALSO 13, HAS A 2013 AND 2014 CAR.",Y
5643,LEO#18,2,NO MICRO,18-HITLER,N
11718,SPD YOLO,5,NOT ON QUICKWEB YET,PD=POLICE DEPT (OR IS IT SPEED?),N
8680,911 SPEC,2,PORSCHE,911 EMERGENCY SPECS,Y
21642,OGVETT,2,not on quickweb,"og=original gangster, customer is Doug",N
10033,14TKOFF,2,ONE FOR TAKE OFF 9AIRPLANE HOLDING SHORT OF THE RUNWAY),"14 HATE SYMBOL, NO 2014 CAR",N
9495,BBULITT,7,A CLASSIC AUTOBOBILE MOVIE REFERENCE,BULLIT?,N
5325,GT4GASM,1,VEHICLE MODEL IS RARE PORSCHE GT4 WITH GEOMETRIC ACTIVE SUSPENSION MANAGEMENT,orgasm,N
23070,PTSTLER,1,PITTSBURGH STEELERS,PT= PANTY,N
13961,MK PINK1,,MARY KAY CONSULTANT,PINK,N
15063,I$ART D,,I LOVE ARTHUR DIAZ.,I LOVE D,N
5499,BIG 13,2,NICKNAME AFTER JERSEY NUMBER WORN FROM PLAYING COLLEGE FOOTBALL,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
6849,IMTRIPN,7,I AM TRIPPING,COULD BE A DRUG REFERENCES IM TRIPPING,N
10748,IMBLAZE,2,IM BLAZE (BLASDEL),BLAZE AS IN SMOKE WEED,N
14690,TORPEX,2,OLD SCHOOL NAVY,ITS AN EXPLOSIVE,N
13664,NA414O9,6,ANNIVERSARY DATE,POSSIBLE LOOK A LIKE TRAILER,N
9361,OHBLEEP,7,OH BLEEP;THATS USUALLY THE RESPONSE WHEN PEOPLE SEE THE CAR. I HAVE  BUILT MANY SHOW CARS WITH SOME VERY DETAILED MODIFICATIONS. OH BLEEP  IS A COMMON RESPONSE.,BLEEP IS USED INSTEAD OF A CUSS WORD?,Y
20100,BOOOOBA,1,MY HUSBANDS NICKNAME FOR THE PAST 20 YEARS,PULLED FOR BOOB,N
5467,WAGN 8U,2,CARS MODEL,ATE AL SO COULD MEAN TO BEAT,Y
21351,JAZ CUTZ,1,IM A LICENSED BARBER AND COSMETOLOGIST. JUST MEANING JAZMIN CUTS..,CUT IS A WORD MEANING TO HAVE SEX,N
19888,TFNY BX,1,TIFFANY BOX,PULLED FOR BOX,N
5802,G HAUS,2,RESTURANT IN FAIRFAX CA,G AS IN GANGSTER,N
21886,OURFN81,3,OUR FUN 1981,OUR EFFIN 81,N
23301,NOTAF&G,3,NO TORQUE AT FORCE*GRAVITY,NOT A FUCK GIVEN,N
2546,OUR BB 8,2,SINCE MY JEEP IS REYBCON . . OUR TRAILER SHOULD BE BB8 . . .MY NAME IS REY.,OUR BABY ATE?,Y
21717,T WILLI,2,NICKNAME,PULLED FOR WILLI Customers name is Tyler Williams,Y
937,UCK EEP,2,INITIALS,MISSING LETTERS? FUCK DEEP?,N
14828,4S1F5C,2,SAN FRANCISCO CA 415,AREA CODE,N
18149,XTRA ICE,,NICKNAME BECAUSE I ALWAYS ASK FOR EXTRA ICE,DIAMONDS OR DRUGS,N
12435,O2729A1,,THESE ARE THE PLATES ISSUED TO US ORIGINALLY FROM THE DEPARTMENT OF  MOTOR VEHICLES.,LOOK ALIKE,N
8425,OLA POPO,5,no quickweb,HOLA POPO= HELLO POLICE,N
164,AKK47,2,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.",LOOKS LIKE AK 47 AS IN GUN,N
19171,WOOD BOX,,WOODEN BOX,WOOD AND BOX SEXUAL REFERENCE,N
3150,HIGH OCT,D,NO MICRO,HIGH,Y
2666,FNONER,3,NO MICRO,FN-FUN OR FUCKEN,N
5343,TERRA18,2,NOT AVAILABLE ON QUICKWEB YET,18=HATE SYMBOL,N
15588,SHEETZU,3,SHIH TZU DOG BREED LOVER,"MOST LIKELY TALKING ABOUT THE DOG, BUT SHEET CAN BE A WORD USED FOR SHIT",N
14563,SWTTPIE,1,MY CATS NAME IS SWEETIE,"SWEETIE PIE, COULD BE A SEXUAL TERM",Y
10891,EF 6,3,NO MICRO,EF-SLANG FOR FUCK,N
6513,EUC CUC,3,INTIALS,NOT INTIALS-CUC ON URBAN SAYS CUC MEANS SHIT IN CHINESES,N
14358,OSHMSTR,3,NICKNAME,OSH IS SHORT FOR OH SHIT,N
10636,MDR LIVN,2,MARINA DEL REY LIVING,MURDER LIVIN. CUSTOMER LIVES IN MARINA DEL REY. ON A WHALE TAIL PLATE,N
6760,FLYNG V,1,AN OFFENSIVE STRATEGY FROM MY FAVORITE HOCKEY MOVIE. ALSO A DUCK FORMATION WHEN THEY ARE FLYING,V=VAGINA,N
21853,DA BLKZ,2,OUR FAMILYS LAST NAME,"THE BLACKS, IT IS HER LAST NAME",N
3968,FAST 88,5,NO MICRO,88 HITLER REFERENCE,N
4016,88MMR11,2,"MY BIRTH YEAR, MY INITIALS, MY SONS INITIAL AND BIRTH YEAR",88-HITLER,N
946,NO BE S,3,NO MICRO,NO BULLSHIT,N
9690,CHKNCRK,3,WE MAKE CERTIFIED ORGANIC BACKYARD CHICKEN TREATS. OUR BEST SELLER IS CHICKEN CRACK. CHECK IT OUT… HTTP://WWW.TREATSFORCHICKENS.COM/ORGANIC-PRODUCTS/TREATS/,CHICKEN CRACK. PULLED FOR DRUG CONNOTATION BUT HER MEANING IS TRUE,N
253,DRTY SXO,1,TRUCKS ALWAYS DIRTY AND IS A 6 LITER ENGINE,DIRTY SEX (SEXO=SEX IN SPANISH),N
1636,REDHOT2,2,RED HOT TWO,RED=GANG COLOR,Y
18318,BLKPWR1,2,ALL BLACK DODGE CHALLENGER WITH BLACK FEATURES/ACCENTS. PLATE MATCHES THEME OF VEHICLE.,"BLACK POWER, SOME COULD FIND OFFENSIVE OR RACIST",N
12699,82 OG,2,82 ORIGINAL,"OG=ORIGINAL GANGSTER, HAS A 2011 MERCEDES",N
21566,SHOTOUT,2,SOFTBALL TEAM NAME,PULLED FOR SHOT,N
17665,REDVDG,2,RED VIZSLA DOG,"RED, GANG REFERENCE",Y
18133,STK 5OHH,,STOCK 5.0 MUSTANG,COPS,Y
3322,IMPELLO,1,LATIN WORD MEANING: TO PUSH FORWARD,"google translate says, thrust, strike, beat off",N
4386,COTA 18,2,LAST NAME FAVORITE NUMBER,18-HITLER,N
4745,7NT X XX,1,MICRO NOT AVAILABLE,XXX SEXUAL TERM,N
18917,VICHY5 O,5,COMPANY NAME,PULLED FOR 5O,N
12028,RFTC,5,"RFTC IS THE INITIALS OF MY FAVORITE LOCAL  BAND, ROCKET FROM THE CRYPT.",CAN STAND FOR RUN FROM THE COPS,Y
6669,707 OMG,7,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.,707- SANTA ROSA AREA CODE,N
2195,661ST SN,,LANCASTER CALIFORNIA STREET PLACE WHERE I LIVE.,661 AREA CODE,N
13141,AI KAE 2,3,TRE 2,EAT SHIT TOO,N
21939,JAGKTTY,1,JAGUAR CUB,PULLED FOR KITTY BUT DOES HAVE A 2017 JAGUAR,N
16907,CALI TRD,2,CALIFORNIA TOYOTA DEVELOPMENT,PULLED FOR TRD,N
20379,JCON16,7D,MY NICKNAME AND YEAR OF THE VEHICLE.,THE J COULD STAND FOR JOINT,Y
4996,ORALE G,2,IT MEANS WHATS UP GEORGE,G. CUSTOMERS NAME IS GEORGE. ORALE IS APPROVAL OR ENCOURAGEMENT,N
13485,BFD II,3,MY INITIALS,BFD=BIG FUCKING DEAL. IT IS ALSO HIS INITIALS,N
16005,PAP1618,2,"THE LETTERS STAND FOR PASO A PASO, SPANISH FOR ONE STEP AT A TIME, IN ENGLISH, 16 FOR THE DAY OF THE MONTH I WAS BORN AND 18 FOR MY FAVORITE NUMBER",18 = GANG NUMBER,N
21234,MURDR67,2,CAR IS COMPLETELY BLACKED OUT AND THIS IS THE LOOK OF THE 67 EL CAMINO,PULLED FOR MURDER,N
16348,EZD,,EASY DAY,EASY D AS IN PENIS,N
1164,SIT LORD,2,STAR WARS FIG,COULD BE TAKEN OFFENSIVE TELLING THE LORD TO SIT. COULD BE A STAR WARS REFERENCE.,Y
22568,7O7USMC,2,I AM A MARINE THAT WAS RECRUITED IN SOLANO COUNTY,707 = AREA CODE,N
12380,EDB,,NICKNAME,CAN STAND FOR ENTITLED DOUCHE BAG,N
4798,PRPL HZ,D,PURPLE HAZE THIS IS FOR A PURPLE DODGE CHALLENGER,"PURPLE HAZE IS A STRAIN OF MARIJUANA, WE DENIED PRPLHZZ 4/2016",Y
17663,LVS2SKI,7d,LOVES TO SKI,COULD BE A DRUG REFERENCE TO COCAINE,Y
5098,HH 3,2,THE HS ARE MY INITIALS AND THE NUMBER 3 IS MY FAVORITE NUMBER.,HAIL HITLER,N
19419,NO FKS,3,NO FORWARD-OPERATOR KILLS SACRAFICED,NO FUCKS?,N
