,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
41,CFSR51O,CF MEANS CARBON FIBER SR IS THE MOTOR TYPE AND 510 IS THE MODEL OF CAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
42,ICDDPPL,I SEE DEAD PEOPLE BECAUSE CAR IS A HEARSE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
43,PIN MOVR,I USE THIS VEHICLE FOR MY PINBALL GAMES,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
44,PSYC,PSYCHOLOGY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
45,D E A P,MY INTIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
46,BBS GOT6,I have 6 kids,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
47,CRUZN13,"13 IS GANG NUMBER, HAS A 2013 CHEVY TRUCK",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
48,DEDPUUL,MY FAVORITE SUPER HERO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
49,GAY DAD,"DOESN’T SOUND NEGATIVE, OKAY? JUST SENDING FOR REVIEW PER INSTRUCTIONS",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
50,GOBLIN,GOBLIN WAS THE NAME OF A BELOVED PET.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
51,KCODEFB,FB can mean Fuck Buddy or Fucking Bitch,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
52,RD4LOVE,PERSONAL INITIALS FOR ROXANNE AND DANIEL PLUS OUR 4 KIDS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
53,REDRYNO,CHARACTER OF THE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
54,REDWIFE,"MY WIFE CALLS MY RED 1965 CHEVY TRUCK MY ""RED WIFE"".",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
55,R82BA,RIGHT TO BEAR ARMS AND ITS ALSO THE YEAR I WAS BORN,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
56,2BLUEII,2 BLUE EYES,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
57,4  BAL  2,FOR LAST NAME TOO,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
58,6HADES6,MY FAVORITE NUMBER AND MY FAVORITE GREEK GOD ALSO THE NICKNAME FOR MY CAR,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
59,69 PTROL,"HE DOES HAVE A 1969 DATSON UT, OK? WASN’T SURE OF '69 PATROL' MEANING…",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
60,5FDP 4L,FIVE FINGER DEATH PUNCH FOR LIFE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
61,ITS BLUE,THE COLOR OF MY CAR IS BLUE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
62,RNAREST,ARREST? POLICE?,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
63,1RED36,IT IS A RED 1936 PICK UP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
64,WETDOG8,IT IS MY ON LINE VIDEO GAME AVATOR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
65,GRNDBLU,"GRAND BLU, FRENCH FOR BIG BLUE (SEA, OCEAN)",Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Pet and Animal Themes,Colors and Descriptive Traits
66,AFBLUE,AIR FORCE BLUE,Business and University Identities,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
67,REDHWK,RED HAWK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
68,REDPEPR,RED PEPPER,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
69,BLUE731,HORSE NAME AND BIRTHDAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
70,FUEL PG,FUEL PIG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
71,MEMOS 8O,MEMOS IN SPANISH MEANS FOOL CRAZY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
72,MMMK666,MY CARS MODEL CODE IS MK6. AN ABBREVIATION FOR MARK 6 VOLKSWAGEN GTI,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
73,MT BLUE,INITIALS AND COLOR,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
74,RD DEVIL,RED DEVIL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
75,UGLY 392,MY CAR IS A RAT ROD AND IS SUPPOSE TO BE UGLY. THE ENGINE SIZE IS 392,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
76,14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
77,6SEIS6,MY FAVORITE NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
78,MYGLK15,THE CAR I LOVE MERCEDES GLK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
79,NO PLN B,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
80,R3A3I1B,CAN NOT TRANSLATE NO MICRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
81,K8KSAWD,LOOKS LIKE SAWED..,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
82,NH4CLO4,CAN NOT TRANSLATE NO MICRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
83,HERZWRK,"SHORT FOR THE GERMAN ""HERZWERK"", A TERM LOOSELY TRANSLATED AS ""HEART WORK"", OR WORK OF THE SOUL",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
84,IEGT3PR,missing,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
85,SWTASME,SWEET AS ME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
86,TYE FTR,THAI FIGHTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
87,IF2W COM,CAN NO TRANSLATE OR FIND A WEBSITE,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Personal and Family names,Diverse Personal Expressions
88,RBY&RED,COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
89,&WRZ5OI,STAR WARS FAN CLUB,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
90,BLU CRZN,I HAVE A 2012 BLUE CHEVY CRUZE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
91,BLU LOJ,MASONS BLUE LODGE,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations
92,CARE 415,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
93,SKYE BLU,NAME OF JEEPS COLOR,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
94,BB PLYM,LOOKS LIKE 88 PLYMOTH,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Area code and Numbers
95,BLU SHOE,"BLUE BMW ""CLOWNSHOE"" COUPE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
96,MEOWZZZ,I LOVE CATS!!,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
97,TYFTR,NAME OF THE SPACESHIPS FROM STAR WARS (TIE FIGHTER).,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
98,RAVNRED,MY NICKNAME FOR 20 YEARS HAS BEEN RAVENINRED BECAUSE I USED TO WEAR REDO CORSETS AND HAVE BLACK HAIR AND GO TO GOTH CLUBS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
99,BGREDII,BIG RED 2,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
100,D3C14 3M,DECIPHER ME- WRITTEN USING NUMBERS IN CERTAIN PLACES,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
101,JEEPNTT,JEEPING TOM & TRACY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
102,JEPN TT,JEEPING TRACY & TOM,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
103,RED5XWG,RED 5 X-WING,Colors and Descriptive Traits,Area code and Numbers,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
104,TNKBLUE,LOS ANGELES DODGERS MOTTO,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
105,88 FORD,1988 FORD TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
106,CAL BLU,CAL BLUE,Colors and Descriptive Traits,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers
107,REDDFOX,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
108,/A2ZCARS/,My shop name,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
109,S5EUL8R/,Personal Meaning,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
110,BG BLOO,BIG BLUE,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
111,BLUE442,THE CAR IS A BLUE 1965 OLDSMOBILE 442,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
112,BUBBY G,MY GRANDSON CALLS ME BUBBY G,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
113,DAJAAL,GRANDKID INITIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
114,DRTYMX7,TRUCK IS A DURAMAX DIESEL. WE CALL IT THE DIRTYMAX. LUCKY NUMBER IS 7.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
115,JP4BAJA,ITS MY JEEP FOR BAJA MEXICO TRIPS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
116,KATS53,"PULLED FOR KAT, HER NAME IS KATHLEEN AND SHE HAS A 1953 CHEVY.",Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
117,NISMO5O,VEHICLE TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
118,RD COMET,RED COMET,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
119,RED2OO1,THE CAR IS A 2001 TORCH RED CORVETTE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
120,YUK14,reg 17 has no meaning written on it,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
121,2SEXC4U,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
122,51MORDR,"MY CAR IS A 4 DOOR, MORE DOOR IS ANOTHER  NAME FOR THAT.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
123,BDY PTRL,BODY PATROL,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
124,1MUNCH,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
125,2BAD4YU,I OWN IT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
126,AWD PSI,MY SUBARU IS AN ALL WHEEL DRIVE. PSI STANDS FOR PRESSURE. MY FACTORY TURBO BUILDS PRESSURE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
127,BK BIRD,BLACK BIRD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
128,BK9GEAR,THE NAME OF MY SMALL SIDE BUSINESS. BACK 9 GEAR,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
129,EUROTIC,ANOTHER TERM FOR EUROPAN AND EXOTIC CARS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
130,FLIP 76O,"MY NAME IS PHILIP, AND MY NICKNAME IS FLIP. MY CAR IS A 1990 VOLVO 760T. FLIP FROM MY NAME AND THE 760 FROM MY CAR.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
131,G STATE,G STATE,Business and University Identities,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers
132,I 707 I,707 HORSE POWER,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes
133,LGBTQ,GENDER DIVERSITY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
134,MK65O,INITIALS AND MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
135,OD JEEP,OLIVE DRAB JEEP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
136,REDCUBN,I HAVE RED HAIR AND AM CUBAN,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
137,THAT DC5,THAT CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
138,TRK YEAA,TRUCK YEA A SONG,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
139,VTEC 13,VTEC IS THE SYSTEM DEVELOPED BY HONDA AND THE 13 IS THE YEAR OF THE CAR 2013,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
140,1 SLW G,IT STANDS FOR ONE SLOW G. G STANDS FOR INFINITI G35 WHICH IS THE MAKE OF MY CAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
141,MACS668,668 AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
