plate,meaning,classification_agglo,cluster_meaning
BGAS WNG,BIG ASS WANG,5,Sexual References
CHRMNMF,CHAIRMAN MOTHER FUCKER,0,Vehicle Descriptions and Colors
YOUNG YG,YOUNG GANGSTER,2,"Gang, Drugs, and Street Culture"
GNSQAD,GOOGLE AND URBAN SAY GROUP OF CRIMINALS,2,"Gang, Drugs, and Street Culture"
RED BUL8,"PULLED FOR RED, ALSO BULLET?",0,Vehicle Descriptions and Colors
KLNSHOT,GRANDPA ALWAYS SAYS CLEAN SHOT!.,0,Vehicle Descriptions and Colors
RED ROGR,RED-GANG. CUSTOMERS NAME IS ROGER,1,Edgy Humor and Random Slang
EWEFKR,"FKR, SHORT FOR FUCKER",0,Vehicle Descriptions and Colors
BODHI3,"BODHI IS A TYPE OF TREE IN INDIA AND THAILAND THAT HOLDS SPECIAL MEANING FROM A BUDDHIST PERSPECTIVE, THREE IS JUST A NUMBER",0,Vehicle Descriptions and Colors
EFFSBLK,FUCK BLACKS,3,Explicit and Vulgar Language
HACK U,I AM A SECIRITY ENGINEER AND HACKING IS PART OF MY JOB. I HAD THE PALTE H4CK U WHEN I WAS IN AZ AND I WANT TO KEEP THE SAME PLATE CHANGED TO CA REGULATIONS.,0,Vehicle Descriptions and Colors
GET WOD,"SIMILAR TO GET WOOD, WOOD CAN BE ANOTHER NAME FOR PENIS. GET WOOD IS SIMILAR TO GET HEAD, SEXUAL",5,Sexual References
FNDRY 1,EFFIN DRY ONE,0,Vehicle Descriptions and Colors
IH8BIFF,I HATE BIFF,0,Vehicle Descriptions and Colors
IPA PRN,BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN,2,"Gang, Drugs, and Street Culture"
TEARUP,tear up like cry or tear up like destroy,0,Vehicle Descriptions and Colors
DKHOR35,"DKHOR IS SIMILAR TO DICK WHORE, SEXUAL REFERENCE",5,Sexual References
HELAPNO,JALAPENO,2,"Gang, Drugs, and Street Culture"
KILLEEN,LAST NAME,6,Personal Names and Sentiments
NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",0,Vehicle Descriptions and Colors
GOLDIN P,GOLDEN SHOWER,0,Vehicle Descriptions and Colors
LVOVRH8,LOVE OVER HATE,3,Explicit and Vulgar Language
BDKTYKC,BAD KITTY,0,Vehicle Descriptions and Colors
GRINDIT,COULD BE SEXUAL,5,Sexual References
IHUNTER,I AM A HUNTER,0,Vehicle Descriptions and Colors
BAD 6D9,BAD 69,5,Sexual References
MSNIKA,MS.NIKA,0,Vehicle Descriptions and Colors
UMTACOS,UM TACOS,0,Vehicle Descriptions and Colors
G GOMEZ,Name of Son,6,Personal Names and Sentiments
831 SURF,AREA SURF CA AREA CODE,4,Regional Pride and Area Codes
FOOKDUP,FUCKED  UP,3,Explicit and Vulgar Language
LTSBRN1,LETS BURN ONEâ A JOINT,0,Vehicle Descriptions and Colors
THZ NUTS,THESE NUTS,0,Vehicle Descriptions and Colors
SHTSHAK,SHIT SHACK,0,Vehicle Descriptions and Colors
YRU FAT,WHY ARE YOU FAT,0,Vehicle Descriptions and Colors
JUICE 88,88 HITLER REFERENCE,0,Vehicle Descriptions and Colors
UP GANG,"GANG, GANG REFERENCE",2,"Gang, Drugs, and Street Culture"
DVEL666,DEVIL 666,0,Vehicle Descriptions and Colors
R69DART,"69, SEXUAL REFERENCE",5,Sexual References
RED ETIC,RED=GANG COLOR,1,Edgy Humor and Random Slang
DA SUCIA,DIRTY IN SPANISH,2,"Gang, Drugs, and Street Culture"
GOON RJK,GOON THUG,0,Vehicle Descriptions and Colors
POO MNY,POO MONEY,0,Vehicle Descriptions and Colors
NTHWK13,NIGHT HAWK 2013,1,Edgy Humor and Random Slang
8ONE8DC,8ONE8 MEANS THE AREA CODE I LIVE IN AND DC IS MY INITIALS DAVID CONTRERAS,4,Regional Pride and Area Codes
GXCMNDX,GO CAMANDO CUSTOMERS ARE USING X AS SUBSTITUTIONS,6,Personal Names and Sentiments
RS7NICA,NICA CAN BE ANOTHER WORD FOR NIGGA,0,Vehicle Descriptions and Colors
YPAPA D,WHY PAPA D,5,Sexual References
LARSCAT,LARRYS KAT. OUR TWO NAMES TOGETHER.,0,Vehicle Descriptions and Colors
DAM 4WD,DAVID ALAN MCCLAFFERTY 4 WHEEL DRIVE,1,Edgy Humor and Random Slang
BL3UBYU,BLUE BAYOU,0,Vehicle Descriptions and Colors
KUNEB8O,SIMILAR TO COON WHICH CAN BE A RACIAL TERM,0,Vehicle Descriptions and Colors
MY13CAM,I OWN A 2013 CAMARO,1,Edgy Humor and Random Slang
BLIZZ69,69 SEXUAL,5,Sexual References
NAHAL G,LAST NAME G AS IN GANGSTER,2,"Gang, Drugs, and Street Culture"
G UPINIT,Get up in it,0,Vehicle Descriptions and Colors
KUDAH,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA,0,Vehicle Descriptions and Colors
DJ DAANK,DANK AS IN WEED,2,"Gang, Drugs, and Street Culture"
NSFW 911,PORSCHE MODEL 911 Not safe for work (NSFW),1,Edgy Humor and Random Slang
BCHNART,BITCHIN ART,0,Vehicle Descriptions and Colors
ROYALDP,"DP CAN STAND FOR DOUBLE PENETRATION, SEXUAL REFERENCE",5,Sexual References
PIE VAN,PUSSY VAN?,1,Edgy Humor and Random Slang
F14 AT,F14 = TOMCAT JET AT = NAVY RATING,1,Edgy Humor and Random Slang
CAT CALI,MY CATS NAME IS CALI.,0,Vehicle Descriptions and Colors
NOPOSSI,NOPOSSI = NO PUSSY,0,Vehicle Descriptions and Colors
M9 M9 M9,M9 IS A BERETTA M9,0,Vehicle Descriptions and Colors
24ME14U,TWO FOR ME ONE FOR YOU,0,Vehicle Descriptions and Colors
GLKNSIG,TWO FIREARM MANUFACTUERS I LIKE. GLOCK AND SIG SAUER,0,Vehicle Descriptions and Colors
OGVIBES,OG VIBES,0,Vehicle Descriptions and Colors
TCHNGK,LOVE TEACHING KINDERGARTEN,0,Vehicle Descriptions and Colors
ZEN GAGE,THE MEANING OF THE LICENSE PLATE MEANS TO ENGAGE IN PEACE AND MEDITATION. ZEN MEANING THE MEDITATION GARDEN IN JAPAN AND GAGE MEANING IN GOOD FAITH.,2,"Gang, Drugs, and Street Culture"
FKYRCH,FUCK YOU RICH?,3,Explicit and Vulgar Language
44O B1GB,"SUB 1 FOR I, AND BIG B=BIG BITCH",0,Vehicle Descriptions and Colors
NUG LIFE,THUG LIFE,0,Vehicle Descriptions and Colors
IEATROX,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.,1,Edgy Humor and Random Slang
MACTEP,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",0,Vehicle Descriptions and Colors
LIK 2 HIT,LIKE TO HIT,0,Vehicle Descriptions and Colors
RD KING1,"ROAD KING, OR RED KING. MOTORCYCLE",1,Edgy Humor and Random Slang
BLAYZ,"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI",2,"Gang, Drugs, and Street Culture"
RODNOCK,ROD CAN BE ANOTHER WORD FOR PENIS,5,Sexual References
71HOTBX,DRUG REFERENCE,2,"Gang, Drugs, and Street Culture"
BADAF71,BAD AS FUCK,3,Explicit and Vulgar Language
BIGRRED,BIGGER RED,1,Edgy Humor and Random Slang
4BUCKIN,SOUNDS LIKE FOR FUCKIN,3,Explicit and Vulgar Language
88 PORS,YEAR OF CAR,1,Edgy Humor and Random Slang
RLL HRD,REAL HARD,0,Vehicle Descriptions and Colors
LCNLOAD,LOCK AND LOAD,0,Vehicle Descriptions and Colors
DUBZ51O,"MY NICKNAME AND WHERE IM FROM, DUBS COULD ALSO MEAN WINS",6,Personal Names and Sentiments
LCAT 707,MODEL OF VEHICLE AND HORSEPOWER 707 AREA CODE,1,Edgy Humor and Random Slang
LXUS688,PERSONAL LUCKY NUMBERS,6,Personal Names and Sentiments
G THANG5,G THANG AS IN GANGSTA THANG,2,"Gang, Drugs, and Street Culture"
REDTEE,FAVORITE COLOR AND FIRST NAME,6,Personal Names and Sentiments
NAYNAY1,NICK NAME OF FIRST NAME (RENEE),6,Personal Names and Sentiments
IH8T4O5,I HATE THE 405 FREEWAY,1,Edgy Humor and Random Slang
1971 PIG,YEAR I WAS BORN AND THE TRUCK IS FOR SHOP USE TO MOVE ITEMS AROUND IN THE MUD.,1,Edgy Humor and Random Slang
BLU LINE,SUPPORT OF POLICE OFFICERS,0,Vehicle Descriptions and Colors
EG OKI,ERIMI GARDUNO OKINAWA,2,"Gang, Drugs, and Street Culture"
RNBW WAR,"IT MEANS RAINBOW WARRIOR, probably war against gays ""rainbow"" being gay",0,Vehicle Descriptions and Colors
RMRZ 714,RMRZ IS AN ABBREVIATION FOR RAMIREZ WICH IS A LAST NAME AND 714 MY AREA CODE,4,Regional Pride and Area Codes
IS 16 MAG,MAG  AS INMAGAZIEN GUN,0,Vehicle Descriptions and Colors
OLBLU68,ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR OL BLUE,1,Edgy Humor and Random Slang
DRK MRK,"THE NICKNAME GIVEN ME BY MY FRIENDS IS DARK MARK, AS I AM NAMED MARK AND CAN NEVER GET TAN. OVER THE YEARS I HAVE EMBRACED THE NAME.",6,Personal Names and Sentiments
13B FTW,13B ENGINE FOR THE WIN,1,Edgy Humor and Random Slang
PSTACCI,NICKNAME - PINO STACCI,6,Personal Names and Sentiments
PCMRR8C,PC MASTER RACE,0,Vehicle Descriptions and Colors
BLDNGUT,TRAUMA SURGEON (BLOOD AND GUT),0,Vehicle Descriptions and Colors
FUNDU,"IM A LOAN OFFICER AND FUND LOANS;  FUND U MEANING, I WILL FUND YOUR LOAN.",6,Personal Names and Sentiments
RNUOVER,"THREATENING, RUN YOU OVER",0,Vehicle Descriptions and Colors
65QTPIE,"65 car year, QT Pie = Cutie pie",0,Vehicle Descriptions and Colors
RMBER M3,Remember Me,0,Vehicle Descriptions and Colors
CHRRBMB,CHERRY BOMB IS THE NAME OF MY 1999 RED MAZDA MIATA,1,Edgy Humor and Random Slang
MNTN BLU,WE LIVE IN THE MOUNTAINS AND DRIVE A BLUE CAR,1,Edgy Humor and Random Slang
C8ZBTCH,"BTCH COULD BE SHORT FOR BITCH, PROFANITY",0,Vehicle Descriptions and Colors
MDL 3SOM,THREESOME SEXUAL REFERENCE,5,Sexual References
LAHUEVA,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH,2,"Gang, Drugs, and Street Culture"
POS BUG,PIECE OF SHIT BUG,0,Vehicle Descriptions and Colors
DX SZN,DICK SEASON,5,Sexual References
MEAT ME,MY FAMILY OWNS A MEAT DISTRIBUTION COMPANY AND IT IS A CLEVER PLATE CONSIDERING ALL MY FAMILY MEMBERS HAVE MEAT RELATED PLATES,0,Vehicle Descriptions and Colors
MDRNWGN,MODERN WAGON,1,Edgy Humor and Random Slang
DK$LOVE,LOOKS LIKE DICKLOVE,5,Sexual References
1UGOBLK,"ONCE YOU GO BLACK, YOU NEVER GO BACK SEXUAL REFERENCE",1,Edgy Humor and Random Slang
JADEAD,JAH DEAD,2,"Gang, Drugs, and Street Culture"
$TAPPED,Love TAPPED,5,Sexual References
TRD FURY,"TURD FURY, ani shows 2 Toyota cars",1,Edgy Humor and Random Slang
FYF,URBAN SAYS FUCK YOUR FEELINGS BUT NOT MANY THUMBS UP 43 UP 13 DOWN,0,Vehicle Descriptions and Colors
HBLHSTL,HUMBLE HUSTLE,0,Vehicle Descriptions and Colors
CHKNNTZ,Chicken Nuts,0,Vehicle Descriptions and Colors
BJ69GTO,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)",1,Edgy Humor and Random Slang
NGOC666,666 MARK OF THE BEAST,0,Vehicle Descriptions and Colors
SUR FIRE,SUREFIRE,0,Vehicle Descriptions and Colors
FURFAN,LOVE ALL ANIMALS (FURRY),0,Vehicle Descriptions and Colors
KTY MOBL,PUSSY WAGON?,1,Edgy Humor and Random Slang
H982 FKD,"first, looks like fucked. Second, is a take on the controversial plate aired on Top Gear (H982 FKL) that was thought to be making fun of the Faukland War of 1982. H982 FKL is marked unacceptable",2,"Gang, Drugs, and Street Culture"
2FKNSLO,TOO FUCKIN SLOW,3,Explicit and Vulgar Language
PHILDZZ,LOOKS LIKE FEEL DEEZ LIKE DEEZ NUTS CUSTOMERS NAME IS PHIL,0,Vehicle Descriptions and Colors
BBRELAX,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED,6,Personal Names and Sentiments
LTLBLU,NAME OF MY CAR IS LITTLE BLUE,1,Edgy Humor and Random Slang
YOU SLOW,YOU SLOW,0,Vehicle Descriptions and Colors
AG GT5OH,GET THE FUCK OUTTA HERE,3,Explicit and Vulgar Language
SKYBOXD,SKY BOXED BOXD HIGH,0,Vehicle Descriptions and Colors
1CUSHJD,URBAN DICTIONARY SAYS IT IS HYDROPHONIZ MARIJUANA AND KUSH IS A MAGAZINE ON MARIJUANA,2,"Gang, Drugs, and Street Culture"
GDFELAS,GOOD FELLAS IN A MOB GANG MOVIE,2,"Gang, Drugs, and Street Culture"
SB BOB1,CITY/NAME,0,Vehicle Descriptions and Colors
MONKYMO,MONKEY MO IS MY NICKNAME,0,Vehicle Descriptions and Colors
SHAKE 4M,SHAKE FOR THEM - Cant see ANI for Dodge Challenger,1,Edgy Humor and Random Slang
N LV TNT,TNT BOMB E,0,Vehicle Descriptions and Colors
IMNUDY,MY FRIENDS CALL ME NUDY INSTEAD OF MY NAME NUTI. ITS ALWAYS MISPRONOUNCED BUT COMES OUT AS NUDY ALL THROUGH HIGH SCHOOL. SO MY NICKNAME IS MATTHEW NUDY IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI,6,Personal Names and Sentiments
NFGIVN,NO FUCKS GIVEN,3,Explicit and Vulgar Language
22A3VOM,MOVE ASS,0,Vehicle Descriptions and Colors
BISH BUS,"BISH(OP) IS OUR LAST NAME, AND BUS IS A NICKNAME FOR OUR FAMILIES FIRST SUV BITCH BUS.. CUSTOMER LAST NAME IS BISHOP",6,Personal Names and Sentiments
KLL*JOY/,"KILL AND JOY, KILL CAN BE OFFENSIVE",0,Vehicle Descriptions and Colors
LAZYCAT,JUST LAZY. MY CAT IS LAZY.,0,Vehicle Descriptions and Colors
DAM ESE,DAMN ESE,0,Vehicle Descriptions and Colors
SYCOPTH,PSYCHOPATH,0,Vehicle Descriptions and Colors
DOZER NO,DOZER=SLANG FOR MARIJUANA,2,"Gang, Drugs, and Street Culture"
SIC FISH,SICK FISH,0,Vehicle Descriptions and Colors
URFANCY,THAT YOUR FANCY,0,Vehicle Descriptions and Colors
LAROOKA,OLDER LADY in chilean slang,0,Vehicle Descriptions and Colors
BOSTN BS,BS LOOKS LIKE BULL SHIT,0,Vehicle Descriptions and Colors
TOITACO,TOYOTA TACOMA,1,Edgy Humor and Random Slang
MYDIX4U,MY DICK IS FOR YOU,0,Vehicle Descriptions and Colors
BLEUSTL,BLUE STEEL.,1,Edgy Humor and Random Slang
PLZDNH8,PLEASE DONT HATE,3,Explicit and Vulgar Language
CATS GE,COMPANY NAME CATS,0,Vehicle Descriptions and Colors
SAMS TT,TT SEXUAL REFERENCE,5,Sexual References
SUPTNRA,NRA-NATIONAL RIFLE ASSOCIATION,0,Vehicle Descriptions and Colors
MOMLSHT,MOMLL SHIT MOM WILL SHIT,0,Vehicle Descriptions and Colors
LRG RED,IT IS A BIG STATION WAGON THAT IS PAINTED RED,1,Edgy Humor and Random Slang
NOKJEFE,JEFE,0,Vehicle Descriptions and Colors
NEGRO49,BLACK 1949 PULLED FOR NEGRO,1,Edgy Humor and Random Slang
D MALO,THE (D) STANDS FOR MY NAME DANIEL.  THE PART MALO IS THE OPPOSITE OF MY LAST NAME IN SPANISH(BUENO).,6,Personal Names and Sentiments
B MOIST,SEXUAL,5,Sexual References
PPABRN,POPPA BROWN PP,0,Vehicle Descriptions and Colors
DURDEE,COULD HAVE SEXUAL CONNOTATION,5,Sexual References
H8DES,FAVORITE GREEK MYTH,0,Vehicle Descriptions and Colors
G VANYA,VANYA - GIFT OF GOD; G STANDS FOR GOSWAMI WHICH IS MY LAST NAME,0,Vehicle Descriptions and Colors
6 CHORNI,google translate  says it means horney,2,"Gang, Drugs, and Street Culture"
SED8N RN,SEDATING RN,6,Personal Names and Sentiments
