plate,customer_meaning,cluster_label,cluster_meaning
6CPORSH,SEXY PORSCHE,2,Vehicle and Car Descriptions and Attributes
707HP B5,707 AREA CODE,1,Business and University Identities
FRC 4#,FORCE A HAND,3,Diverse Personal Expressions
FXDL666,FXDL IS A HARLEY MODEL # 666 IS THE LISTED WEIGHT OF THE MOTORCYCLE,2,Vehicle and Car Descriptions and Attributes
CKTESLA,"100,000 TESLA",2,Vehicle and Car Descriptions and Attributes
GAD5150,CRAZY GAS,3,Diverse Personal Expressions
ITSATEN,10 CYLINDER MOTOR,2,Vehicle and Car Descriptions and Attributes
LUCENUP,"LOOSE EN UP, STAY LOOSE, RELAX",3,Diverse Personal Expressions
MOZLOCA,FAMOUS SINGER AND LAST NAME,3,Diverse Personal Expressions
68REDSS,RED,7,Colors and Descriptive Traits
4KS$1R,I HAVE 4 BOYS WITH NAME THAT STARTS WITH K AND 1 GIRL NAME STARTS WITH R,0,Personal and Family names
GRDZRO4,GROUND ZERO 4,1,Business and University Identities
MARJAN,MARJAN IS MY NAME! :)PLEASE CENTER THE LETTERS. THANKS!),3,Diverse Personal Expressions
CFSR51O,CF MEANS CARBON FIBER SR IS THE MOTOR TYPE AND 510 IS THE MODEL OF CAR.,2,Vehicle and Car Descriptions and Attributes
ICDDPPL,I SEE DEAD PEOPLE BECAUSE CAR IS A HEARSE,2,Vehicle and Car Descriptions and Attributes
PIN MOVR,I USE THIS VEHICLE FOR MY PINBALL GAMES,2,Vehicle and Car Descriptions and Attributes
PSYC,PSYCHOLOGY,3,Diverse Personal Expressions
D E A P,MY INTIALS,3,Diverse Personal Expressions
BBS GOT6,I have 6 kids,3,Diverse Personal Expressions
CRUZN13,"13 IS GANG NUMBER, HAS A 2013 CHEVY TRUCK",2,Vehicle and Car Descriptions and Attributes
DEDPUUL,MY FAVORITE SUPER HERO,3,Diverse Personal Expressions
GAY DAD,"DOESN’T SOUND NEGATIVE, OKAY? JUST SENDING FOR REVIEW PER INSTRUCTIONS",1,Business and University Identities
GOBLIN,GOBLIN WAS THE NAME OF A BELOVED PET.,3,Diverse Personal Expressions
KCODEFB,FB can mean Fuck Buddy or Fucking Bitch,3,Diverse Personal Expressions
RD4LOVE,PERSONAL INITIALS FOR ROXANNE AND DANIEL PLUS OUR 4 KIDS,0,Personal and Family names
REDRYNO,CHARACTER OF THE CAR,2,Vehicle and Car Descriptions and Attributes
REDWIFE,"MY WIFE CALLS MY RED 1965 CHEVY TRUCK MY ""RED WIFE"".",3,Diverse Personal Expressions
R82BA,RIGHT TO BEAR ARMS AND ITS ALSO THE YEAR I WAS BORN,4,Area code and Numbers
2BLUEII,2 BLUE EYES,7,Colors and Descriptive Traits
4  BAL  2,FOR LAST NAME TOO,0,Personal and Family names
6HADES6,MY FAVORITE NUMBER AND MY FAVORITE GREEK GOD ALSO THE NICKNAME FOR MY CAR,4,Area code and Numbers
69 PTROL,"HE DOES HAVE A 1969 DATSON UT, OK? WASN’T SURE OF '69 PATROL' MEANING…",2,Vehicle and Car Descriptions and Attributes
5FDP 4L,FIVE FINGER DEATH PUNCH FOR LIFE,3,Diverse Personal Expressions
ITS BLUE,THE COLOR OF MY CAR IS BLUE,7,Colors and Descriptive Traits
RNAREST,ARREST? POLICE?,3,Diverse Personal Expressions
1RED36,IT IS A RED 1936 PICK UP,2,Vehicle and Car Descriptions and Attributes
WETDOG8,IT IS MY ON LINE VIDEO GAME AVATOR,3,Diverse Personal Expressions
GRNDBLU,"GRAND BLU, FRENCH FOR BIG BLUE (SEA, OCEAN)",7,Colors and Descriptive Traits
AFBLUE,AIR FORCE BLUE,1,Business and University Identities
REDHWK,RED HAWK,3,Diverse Personal Expressions
REDPEPR,RED PEPPER,7,Colors and Descriptive Traits
BLUE731,HORSE NAME AND BIRTHDAY,3,Diverse Personal Expressions
FUEL PG,FUEL PIG,3,Diverse Personal Expressions
MEMOS 8O,MEMOS IN SPANISH MEANS FOOL CRAZY,3,Diverse Personal Expressions
MMMK666,MY CARS MODEL CODE IS MK6. AN ABBREVIATION FOR MARK 6 VOLKSWAGEN GTI,2,Vehicle and Car Descriptions and Attributes
MT BLUE,INITIALS AND COLOR,7,Colors and Descriptive Traits
RD DEVIL,RED DEVIL,3,Diverse Personal Expressions
UGLY 392,MY CAR IS A RAT ROD AND IS SUPPOSE TO BE UGLY. THE ENGINE SIZE IS 392,3,Diverse Personal Expressions
14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,2,Vehicle and Car Descriptions and Attributes
6SEIS6,MY FAVORITE NUMBER,4,Area code and Numbers
MYGLK15,THE CAR I LOVE MERCEDES GLK,2,Vehicle and Car Descriptions and Attributes
NO PLN B,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION,1,Business and University Identities
R3A3I1B,CAN NOT TRANSLATE NO MICRO,3,Diverse Personal Expressions
K8KSAWD,LOOKS LIKE SAWED..,3,Diverse Personal Expressions
NH4CLO4,CAN NOT TRANSLATE NO MICRO,3,Diverse Personal Expressions
HERZWRK,"SHORT FOR THE GERMAN ""HERZWERK"", A TERM LOOSELY TRANSLATED AS ""HEART WORK"", OR WORK OF THE SOUL",3,Diverse Personal Expressions
IEGT3PR,,3,Diverse Personal Expressions
SWTASME,SWEET AS ME,3,Diverse Personal Expressions
TYE FTR,THAI FIGHTER,3,Diverse Personal Expressions
IF2W COM,CAN NO TRANSLATE OR FIND A WEBSITE,3,Diverse Personal Expressions
RBY&RED,COLOR OF CAR,7,Colors and Descriptive Traits
&WRZ5OI,STAR WARS FAN CLUB,3,Diverse Personal Expressions
BLU CRZN,I HAVE A 2012 BLUE CHEVY CRUZE,7,Colors and Descriptive Traits
BLU LOJ,MASONS BLUE LODGE,1,Business and University Identities
CARE 415,COMPANY NAME,1,Business and University Identities
SKYE BLU,NAME OF JEEPS COLOR,2,Vehicle and Car Descriptions and Attributes
BB PLYM,LOOKS LIKE 88 PLYMOTH,4,Area code and Numbers
BLU SHOE,"BLUE BMW ""CLOWNSHOE"" COUPE",2,Vehicle and Car Descriptions and Attributes
MEOWZZZ,I LOVE CATS!!,6,Pet and Animal Themes
TYFTR,NAME OF THE SPACESHIPS FROM STAR WARS (TIE FIGHTER).,3,Diverse Personal Expressions
RAVNRED,MY NICKNAME FOR 20 YEARS HAS BEEN RAVENINRED BECAUSE I USED TO WEAR REDO CORSETS AND HAVE BLACK HAIR AND GO TO GOTH CLUBS,0,Personal and Family names
BGREDII,BIG RED 2,7,Colors and Descriptive Traits
D3C14 3M,DECIPHER ME- WRITTEN USING NUMBERS IN CERTAIN PLACES,4,Area code and Numbers
JEEPNTT,JEEPING TOM & TRACY,2,Vehicle and Car Descriptions and Attributes
JEPN TT,JEEPING TRACY & TOM,2,Vehicle and Car Descriptions and Attributes
RED5XWG,RED 5 X-WING,7,Colors and Descriptive Traits
TNKBLUE,LOS ANGELES DODGERS MOTTO,1,Business and University Identities
88 FORD,1988 FORD TRUCK,2,Vehicle and Car Descriptions and Attributes
CAL BLU,CAL BLUE,7,Colors and Descriptive Traits
REDDFOX,MY NICKNAME,0,Personal and Family names
/A2ZCARS/,My shop name,1,Business and University Identities
S5EUL8R/,Personal Meaning,3,Diverse Personal Expressions
BG BLOO,BIG BLUE,7,Colors and Descriptive Traits
BLUE442,THE CAR IS A BLUE 1965 OLDSMOBILE 442,2,Vehicle and Car Descriptions and Attributes
BUBBY G,MY GRANDSON CALLS ME BUBBY G,3,Diverse Personal Expressions
DAJAAL,GRANDKID INITIALS,3,Diverse Personal Expressions
DRTYMX7,TRUCK IS A DURAMAX DIESEL. WE CALL IT THE DIRTYMAX. LUCKY NUMBER IS 7.,2,Vehicle and Car Descriptions and Attributes
JP4BAJA,ITS MY JEEP FOR BAJA MEXICO TRIPS,2,Vehicle and Car Descriptions and Attributes
KATS53,"PULLED FOR KAT, HER NAME IS KATHLEEN AND SHE HAS A 1953 CHEVY.",3,Diverse Personal Expressions
NISMO5O,VEHICLE TYPE,2,Vehicle and Car Descriptions and Attributes
RD COMET,RED COMET,7,Colors and Descriptive Traits
RED2OO1,THE CAR IS A 2001 TORCH RED CORVETTE,2,Vehicle and Car Descriptions and Attributes
YUK14,reg 17 has no meaning written on it,4,Area code and Numbers
2SEXC4U,nickname,0,Personal and Family names
51MORDR,"MY CAR IS A 4 DOOR, MORE DOOR IS ANOTHER  NAME FOR THAT.",2,Vehicle and Car Descriptions and Attributes
BDY PTRL,BODY PATROL,1,Business and University Identities
1MUNCH,NICKNAME,0,Personal and Family names
2BAD4YU,I OWN IT,3,Diverse Personal Expressions
AWD PSI,MY SUBARU IS AN ALL WHEEL DRIVE. PSI STANDS FOR PRESSURE. MY FACTORY TURBO BUILDS PRESSURE,2,Vehicle and Car Descriptions and Attributes
BK BIRD,BLACK BIRD,3,Diverse Personal Expressions
BK9GEAR,THE NAME OF MY SMALL SIDE BUSINESS. BACK 9 GEAR,1,Business and University Identities
EUROTIC,ANOTHER TERM FOR EUROPAN AND EXOTIC CARS,2,Vehicle and Car Descriptions and Attributes
FLIP 76O,"MY NAME IS PHILIP, AND MY NICKNAME IS FLIP. MY CAR IS A 1990 VOLVO 760T. FLIP FROM MY NAME AND THE 760 FROM MY CAR.",2,Vehicle and Car Descriptions and Attributes
G STATE,G STATE,1,Business and University Identities
I 707 I,707 HORSE POWER,2,Vehicle and Car Descriptions and Attributes
LGBTQ,GENDER DIVERSITY,3,Diverse Personal Expressions
MK65O,INITIALS AND MODEL,2,Vehicle and Car Descriptions and Attributes
OD JEEP,OLIVE DRAB JEEP,2,Vehicle and Car Descriptions and Attributes
REDCUBN,I HAVE RED HAIR AND AM CUBAN,7,Colors and Descriptive Traits
THAT DC5,THAT CAR,2,Vehicle and Car Descriptions and Attributes
TRK YEAA,TRUCK YEA A SONG,2,Vehicle and Car Descriptions and Attributes
VTEC 13,VTEC IS THE SYSTEM DEVELOPED BY HONDA AND THE 13 IS THE YEAR OF THE CAR 2013,2,Vehicle and Car Descriptions and Attributes
1 SLW G,IT STANDS FOR ONE SLOW G. G STANDS FOR INFINITI G35 WHICH IS THE MAKE OF MY CAR.,2,Vehicle and Car Descriptions and Attributes
MACS668,668 AREA CODE,1,Business and University Identities
DRF4LFE,DIRT ROAD FANATIC FOR LIFE,2,Vehicle and Car Descriptions and Attributes
POP BOB,MY GRANDCHILDREN CALL ME POP BOB,3,Diverse Personal Expressions
HEL BOND,HELL BOUND,3,Diverse Personal Expressions
BK $ MI,BK BLOOD KILLER,3,Diverse Personal Expressions
DUZ 14S,MY CAR WILL GO 1/4 MILE TRACK IN 14 SECONDS,2,Vehicle and Car Descriptions and Attributes
HARDCAT,SHOW CAR,2,Vehicle and Car Descriptions and Attributes
HEL KTN,HELL KITTEN,6,Pet and Animal Themes
JIB GIRL,A GIRL WHO SNOWBOARDS,3,Diverse Personal Expressions
JICE,NICK NAME,0,Personal and Family names
KNKYBRN,UNIVERSITY OF KANSAS AND UNIVERSITY OF KENTUCKY BRAIN,1,Business and University Identities
OGSK8ER,OLD SKATER,3,Diverse Personal Expressions
TKM2DKM,TAKE ME TO THE TRACK,2,Vehicle and Car Descriptions and Attributes
TRK4ROD,TRUCK FOR ROD,3,Diverse Personal Expressions
3KITTTY 3,"KITTY AS IN CAT, THE NUMBERS MAKE IT THE FIRST AVAILABLE KITTY THAT IS UNUSED.",6,Pet and Animal Themes
3TH,THIS IS MY ONLINE SCREEN NAME WHEN PLAYING VIDEO GAMES,3,Diverse Personal Expressions
13HOURS,"13=GANG NUMBER, NO 2013 ON ANI",2,Vehicle and Car Descriptions and Attributes
EGM 13,"ELK GROVE MILLING, ONE THREE",1,Business and University Identities
OG CAMRY,ORIGINAL CAMRY,3,Diverse Personal Expressions
R8OGS,MODEL OF THE MOTORCYCLE (BMW R80G/S),2,Vehicle and Car Descriptions and Attributes
ASYLUMM,OUR FAMILY TRAILER IS OUR ASYLUM. THANK  YOU,1,Business and University Identities
HODOR,HO,3,Diverse Personal Expressions
YIFF M3,CYBER SEX,3,Diverse Personal Expressions
DABUMZ,BUMZ COULD BE ASS,3,Diverse Personal Expressions
DENZ 13,MY NAME AND AUTO YEAR,2,Vehicle and Car Descriptions and Attributes
EN G AY,GAY,3,Diverse Personal Expressions
GAGRPUR,VILLAGE IN INDIA PUNJAB,1,Business and University Identities
H1LL YA,ROCK CLIMBING,3,Diverse Personal Expressions
JMT8RJL,THE INITIALS OF MY PARENTS.,0,Personal and Family names
JOK BOXX,BOXX,2,Vehicle and Car Descriptions and Attributes
KAKE MAN,I'M A PASTRY CHEF,3,Diverse Personal Expressions
KRPT TKR,I AM A LICENSED FUNERAL DIRECTOR - CRYPT TAKER,1,Business and University Identities
MES RED,RED,7,Colors and Descriptive Traits
NVR DYE,DYE,7,Colors and Descriptive Traits
RBRN 69,GOING ON RESTORED 1969 GTO,2,Vehicle and Car Descriptions and Attributes
SKI2UDI,SKI TILL YOU DIE,3,Diverse Personal Expressions
SMKNGUY,I OWN TULARE MEAT LOCKER & SAUSAGE CO  AND I SMOKE MEAT SO I THINK IT WOULD BE A GREAT PLATE SMOKING GUY,3,Diverse Personal Expressions
SRFRDIE,SURF OR DIE,3,Diverse Personal Expressions
SSTRIKR,SUPER SPORT AND NICKNAME,3,Diverse Personal Expressions
38316VC,OFF ROAD VEHICLE CODE SECTION 38316 CVC,1,Business and University Identities
OGPOLAB,OG ORIGINAL GANGSTER,5,Gang Color and Controversial Affiliations
$CCAKE,CAKE,3,Diverse Personal Expressions
ZZTUSH,ZZ TOP TRIBUTE BAND WWW.ZZTUSH.COM,3,Diverse Personal Expressions
IMNATY2,I'M NASTY TOO. IT'S GOING ON A RAT ROD.,3,Diverse Personal Expressions
BLU/SPK,BLUE SPARK,7,Colors and Descriptive Traits
*23*RED/,23 RED ON ROULETTE TABLE,1,Business and University Identities
981BLUE/,BLUE 981 PORSCHE CAYMAN,2,Vehicle and Car Descriptions and Attributes
95/BLUE/,GRADUATING CLASS OF UNIVERSITY OF MICHIGAN 1995,1,Business and University Identities
RED1986,1986 RED PORSCHE CARRERA,2,Vehicle and Car Descriptions and Attributes
GR8/SHOT,"GREAT SHOT, SHOOTING, VIOLENCE",1,Business and University Identities
BADKTTI,"CAR IS A JAGUAR LIKE A CAT, MEANING IS BAD KITTY",2,Vehicle and Car Descriptions and Attributes
COQUE75,NO MEANING ON REG 17,4,Area code and Numbers
INTO DNB,INTO DRUM N BASS MUSIC,3,Diverse Personal Expressions
KST CAT,KANSAS STATE WILDCAT UNIVERSITY,1,Business and University Identities
REDTRUC,I AM A FIREFIGHTER AND THIS STANDS FOR THE RED TRUCKS THAT I DRIVE TO KEEP THE PEOPLE THAT I SERVE SAFE.,2,Vehicle and Car Descriptions and Attributes
SCUMMYY,NICKNAME,0,Personal and Family names
69 CRGR,1969 DODGE CHARGER,2,Vehicle and Car Descriptions and Attributes
MACSCAT,ITS A JAGUAR (CAT),2,Vehicle and Car Descriptions and Attributes
BHNDBRS/,"BEHIND BARS, JAILER FOR LOCAL POLICE DEPT",3,Diverse Personal Expressions
MRDEVL*/,NICKNAME FOR MARINES IS DEVIL DOG,3,Diverse Personal Expressions
$2B*TNT/,LOVE TO BE TODD & TARA,3,Diverse Personal Expressions
$HERBLF/,HERBALIFE DISTRIBUTOR,1,Business and University Identities
9/9/RED/,80'S SONG,3,Diverse Personal Expressions
69/54OSS,1969 CHEVELL SS 540 CUBIC ENGINE,2,Vehicle and Car Descriptions and Attributes
6RETRO9/,1969 RETRO CAMARO,2,Vehicle and Car Descriptions and Attributes
6D9*AMX/,1969 AMERICAN MOTORS EXPERIMENTAL,2,Vehicle and Car Descriptions and Attributes
6BLADES/,NAME OF SMALL BIZ/MARTIAL ARTS ACADEMY,3,Diverse Personal Expressions
41GRAHM/,1941 HOLLYWOOD GRAHAM AUTO,3,Diverse Personal Expressions
H8/KMUTN,HATE COMMUTING,2,Vehicle and Car Descriptions and Attributes
HODOOOR/,GAME OF THRONES CHARACTER,3,Diverse Personal Expressions
NVJUICE/,NAPA VALLEY WINE & JUICE IS A NICKNAME,1,Business and University Identities
PB4YUGO/,"PUG'S NAME IS YUGO, YUGO LIKES THE PACIFIC BEACH",3,Diverse Personal Expressions
PHATKAT/,"LARGE CAT, JAGUAR MODEL IS A TYPE OF CAT",2,Vehicle and Car Descriptions and Attributes
/PUCKR/,HARD JEEP OBSTACLE,2,Vehicle and Car Descriptions and Attributes
RAG/1956,1956 CONVERTIBLE CHEVY BEL AIR,2,Vehicle and Car Descriptions and Attributes
RAGE*69/,"1969 RED VW BEETLE, NICKNAME FOR CAR",3,Diverse Personal Expressions
REDPONI/,RED MUSTANG,2,Vehicle and Car Descriptions and Attributes
RED/TUB*/,RED CAR,7,Colors and Descriptive Traits
SHEXFST/,FAST CAR,2,Vehicle and Car Descriptions and Attributes
SLAMN69/,"HOT ROD TERM, 1969 CAMARO",3,Diverse Personal Expressions
TNT*MBZ/,TONY & TERRY'S MERCEDEZ BENZ,2,Vehicle and Car Descriptions and Attributes
TRYSOFT/,TERM FOR SEMI-PRO GAMER,3,Diverse Personal Expressions
YALLAH5/,FAV # AND LAST NAME OF SO,3,Diverse Personal Expressions
29*HOBO,MY DOG,3,Diverse Personal Expressions
2/FIRME,"SOMETHING COOL, SMOOTH, NICE",3,Diverse Personal Expressions
FATBOI,OFFENSIVE,3,Diverse Personal Expressions
XTRMN8,"""EXTERMINATE"" OFFENSIVE",3,Diverse Personal Expressions
DGR6BLU,"BLU, GANG REFERENCE",5,Gang Color and Controversial Affiliations
JANRED,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
J55AK33,"""AK"" GUN REFERENCE",1,Business and University Identities
REDRKER,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
2HEFTYS,THE CUSTOMERS LAST NAME IS HEFTY HOWEVER HEFTY COULD BE CONSIDERED OFFENSIVE SINCE HEFTY IS ANOTHER WORD FOR FAT,3,Diverse Personal Expressions
ACAT$VR,"""CAT"" SEXUAL REFERENCE",3,Diverse Personal Expressions
BLUEONI,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
HAKOBLU,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
BIGFISH,PROFANITY,3,Diverse Personal Expressions
BMBIBOM,"BAMBI IS THE NAME OF THE AIRSTREAM TRAILER, AND BOM IS OUR LAST NAME",2,Vehicle and Car Descriptions and Attributes
DONG GUO,NEWPORT BEACH,1,Business and University Identities
FOILER,FOILBOARDER,3,Diverse Personal Expressions
FEEBASE,FEE- BASE FINANCIAL PLANNER,1,Business and University Identities
FUNKY G,I LOVE TO KEEP THINGS ORIGINAL AND LOVE OLD SCHOOL MUSIC WHICH I ALWAYS LISTEN TO OLDIES IN MY CAR!,3,Diverse Personal Expressions
GNS2REV,GENESIS TO REVELATION,3,Diverse Personal Expressions
G SANGHA,FIRST NAME INITIAL AND LAST NAME,0,Personal and Family names
GOB8VGO,REFERENCE TO FILM GONE IN 60 SEC,3,Diverse Personal Expressions
GOVACHO,NICK NAME,0,Personal and Family names
HSTLVAL,MY NAME,0,Personal and Family names
KCKRCKS,KICK ROCKS,3,Diverse Personal Expressions
KKITTYY,"ANIMAL LIVER, AND CAT LOVER. THIS MEANS NOTHING INAPPROPRIATE BY ANY MEANS.",3,Diverse Personal Expressions
KOKANEE,FISH,3,Diverse Personal Expressions
LIZCAKS,THIS IS A NICKNAME THAT MY FAMILY GAVE ME.,0,Personal and Family names
LOVNPNK,LOVING PINK,7,Colors and Descriptive Traits
LUGGY13,LUCKY 13 VW BUGGY,1,Business and University Identities
MAMRED,LOVE MOM RED,7,Colors and Descriptive Traits
OGRCHK3,03 GRAND CHEROKEE,2,Vehicle and Car Descriptions and Attributes
OG 845,OG ORIGINAL GANGSTER,5,Gang Color and Controversial Affiliations
PEW X2,PEW PEW WAS TAKEN. IT'S A FUNNY WAY OF SAYING 'TARGET PRACTICE' FOR VETERA,3,Diverse Personal Expressions
RED LVI,I HAVE A RED 1956 CHE,7,Colors and Descriptive Traits
TOO4N,IT STANDS FOR TOON AND MY FAVORITE NUMBER IS 4,4,Area code and Numbers
13DRTMX,YEAR AND TYPE OF TRUCK,2,Vehicle and Car Descriptions and Attributes
302 13,THE PLATE STANDS FOR THE MODEL AND YEAR OF MY CAR WHICH IS A 2013 BOSS 302 MUSTANG. THE 302 IS FOR BOSS 302 AND THE 13 IS FOR THE MODEL YEAR 2013.,2,Vehicle and Car Descriptions and Attributes
CHGOBLU,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
FOSURE,FOR SURE,3,Diverse Personal Expressions
GODUBZZ,WARRIORS,1,Business and University Identities
HWYTOHL,HIGHWAY TO HOLE,2,Vehicle and Car Descriptions and Attributes
LOOCH,DRUG AND SEXUAL REFERENCE,3,Diverse Personal Expressions
MMMTAKO,AS IN LOVE TACOMA(TOYOTA),2,Vehicle and Car Descriptions and Attributes
MUFTA,MUFTA MEANS NO POINT,3,Diverse Personal Expressions
OGSTILE,ORIGINAL STYLE VEHICLE,2,Vehicle and Car Descriptions and Attributes
RALYRED,CAR LINE,2,Vehicle and Car Descriptions and Attributes
RED5STB,RED 5 STANDING BY ITS A STAR WARS MOVIE  REFERENCE,7,Colors and Descriptive Traits
TMLI69,TAMMY MARIE LOPEZ 69 CAMARO,3,Diverse Personal Expressions
YUMTAKO,YUMMY TACOMA - PLAY ON WORDS,2,Vehicle and Car Descriptions and Attributes
113TP,BIRTH DATE AND NAME INITIAL,4,Area code and Numbers
13OWL94,"13, GANG REFERENCE",5,Gang Color and Controversial Affiliations
2VETSAF,MY WIFE AND I ARE BOTH AIR FORCE VETERANS,1,Business and University Identities
57LILRD,ITS A 1957 RED CORVETTE,2,Vehicle and Car Descriptions and Attributes
69LTRN,1969 GREEN PICK UP. NICK NAME GREEN LANTERN,3,Diverse Personal Expressions
4KATZ,HAVE FOUR CATS,6,Pet and Animal Themes
SP&RTOG,"""OG"" GANG REFERENCE",5,Gang Color and Controversial Affiliations
BL3UBYU,BLUE BAYOU,3,Diverse Personal Expressions
OGSNOW,"""OG"" GANG REFERENCE",5,Gang Color and Controversial Affiliations
TACOKEV,KEVINS TACOMA,2,Vehicle and Car Descriptions and Attributes
HVNALAF,HAVING A LAUGH,3,Diverse Personal Expressions
H2OVAPR,"WATER VAPOR, THE EXHAUST FROM MY TOYOTA MIRAI HYDROGEN FUEL CELL VEHICLE.",3,Diverse Personal Expressions
DERTBAG,I'AM A HUGE FAN AND AN ALUMNI OF CSULB  BASEBALL TEAM. THIS IS THE NICNAME GIVEN TO THE COLLEGE BASEBALL TEAM.,0,Personal and Family names
EXPOSED,CONVERTABLE,3,Diverse Personal Expressions
GOBLU 83,MICHIGAN PHRASE... GO BLUE AND THE YEAR 1983,1,Business and University Identities
GOPS911,INITIALS AND MODEL OF CAR,2,Vehicle and Car Descriptions and Attributes
ILUVBLU,BLU IS MY DAUGHTERS'S NAME. :),7,Colors and Descriptive Traits
RD KAT,KAT,3,Diverse Personal Expressions
6 6 SIX,DOB,1,Business and University Identities
BLUJOLT,THE CAR IS AN ELECTRIC BLUE COLOR NISSAN LEAF,7,Colors and Descriptive Traits
PEANUT9,DAUGHTER NICKNAME,0,Personal and Family names
C63 GENG,MY CAR AND MY NAME,2,Vehicle and Car Descriptions and Attributes
DIEGO5M,MY SON NAME AND BIRTHDAY MONTH,4,Area code and Numbers
DUCKS 14,UNIVERSITY MASCOT AND GRADUATION YEAR,1,Business and University Identities
GRL CAT,GOING ON 1999 BLACK JAGUAR XJR OWNED BUY A WOMAN,2,Vehicle and Car Descriptions and Attributes
GT BLLIT,MUSTANG GT BULLIT,2,Vehicle and Car Descriptions and Attributes
HOAXWGN,VOLKSWAGEN PUN,2,Vehicle and Car Descriptions and Attributes
LCAT 707,MODEL OF VEHICLE AND HORSEPOWER,2,Vehicle and Car Descriptions and Attributes
NGOC666,THIS IS MY NAME 666 LUCKY NUMBER,4,Area code and Numbers
OL BLOO,THE VEHICLE'S NICKNAME IS OLD BLUE,7,Colors and Descriptive Traits
REDREX1,SUBARU,2,Vehicle and Car Descriptions and Attributes
RED ROXY,MY CAR IS RED AND HER NAME IS ROXY,7,Colors and Descriptive Traits
SKNDLUS,MY NEW CAR IS BLACK AND A CONVERTABLE AND IS SCANDULUS!!!,7,Colors and Descriptive Traits
1771K3Y,MIKEY!!,3,Diverse Personal Expressions
W88&4IT,W88&4IT,1,Business and University Identities
HIDROOO,HYDRO,3,Diverse Personal Expressions
MONO 1,MONO AS IN MONONUCLEOSIS??,3,Diverse Personal Expressions
NANA 8A,NANA ATE A…,3,Diverse Personal Expressions
Z124SJ,LOOK A LIKE,3,Diverse Personal Expressions
532 VAPE,VAPE,3,Diverse Personal Expressions
GO NINJA,GO NINJA NCOULD ALSO BE USED IN LIEU OF GO NIGGA,3,Diverse Personal Expressions
BB CAKE,MY DAUGHTER IS CALLED BABY CAKES,3,Diverse Personal Expressions
BLDSWTR,BLOOD SWEAT AND TEARS,3,Diverse Personal Expressions
DOCTA 13,"DOCTOR WHO TV SHOW REFERENCE. THERE ARE 12 DOCTORS, MY LICENSE PLATE IMPLIES THAT I AM THE 13TH DOCTOR.",1,Business and University Identities
LARSCAT,LARRY'S KAT. OUR TWO NAMES TOGETHER.,3,Diverse Personal Expressions
NOTCH U,NOT YOU,3,Diverse Personal Expressions
URSLATE,ROCK,3,Diverse Personal Expressions
1DOHCSI,REPRESENTS CAR ENGINE AND MODEL,2,Vehicle and Car Descriptions and Attributes
