plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
TYE FTR,THAI FIGHTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IF2W COM,CAN NO TRANSLATE OR FIND A WEBSITE,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Personal and Family names,Diverse Personal Expressions
RBY&RED,COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
&WRZ5OI,STAR WARS FAN CLUB,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLU CRZN,I HAVE A 2012 BLUE CHEVY CRUZE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BLU LOJ,MASONS BLUE LODGE,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations
CARE 415,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SKYE BLU,NAME OF JEEPS COLOR,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
BB PLYM,LOOKS LIKE 88 PLYMOTH,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Area code and Numbers
BLU SHOE,"BLUE BMW ""CLOWNSHOE"" COUPE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
MEOWZZZ,I LOVE CATS!!,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
TYFTR,NAME OF THE SPACESHIPS FROM STAR WARS (TIE FIGHTER).,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RAVNRED,MY NICKNAME FOR 20 YEARS HAS BEEN RAVENINRED BECAUSE I USED TO WEAR REDO CORSETS AND HAVE BLACK HAIR AND GO TO GOTH CLUBS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BGREDII,BIG RED 2,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
D3C14 3M,DECIPHER ME- WRITTEN USING NUMBERS IN CERTAIN PLACES,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
JEEPNTT,JEEPING TOM & TRACY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
JEPN TT,JEEPING TRACY & TOM,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
RED5XWG,RED 5 X-WING,Colors and Descriptive Traits,Area code and Numbers,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
TNKBLUE,LOS ANGELES DODGERS MOTTO,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
88 FORD,1988 FORD TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CAL BLU,CAL BLUE,Colors and Descriptive Traits,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers
REDDFOX,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
/A2ZCARS/,My shop name,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
S5EUL8R/,Personal Meaning,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BG BLOO,BIG BLUE,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUE442,THE CAR IS A BLUE 1965 OLDSMOBILE 442,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BUBBY G,MY GRANDSON CALLS ME BUBBY G,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
DAJAAL,GRANDKID INITIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DRTYMX7,TRUCK IS A DURAMAX DIESEL. WE CALL IT THE DIRTYMAX. LUCKY NUMBER IS 7.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
JP4BAJA,ITS MY JEEP FOR BAJA MEXICO TRIPS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
KATS53,"PULLED FOR KAT, HER NAME IS KATHLEEN AND SHE HAS A 1953 CHEVY.",Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
NISMO5O,VEHICLE TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RD COMET,RED COMET,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
RED2OO1,THE CAR IS A 2001 TORCH RED CORVETTE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
YUK14,reg 17 has no meaning written on it,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
2SEXC4U,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
51MORDR,"MY CAR IS A 4 DOOR, MORE DOOR IS ANOTHER  NAME FOR THAT.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BDY PTRL,BODY PATROL,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1MUNCH,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2BAD4YU,I OWN IT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
AWD PSI,MY SUBARU IS AN ALL WHEEL DRIVE. PSI STANDS FOR PRESSURE. MY FACTORY TURBO BUILDS PRESSURE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BK BIRD,BLACK BIRD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BK9GEAR,THE NAME OF MY SMALL SIDE BUSINESS. BACK 9 GEAR,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EUROTIC,ANOTHER TERM FOR EUROPAN AND EXOTIC CARS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
FLIP 76O,"MY NAME IS PHILIP, AND MY NICKNAME IS FLIP. MY CAR IS A 1990 VOLVO 760T. FLIP FROM MY NAME AND THE 760 FROM MY CAR.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
G STATE,G STATE,Business and University Identities,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers
I 707 I,707 HORSE POWER,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes
LGBTQ,GENDER DIVERSITY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MK65O,INITIALS AND MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
OD JEEP,OLIVE DRAB JEEP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
REDCUBN,I HAVE RED HAIR AND AM CUBAN,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
THAT DC5,THAT CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TRK YEAA,TRUCK YEA A SONG,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VTEC 13,VTEC IS THE SYSTEM DEVELOPED BY HONDA AND THE 13 IS THE YEAR OF THE CAR 2013,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
1 SLW G,IT STANDS FOR ONE SLOW G. G STANDS FOR INFINITI G35 WHICH IS THE MAKE OF MY CAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MACS668,668 AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
DRF4LFE,DIRT ROAD FANATIC FOR LIFE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
POP BOB,MY GRANDCHILDREN CALL ME POP BOB,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
HEL BOND,HELL BOUND,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
