index,plate,meaning,classification,string_classification
39,RIPPPER,"LIKE RIPPING IT UP, LIKE GOING FAST.",8,"Sexual, Provocative"
40,A BMF GT,A BAD MOTHER FUCKER GT,8,"Sexual, Provocative"
41,TMSNSHT,TOO MUCH SWAG N SHIT?,8,"Sexual, Provocative"
42,SVR BLET,VEHICLE IS SILVER AND IS SHAPED LIKE A BULLET SILVER BULLET,0,"Weapons, Cars, Masculine Themes"
43,MLHH818,MOTHERS MEMORIAL 818 AREA CODE,4,"Profanity, Drugs, Gang References"
44,APXSLYR,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.,2,"Sexual, Offensive, Controversial"
45,DOPEZ33,THE CAR IS A COOL Z 33 ( NISSAN 350Z ) PULLED FOR DOPE (MEANINGING DRUGS) ALTHOUGH THEY MEAN IT AS COOL,6,"Humorous, Quirky, Personal"
46,FCUK BOI,FUCK BOY,5,"Defiant, Rebellious, Aggressive"
47,G&GUNNA,GUN,1,"Humor, Personal, Playful"
48,PENIS69,PENIS 69,4,"Profanity, Drugs, Gang References"
49,AMNUTS6,"I AM NUTS, SLANG FOR CRAZY",4,"Profanity, Drugs, Gang References"
50,SX/BANGR,"SIX BANGER, SEX BANGER, BANGER CAN BE A TERM FOR A GUN, ALSO CAN BE SEXUAL",2,"Sexual, Offensive, Controversial"
51,EL GATOG,NICK NAME G AS IN GANGSTER,2,"Sexual, Offensive, Controversial"
52,515OFAN,CRAZY FAN,1,"Humor, Personal, Playful"
53,RIOTBAY,I WORK AT RIOT GAMES (BASED OUT OF LA) IN  THE BAY AREA OFFICE (LOS ALTOS).,6,"Humorous, Quirky, Personal"
54,TILL/DIE,I LOVE FOOTBALL UNTIL I DIE,4,"Profanity, Drugs, Gang References"
55,GORRAM,"MADE UP WORD, REFERENCE TO FIREFLY SCI-FI TV SERIES SLANG FOR A LOT OF THINGS GOD DAMN FROM A TV SHOW",4,"Profanity, Drugs, Gang References"
56,GARY8IT,MY NAME AND I ATE IT. I LIKE TO EAT,6,"Humorous, Quirky, Personal"
57,MOMS BOX,box=vagina. She has a 2006 Toyota BTM=UT,2,"Sexual, Offensive, Controversial"
58,G1971,LAST NAME INITIAL AND MY BIRTH YEAR,3,"Personal, Family, Sentimental"
59,DUBTREY,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD,4,"Profanity, Drugs, Gang References"
60,FUGAA C,"NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)",2,"Sexual, Offensive, Controversial"
61,JMAC5O,MY HUSBANDS NICK NAME AND HIS AGE,3,"Personal, Family, Sentimental"
62,BRACAM,BRA CAMERA?,8,"Sexual, Provocative"
63,PWDRHWY,"POWDER HIGHWAY, SOUNDS LIKE POWDER AS COCAINE NOSE",4,"Profanity, Drugs, Gang References"
64,ASKYB,B COULD STAND FOR BITCH IN THIS CASE. COULD BE ASK WHY BITCH,4,"Profanity, Drugs, Gang References"
65,DUSTY D,DUSTY DICK,1,"Humor, Personal, Playful"
66,G A Y 1,"REFERENCE TO A PERSON WHO IS HOMOSEXUAL, SOME MAY FIND OFFENSIVE OR IT COULD MAKE THE PERSON A TARGET FOR HATRED",2,"Sexual, Offensive, Controversial"
67,BUULITT,BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD BULLET CAR,0,"Weapons, Cars, Masculine Themes"
68,OZLIVI,KIDS NAMES,1,"Humor, Personal, Playful"
69,YLD ASS,WILD ASS/DONKEY /ZEBRA..ITS FOR MY BRONCO WITH ZEBRA STRIPES :),4,"Profanity, Drugs, Gang References"
70,MGNUM44,MY NICKNAME IN COLLEGE ON FOOTBALL TEAM,3,"Personal, Family, Sentimental"
71,IMLAYJR,I AM LARRY ALAN YOUNG JR.,6,"Humorous, Quirky, Personal"
72,D BABIES,DA BABIES,1,"Humor, Personal, Playful"
73,BLNT 4C,"MY LAST NAME, BLUNT",3,"Personal, Family, Sentimental"
74,HFA BOX,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER,4,"Profanity, Drugs, Gang References"
75,SHANGO1,NICKNAME FROM HIGHSCHOOL,3,"Personal, Family, Sentimental"
76,LUBRUP,"LOOKS LIKE LUBE HER UP, SEXUAL",8,"Sexual, Provocative"
77,ETMYTCO,EAT MY TACO. SEXUAL,8,"Sexual, Provocative"
78,URSRVD,YOU ARE SERVED,8,"Sexual, Provocative"
79,PIETRUK,PIE AS OF THE CAKE PIE AND TRUCK BECAUSE THIS IS GOING ON A TRUCK THAT DELIVERS PIE,0,"Weapons, Cars, Masculine Themes"
80,TIKITNT,TNT-BOMB?,8,"Sexual, Provocative"
81,NOTCOPS,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS ITS NOT THE POLICE,0,"Weapons, Cars, Masculine Themes"
82,RD&NECK,RED NECK,7,"Sports, Teams, Regional"
83,MIKE661,NAME AND MONTH YEAR BORN,3,"Personal, Family, Sentimental"
84,LAHOOD4,LAST NAME,3,"Personal, Family, Sentimental"
85,31OHWKI,LOS ANGELES IOWA HAWKEYES,0,"Weapons, Cars, Masculine Themes"
86,CAMA55,"no 1955 car, not his birth year. ASS? Last name is Camarena.",3,"Personal, Family, Sentimental"
87,2TAL4YU,TO TALL FOR YOU,8,"Sexual, Provocative"
88,KASH 14,KASH = KASHMIR (FAVORITE SONG) 14 = 2014 (YEAR OF VEHICLE),2,"Sexual, Offensive, Controversial"
89,SUPRB69,"1969 SUPER BEE 69, SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
90,DIRTY V,DIRTY VAGINA,8,"Sexual, Provocative"
91,I$MYCAT,I LOVE MY CAT,1,"Humor, Personal, Playful"
92,LMTHANG,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",6,"Humorous, Quirky, Personal"
93,YU LEWZ,YOU LOSE,8,"Sexual, Provocative"
94,GETVJOB,LIKE BLOW JOB BUT VAGINA JOB,8,"Sexual, Provocative"
95,CONAN G,ITS SHORT FOR MY NICK NAME: CONAN GUO,6,"Humorous, Quirky, Personal"
96,COPS MTR,COPS MATTER,8,"Sexual, Provocative"
97,NFLXCHL,NETFLIX CHILL,1,"Humor, Personal, Playful"
98,WARPONI,"WAR, HOSTILE",7,"Sports, Teams, Regional"
99,G RUSTY,GUSTAVOS TRUCK NAME RUSTY,4,"Profanity, Drugs, Gang References"
100,FUNDIO,Spanish slang for ass or asshole,2,"Sexual, Offensive, Controversial"
101,DCBZ TX,DALLAS COWBOYS TEXAS,0,"Weapons, Cars, Masculine Themes"
102,OGRCON1,INITIALS OF OWNER AND HIS FIRST TRUCK,3,"Personal, Family, Sentimental"
103,WAVYAF,WELL-GROOMED INDIVIDUAL AF CAN STAND FOR AS FUCK,4,"Profanity, Drugs, Gang References"
104,SMOKT,"SMOKED, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
105,DAD$PP,DAD LOVES PP,1,"Humor, Personal, Playful"
106,PCP SRT,PCP-ANGELDUST A DRUG,4,"Profanity, Drugs, Gang References"
107,EL 8A,my last name,1,"Humor, Personal, Playful"
108,HOE TOX,PLASTIC SURGERY HOE,7,"Sports, Teams, Regional"
109,UGLY  SS,ITS A 1963 CHEVY UGLY ASS OR SIMPLY SS TYPE,4,"Profanity, Drugs, Gang References"
110,BIG A JP,BIG ASS JEEP/JAP,7,"Sports, Teams, Regional"
111,R8RSCUM,RAIDER SCUM OR RAIDERS CUM. EITHER ONE IS INAPPROPRIATE AND VULGAR,2,"Sexual, Offensive, Controversial"
112,YOGI CAT,I TEACH YOGA AND LOVE CATS,6,"Humorous, Quirky, Personal"
113,SHRK FN,SJ SHARKS HOCKEY FAN,7,"Sports, Teams, Regional"
114,OG49ERS,OLD SCHOOL 49ERS FAN,7,"Sports, Teams, Regional"
115,BSTRDS,BASTARDS,1,"Humor, Personal, Playful"
116,OG $4L,MY FIANCE NAME IS OWEN GARNETT AND MY NICKNAME IS LOLA. OWEN GARNETT HAS LOVE FOR LOLA. OG ORIGINAL GANGSTER,6,"Humorous, Quirky, Personal"
117,TRK YEAA,TRUCK YEAH FUCK YEAH,8,"Sexual, Provocative"
118,DD WANDA,DOUBLE D WANDA. MIDDLE INITIAL IS D.,2,"Sexual, Offensive, Controversial"
119,F URESTI,EFF YOU. BUT IT IS CUSTOMER FIRST INITIAL AND LAST NAME,4,"Profanity, Drugs, Gang References"
120,BGAS WNG,BIG ASS WANG,1,"Humor, Personal, Playful"
121,CHRMNMF,CHAIRMAN MOTHER FUCKER,8,"Sexual, Provocative"
122,YOUNG YG,YOUNG GANGSTER,7,"Sports, Teams, Regional"
123,GNSQAD,GOOGLE AND URBAN SAY GROUP OF CRIMINALS,4,"Profanity, Drugs, Gang References"
124,RED BUL8,"PULLED FOR RED, ALSO BULLET?",4,"Profanity, Drugs, Gang References"
125,KLNSHOT,GRANDPA ALWAYS SAYS CLEAN SHOT!.,6,"Humorous, Quirky, Personal"
126,RED ROGR,RED-GANG. CUSTOMERS NAME IS ROGER,6,"Humorous, Quirky, Personal"
127,EWEFKR,"FKR, SHORT FOR FUCKER",2,"Sexual, Offensive, Controversial"
128,BODHI3,"BODHI IS A TYPE OF TREE IN INDIA AND THAILAND THAT HOLDS SPECIAL MEANING FROM A BUDDHIST PERSPECTIVE, THREE IS JUST A NUMBER",2,"Sexual, Offensive, Controversial"
129,EFFSBLK,FUCK BLACKS,5,"Defiant, Rebellious, Aggressive"
130,HACK U,I AM A SECIRITY ENGINEER AND HACKING IS PART OF MY JOB. I HAD THE PALTE H4CK U WHEN I WAS IN AZ AND I WANT TO KEEP THE SAME PLATE CHANGED TO CA REGULATIONS.,6,"Humorous, Quirky, Personal"
131,GET WOD,"SIMILAR TO GET WOOD, WOOD CAN BE ANOTHER NAME FOR PENIS. GET WOOD IS SIMILAR TO GET HEAD, SEXUAL",2,"Sexual, Offensive, Controversial"
132,FNDRY 1,EFFIN DRY ONE,1,"Humor, Personal, Playful"
133,IH8BIFF,I HATE BIFF,5,"Defiant, Rebellious, Aggressive"
134,IPA PRN,BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN,4,"Profanity, Drugs, Gang References"
135,TEARUP,tear up like cry or tear up like destroy,8,"Sexual, Provocative"
136,DKHOR35,"DKHOR IS SIMILAR TO DICK WHORE, SEXUAL REFERENCE",2,"Sexual, Offensive, Controversial"
137,HELAPNO,JALAPENO,1,"Humor, Personal, Playful"
138,KILLEEN,LAST NAME,3,"Personal, Family, Sentimental"
139,NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",6,"Humorous, Quirky, Personal"
140,GOLDIN P,GOLDEN SHOWER,1,"Humor, Personal, Playful"
141,LVOVRH8,LOVE OVER HATE,8,"Sexual, Provocative"
142,BDKTYKC,BAD KITTY,8,"Sexual, Provocative"
143,GRINDIT,COULD BE SEXUAL,1,"Humor, Personal, Playful"
144,IHUNTER,I AM A HUNTER,5,"Defiant, Rebellious, Aggressive"
145,BAD 6D9,BAD 69,1,"Humor, Personal, Playful"
146,MSNIKA,MS.NIKA,7,"Sports, Teams, Regional"
147,UMTACOS,UM TACOS,1,"Humor, Personal, Playful"
148,G GOMEZ,Name of Son,3,"Personal, Family, Sentimental"
149,831 SURF,AREA SURF CA AREA CODE,4,"Profanity, Drugs, Gang References"
150,FOOKDUP,FUCKED  UP,8,"Sexual, Provocative"
151,LTSBRN1,LETS BURN ONEâ A JOINT,8,"Sexual, Provocative"
152,THZ NUTS,THESE NUTS,1,"Humor, Personal, Playful"
153,SHTSHAK,SHIT SHACK,5,"Defiant, Rebellious, Aggressive"
154,YRU FAT,WHY ARE YOU FAT,1,"Humor, Personal, Playful"
155,JUICE 88,88 HITLER REFERENCE,4,"Profanity, Drugs, Gang References"
156,UP GANG,"GANG, GANG REFERENCE",2,"Sexual, Offensive, Controversial"
157,DVEL666,DEVIL 666,1,"Humor, Personal, Playful"
158,R69DART,"69, SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
159,RED ETIC,RED=GANG COLOR,1,"Humor, Personal, Playful"
160,DA SUCIA,DIRTY IN SPANISH,2,"Sexual, Offensive, Controversial"
161,GOON RJK,GOON THUG,7,"Sports, Teams, Regional"
162,POO MNY,POO MONEY,8,"Sexual, Provocative"
163,NTHWK13,NIGHT HAWK 2013,1,"Humor, Personal, Playful"
164,8ONE8DC,8ONE8 MEANS THE AREA CODE I LIVE IN AND DC IS MY INITIALS DAVID CONTRERAS,4,"Profanity, Drugs, Gang References"
165,GXCMNDX,GO CAMANDO CUSTOMERS ARE USING X AS SUBSTITUTIONS,4,"Profanity, Drugs, Gang References"
166,RS7NICA,NICA CAN BE ANOTHER WORD FOR NIGGA,2,"Sexual, Offensive, Controversial"
167,YPAPA D,WHY PAPA D,1,"Humor, Personal, Playful"
168,LARSCAT,LARRYS KAT. OUR TWO NAMES TOGETHER.,3,"Personal, Family, Sentimental"
169,DAM 4WD,DAVID ALAN MCCLAFFERTY 4 WHEEL DRIVE,7,"Sports, Teams, Regional"
170,BL3UBYU,BLUE BAYOU,8,"Sexual, Provocative"
171,KUNEB8O,SIMILAR TO COON WHICH CAN BE A RACIAL TERM,2,"Sexual, Offensive, Controversial"
172,MY13CAM,I OWN A 2013 CAMARO,4,"Profanity, Drugs, Gang References"
173,BLIZZ69,69 SEXUAL,8,"Sexual, Provocative"
174,NAHAL G,LAST NAME G AS IN GANGSTER,3,"Personal, Family, Sentimental"
175,G UPINIT,Get up in it,8,"Sexual, Provocative"
176,KUDAH,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA,1,"Humor, Personal, Playful"
177,DJ DAANK,DANK AS IN WEED,4,"Profanity, Drugs, Gang References"
178,NSFW 911,PORSCHE MODEL 911 Not safe for work (NSFW),0,"Weapons, Cars, Masculine Themes"
179,BCHNART,BITCHIN ART,8,"Sexual, Provocative"
180,ROYALDP,"DP CAN STAND FOR DOUBLE PENETRATION, SEXUAL REFERENCE",2,"Sexual, Offensive, Controversial"
181,PIE VAN,PUSSY VAN?,8,"Sexual, Provocative"
182,F14 AT,F14 = TOMCAT JET AT = NAVY RATING,4,"Profanity, Drugs, Gang References"
183,CAT CALI,MY CATS NAME IS CALI.,6,"Humorous, Quirky, Personal"
184,NOPOSSI,NOPOSSI = NO PUSSY,2,"Sexual, Offensive, Controversial"
185,M9 M9 M9,M9 IS A BERETTA M9,4,"Profanity, Drugs, Gang References"
186,24ME14U,TWO FOR ME ONE FOR YOU,5,"Defiant, Rebellious, Aggressive"
187,GLKNSIG,TWO FIREARM MANUFACTUERS I LIKE. GLOCK AND SIG SAUER,0,"Weapons, Cars, Masculine Themes"
188,OGVIBES,OG VIBES,4,"Profanity, Drugs, Gang References"
189,TCHNGK,LOVE TEACHING KINDERGARTEN,1,"Humor, Personal, Playful"
190,ZEN GAGE,THE MEANING OF THE LICENSE PLATE MEANS TO ENGAGE IN PEACE AND MEDITATION. ZEN MEANING THE MEDITATION GARDEN IN JAPAN AND GAGE MEANING IN GOOD FAITH.,2,"Sexual, Offensive, Controversial"
191,FKYRCH,FUCK YOU RICH?,5,"Defiant, Rebellious, Aggressive"
192,44O B1GB,"SUB 1 FOR I, AND BIG B=BIG BITCH",2,"Sexual, Offensive, Controversial"
193,NUG LIFE,THUG LIFE,7,"Sports, Teams, Regional"
194,IEATROX,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.,6,"Humorous, Quirky, Personal"
195,MACTEP,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",2,"Sexual, Offensive, Controversial"
196,LIK 2 HIT,LIKE TO HIT,1,"Humor, Personal, Playful"
197,RD KING1,"ROAD KING, OR RED KING. MOTORCYCLE",0,"Weapons, Cars, Masculine Themes"
198,BLAYZ,"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI",2,"Sexual, Offensive, Controversial"
199,RODNOCK,ROD CAN BE ANOTHER WORD FOR PENIS,2,"Sexual, Offensive, Controversial"
200,71HOTBX,DRUG REFERENCE,4,"Profanity, Drugs, Gang References"
201,BADAF71,BAD AS FUCK,5,"Defiant, Rebellious, Aggressive"
202,BIGRRED,BIGGER RED,1,"Humor, Personal, Playful"
203,4BUCKIN,SOUNDS LIKE FOR FUCKIN,5,"Defiant, Rebellious, Aggressive"
204,88 PORS,YEAR OF CAR,1,"Humor, Personal, Playful"
205,RLL HRD,REAL HARD,8,"Sexual, Provocative"
206,LCNLOAD,LOCK AND LOAD,0,"Weapons, Cars, Masculine Themes"
207,DUBZ51O,"MY NICKNAME AND WHERE IM FROM, DUBS COULD ALSO MEAN WINS",6,"Humorous, Quirky, Personal"
208,LCAT 707,MODEL OF VEHICLE AND HORSEPOWER 707 AREA CODE,3,"Personal, Family, Sentimental"
209,LXUS688,PERSONAL LUCKY NUMBERS,3,"Personal, Family, Sentimental"
210,G THANG5,G THANG AS IN GANGSTA THANG,7,"Sports, Teams, Regional"
211,REDTEE,FAVORITE COLOR AND FIRST NAME,3,"Personal, Family, Sentimental"
212,NAYNAY1,NICK NAME OF FIRST NAME (RENEE),3,"Personal, Family, Sentimental"
213,IH8T4O5,I HATE THE 405 FREEWAY,5,"Defiant, Rebellious, Aggressive"
214,1971 PIG,YEAR I WAS BORN AND THE TRUCK IS FOR SHOP USE TO MOVE ITEMS AROUND IN THE MUD.,6,"Humorous, Quirky, Personal"
215,BLU LINE,SUPPORT OF POLICE OFFICERS,7,"Sports, Teams, Regional"
216,EG OKI,ERIMI GARDUNO OKINAWA,7,"Sports, Teams, Regional"
217,RNBW WAR,"IT MEANS RAINBOW WARRIOR, probably war against gays ""rainbow"" being gay",2,"Sexual, Offensive, Controversial"
218,RMRZ 714,RMRZ IS AN ABBREVIATION FOR RAMIREZ WICH IS A LAST NAME AND 714 MY AREA CODE,4,"Profanity, Drugs, Gang References"
219,IS 16 MAG,MAG  AS INMAGAZIEN GUN,7,"Sports, Teams, Regional"
220,OLBLU68,ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR OL BLUE,6,"Humorous, Quirky, Personal"
221,DRK MRK,"THE NICKNAME GIVEN ME BY MY FRIENDS IS DARK MARK, AS I AM NAMED MARK AND CAN NEVER GET TAN. OVER THE YEARS I HAVE EMBRACED THE NAME.",6,"Humorous, Quirky, Personal"
222,13B FTW,13B ENGINE FOR THE WIN,1,"Humor, Personal, Playful"
223,PSTACCI,NICKNAME - PINO STACCI,7,"Sports, Teams, Regional"
224,PCMRR8C,PC MASTER RACE,7,"Sports, Teams, Regional"
225,BLDNGUT,TRAUMA SURGEON (BLOOD AND GUT),0,"Weapons, Cars, Masculine Themes"
226,FUNDU,"IM A LOAN OFFICER AND FUND LOANS;  FUND U MEANING, I WILL FUND YOUR LOAN.",6,"Humorous, Quirky, Personal"
227,RNUOVER,"THREATENING, RUN YOU OVER",8,"Sexual, Provocative"
228,65QTPIE,"65 car year, QT Pie = Cutie pie",4,"Profanity, Drugs, Gang References"
229,RMBER M3,Remember Me,1,"Humor, Personal, Playful"
230,CHRRBMB,CHERRY BOMB IS THE NAME OF MY 1999 RED MAZDA MIATA,4,"Profanity, Drugs, Gang References"
231,MNTN BLU,WE LIVE IN THE MOUNTAINS AND DRIVE A BLUE CAR,6,"Humorous, Quirky, Personal"
232,C8ZBTCH,"BTCH COULD BE SHORT FOR BITCH, PROFANITY",4,"Profanity, Drugs, Gang References"
233,MDL 3SOM,THREESOME SEXUAL REFERENCE,4,"Profanity, Drugs, Gang References"
234,LAHUEVA,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH,2,"Sexual, Offensive, Controversial"
235,POS BUG,PIECE OF SHIT BUG,5,"Defiant, Rebellious, Aggressive"
236,DX SZN,DICK SEASON,1,"Humor, Personal, Playful"
237,MEAT ME,MY FAMILY OWNS A MEAT DISTRIBUTION COMPANY AND IT IS A CLEVER PLATE CONSIDERING ALL MY FAMILY MEMBERS HAVE MEAT RELATED PLATES,6,"Humorous, Quirky, Personal"
238,MDRNWGN,MODERN WAGON,7,"Sports, Teams, Regional"
239,DK$LOVE,LOOKS LIKE DICKLOVE,1,"Humor, Personal, Playful"
240,1UGOBLK,"ONCE YOU GO BLACK, YOU NEVER GO BACK SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
241,JADEAD,JAH DEAD,1,"Humor, Personal, Playful"
242,$TAPPED,Love TAPPED,1,"Humor, Personal, Playful"
243,TRD FURY,"TURD FURY, ani shows 2 Toyota cars",4,"Profanity, Drugs, Gang References"
244,FYF,URBAN SAYS FUCK YOUR FEELINGS BUT NOT MANY THUMBS UP 43 UP 13 DOWN,4,"Profanity, Drugs, Gang References"
245,HBLHSTL,HUMBLE HUSTLE,8,"Sexual, Provocative"
246,CHKNNTZ,Chicken Nuts,8,"Sexual, Provocative"
247,BJ69GTO,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)",4,"Profanity, Drugs, Gang References"
248,NGOC666,666 MARK OF THE BEAST,4,"Profanity, Drugs, Gang References"
249,SUR FIRE,SUREFIRE,1,"Humor, Personal, Playful"
250,FURFAN,LOVE ALL ANIMALS (FURRY),4,"Profanity, Drugs, Gang References"
251,KTY MOBL,PUSSY WAGON?,8,"Sexual, Provocative"
252,H982 FKD,"first, looks like fucked. Second, is a take on the controversial plate aired on Top Gear (H982 FKL) that was thought to be making fun of the Faukland War of 1982. H982 FKL is marked unacceptable",6,"Humorous, Quirky, Personal"
253,2FKNSLO,TOO FUCKIN SLOW,8,"Sexual, Provocative"
254,PHILDZZ,LOOKS LIKE FEEL DEEZ LIKE DEEZ NUTS CUSTOMERS NAME IS PHIL,4,"Profanity, Drugs, Gang References"
255,BBRELAX,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED,6,"Humorous, Quirky, Personal"
256,LTLBLU,NAME OF MY CAR IS LITTLE BLUE,6,"Humorous, Quirky, Personal"
257,YOU SLOW,YOU SLOW,1,"Humor, Personal, Playful"
258,AG GT5OH,GET THE FUCK OUTTA HERE,5,"Defiant, Rebellious, Aggressive"
259,SKYBOXD,SKY BOXED BOXD HIGH,1,"Humor, Personal, Playful"
260,1CUSHJD,URBAN DICTIONARY SAYS IT IS HYDROPHONIZ MARIJUANA AND KUSH IS A MAGAZINE ON MARIJUANA,4,"Profanity, Drugs, Gang References"
261,GDFELAS,GOOD FELLAS IN A MOB GANG MOVIE,4,"Profanity, Drugs, Gang References"
262,SB BOB1,CITY/NAME,4,"Profanity, Drugs, Gang References"
263,MONKYMO,MONKEY MO IS MY NICKNAME,1,"Humor, Personal, Playful"
264,SHAKE 4M,SHAKE FOR THEM - Cant see ANI for Dodge Challenger,6,"Humorous, Quirky, Personal"
265,N LV TNT,TNT BOMB E,7,"Sports, Teams, Regional"
266,IMNUDY,MY FRIENDS CALL ME NUDY INSTEAD OF MY NAME NUTI. ITS ALWAYS MISPRONOUNCED BUT COMES OUT AS NUDY ALL THROUGH HIGH SCHOOL. SO MY NICKNAME IS MATTHEW NUDY IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI,6,"Humorous, Quirky, Personal"
267,NFGIVN,NO FUCKS GIVEN,5,"Defiant, Rebellious, Aggressive"
268,22A3VOM,MOVE ASS,8,"Sexual, Provocative"
269,BISH BUS,"BISH(OP) IS OUR LAST NAME, AND BUS IS A NICKNAME FOR OUR FAMILIES FIRST SUV BITCH BUS.. CUSTOMER LAST NAME IS BISHOP",6,"Humorous, Quirky, Personal"
270,KLL*JOY/,"KILL AND JOY, KILL CAN BE OFFENSIVE",2,"Sexual, Offensive, Controversial"
271,LAZYCAT,JUST LAZY. MY CAT IS LAZY.,4,"Profanity, Drugs, Gang References"
272,DAM ESE,DAMN ESE,5,"Defiant, Rebellious, Aggressive"
