plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
HALE 89,HALE IS MY LAST NAME AND I WAS BORN IN 1989,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names,
VW MK7 G,VOLKSWAGEN MARK 7 GTY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
IT$RN 14,IT IS MY HUSBANDS PROFESSION IS IN IT AND I AM AN RN WE GOT MARRIED IN 2014,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
PR1 ODRS,THE BAND PRETENDERS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RU NUTS,I WORK FOR BLUE DIAMOND GROWERS MEANING ALMONDS,Business and University Identities,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XPLR GRW,EXPLORE AND GROW,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DRT MGRT,SHORT FOR DIRT MCGIRT. JUST A PLAY ON WORDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BIG5RED,RED = GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BIKINI G,BIKINI GOD - WE OWN A BIKINI STORE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUBERX,THIS IS MY FIRST CAR AND IT IS BLUE I THINK IT LOOKS LIKE A BLUEBERRY,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
BLUE ONE,LIKE THE COLOUR BLUE,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
BLULIVS,"BLUE LIVES MATTER, IT MEANS THAT POLICE LIVES MATTER TO ME.",Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
G MARCOS,G = GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
MERS M4,MERCEDES BAUMBACH'S BMW M4,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
OLBLU92,OLD BLUE 1992,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLU HOON,CAR'S NICKNAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BIGFAFI,BROTHER'S NAME WHO JUST PASSED AWAY,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
BAB RED,RED- GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BGRED CJ,RED- GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
DOMSDAY,"DOOMSDAY IS A COMIC BOOK CHARACTER, IN THE SUPERMAN VS BATMAN MOVIE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
EBOX 3,ELECTRIC CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
G BLKPRL,GONZALES BLACKPEARL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
G ENRIQZ,"g=gangster, customer name is Guadalupe Enriquez",Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
GIBBSLP,NCIS REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
JMF 67,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
RED MTRS,REDLINE MOTORS IS THE MEANING OF THE PLATE ITS A SHOP'S NAME,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
RED VIN,RED WINE,Business and University Identities,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
RUNGIRL,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
SHA2KAT,FIRST 3 LETTERS OF BOTH OF MY CHILDREN. THE # 2 SIGNIFIES BOTH OF MY CHILDREN,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
UCM CATZ,COLLEGE AND MASCOT,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
1HOT RED,RED IS MY HAIR COLOR,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
64LOWCO,"1964 CHEVY IMPALA, CRAZY CAR.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
IM KAT,AM KATHY (KAT),Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
O2 BLUE,IT'S THE COLOR OF MY CAR,Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,
BE4H CAT,CAT VAGINA REFERENCE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BLEUE,"FRENCH WORD FOR BLUE, THE COLOR AND NAME OF VEHICLE",Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
B4HL CAT,CAT VAGINA REFERENCE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
DON KATZ,NAME DON KATZ,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FIRE FIX,FIRE FIX MARIJUANA FIX,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions
HABANO1,HAVANA CIGARS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
LOWNLNG,LOW AND LONG SEXUAL REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MS14FEB,MISS VELENTINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
T84J838,LOOKS LIKE TIN NUMBER,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
UA19NT6,INITIALS AND DATE OF BIRTH,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
OFOGY,OG ORIGINAL GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
KAKEPOP,"WE HAVE A SMALL BUSINESS, CALLED DENSONIOS CAKE POPS. THIS WOULD GO ON OUR CURRENT CAR FOR THE BUSINESS.",Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
I M BLU,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
AFVETCA,CALIFORNIA AIR FORCE VETERAN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AMGLG,AMG VEHICLE FOR LUPE AND GABRIEL,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
AUJLAG,MY LAST NANE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BALDNCR,BALBOA DANCER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BATCAT,"CAT, SEXUAL REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BEYANNY,"YANNY IS MY FIRST NAME AND I LIKE TO BE ME,  THEREFORE I CHOSE BE YANNY",Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,
BLUMENY,BLUE MEANY FROM MOVIE YELLOW SUBMARINE,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Pet and Animal Themes,Colors and Descriptive Traits
BOOSTY,PUN ON MY LAST NAME AND CAR IS A TURBO .  PLEASE CENTER IT.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
CHELYA,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CITYKAT,"INSTEAD OF KITTY CAT, CITY KAT. THE CAR IS A  JAGUAR",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
DEEPRED,"CAR IS DARK RED, OFTEN CALLED DEEP RED.",Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
DJRBLOO,LOS ANGELES DODGER BLUE,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
DKHORSZ,DARK HORSE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
DUKHNTN,DUCK HUNTING HAD THIS ON MY PLATE WHEN I  LIVED IN NEVADA,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DZNEY13,I GOT MARRIED AT DISNEYLAND ON THE 13TH.,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
EXLOSER,NO LONGER A LOSER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FAT49ER,I'M A OVERWEIGHT 49ER FAN.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GAES356,MY WIFES PORSCHE SPEEDSTER,Diverse Personal Expressions,Personal and Family names,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
GAK1932,INITIALS & BIRHT DATE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GORDO33,MY NICKNAME FROM HIGH SCHOOL AND  FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HAULNO,NO HAULING ALLOWED,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HHSPD,HOT HEAD SPEED,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
HIRVNG,CAR TURNS A LOT OF RPM'S,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HLNBNZ,(HAULING BUNS)  I OWN A BREAD ROUTE THAT DELIVERS BREAD AND BUNS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HOODOO9,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
HZGORDA,NICKNAME FOR MY WIFE,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
INODUMB,I NO DUMB,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JPDGW,INITIALS OF OWNERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
JUDYSRS,JUDYS RS,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
