index,plate,review_reason_code,customer_meaning,reviewer_comments,status
7244,NO PNDJO,2,FAMILY INITIALS,NO PENDEJO SPANISH CURSE WORD,N
13983,GSEA MDR,2,its my boat,"not sure of language, cant translate. Doesn’t look like its my boat in Franch or German",N
1358,18 KWH,2,BATTERY CAPACITY OF THE VOLT,18-HITLER,N
15881,B HALLS,3,MY NAME,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL,N
14668,MOJO VAN,1,MY NICKNAME,MOJO?,Y
8528,H8N BMPS,7,"CAR IS LOWERED, CAR SCRAPES ON SPEED BUMPS",HATEN?,N
11971,DAF,3,MY KIDS FIRST LETTERS OF THERE NAMES,CAN STAND FOR DOWN AS FUCK,N
3692,DARWIN14,2,NAME AND BIRTHDAY,14-HITLER,N
19314,SUBIE AF,2,THE CAR IS A SUBARU AND MY INTITIALS ARE AF,AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF),N
17413,GRMAG,2,GRAMA LOVES HER GRANDKIDS,"G, GANG REFERENCE",N
21429,18BYH94,2,BRIAN YOSEF HINOJOSA 18/1994,"18, GANG REFERENCE",N
22366,DICKARD,2,NICKNAME MY BROTHER-IN-LAW GAVE ME,DICK HARD,N
7098,ONW2 FYB,7,ON MY WAY TO FIX YOUR BIKE,FUCK YOU BITCH,N
22586,WAASSUP,3,WHATS UP...HOW ARE YOU DOING,ASS UP?,Y
21475,DRTYTYZ,1,OFFROAD DIRT TOYS FOR MY TRAILER,"DIRTY TOYS, COULD BE CONSIDERED SEXUAL",N
16505,JMPGC69,1,FAMILY LOGO,"PULLED FOR 69, (1969 FORD ON ANI)",Y
10382,K1ON51O,7,NO MICRO,510 CA AREA CODE,N
21328,FLAT6 9K,1,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM","69, SEXUAL REFERENCE",Y
9400,K SERO,2,NICKNAME,CAT,Y
17338,R8RDUKY,3,RUBBER DUCKY,DUKEY IS ANOTHER WORD FOR POOP,N
18651,LYV FISH,,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",FISH,Y
20574,CRDKILR,2,CROWD CONTROL (MUSTANG JOKE),"KILLER, HOSTILE",N
953,69MC VET,1,NO MICRO,COULDNT VERIFY 69 VEHICLE,N
3637,COPNOPE,5,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP,COP,N
20513,IDO1214,2,WEDDING DATE,"14, GANG REFERENCE",Y
12752,MS14FEB,2,MISS VELENTINE,14 GANG REFERENCE,Y
10176,Y H8 ME,7,WHY HATE ME,HATE,N
18977,TCBLAMF,3,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)",MF,N
20207,6872 V14,2,"BIRTH YEARS FOR ME, WIFE, DAUGHTER",14 = GANG NUMBER,Y
1792,6EBELLE,,NICKNAME,SEXY BELLE,Y
16364,BYE PIG,5,LAST CAR WAS A GAS PIG (7MPG) EVEN NICKNAMED PIG .THIS ONE 27MPG SO BYE GAS PIG,PIG COP,N
15404,TAP D IN,1,TAPPED IN,COULD HAVE SEXUAL CONNOTATION,N
17975,BDASGRM,3,CELEBRATING OUR GRANDMA,BAD ASS GRANDMA,N
1285,1 MAD O,1,10 LUCKY NUMBER AND INITIALS MICHAEL AND ADRINE DANIELIAN,ONE MAD ORGASM?,N
16662,OLDHAG,3,OLD WOMAN,"HAG, SOME MAY TAKE OFFENSE",N
10395,1 BAM F,3,1 BEAUTIFUL AMAZING MEXICAN FEMALE,BADASS MOTHER FUCKER,N
14398,13KH73B,2,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB,13 = GANG NUMBER,N
19340,LUKYA55,3,LUCKY AT 55,LUCKY ASS,N
20116,LIT LAW,7D,COMPANY NAME,LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT,N
1922,30078Z1,,ORIGINAL PLATE,LOOK A LIKE,N
16980,BIOSKLR,2,INTERNET NICKNAME,KILLER,N
3158,DEWSHBG,2,NAME OF MY COMPANY,DOUCHE BAG,N
19331,39891,6,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,ALL DIGITS,Y
14370,SMOKEUN,7D,HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE.,"SMOKIN, COULD BE DRUG REFERENCE",N
3613,SKYHY,D,SKY IS A NICK NAME BECAUSE IM 65 TALL. HY FOR THE FIRST TWO LETTERS OF MY LAST NAME,SKY HIGH VERY HIGH,N
8266,OKAY CUH,2,OKAY FRIEND OR COUSIN,"CUH=CUZ, A CRIP (GANG) TERM",N
19272,5OACRES,5,50 ACRES OF LAND,"5O, POLICE REFERENCE",Y
1678,LOL PP,1,LOLLIPOP,pp=peepee=penis,N
10761,889 88,2,NO MICRO AVAILABLE,88 HITLER REFERENCE,N
12218,WISL PIG,5,ITS IN HONOR OF MY DAD HO LOVD GROUNDHOGS,PIG = POLICE,N
11733,6SPDKAT,1,6 SPEED KAT,"CAT=PUSSY, HAS BMW NO CAT CAR",Y
22799,2 CREAMY,1,FAMILY NICKNAME,TOO ME IT SOUNDS SEXUAL,N
19080,O311 MM,,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM,LOOK  A LIKE,N
15420,69ZOMBI,1,CAR MAKE AND MODEL,PULLED FOR 69,Y
17088,55P PTWN,2,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,559 AREA CODE,Y
9208,PSTLROS,2,ICE CREAM SALES MAN,PISTOL,N
13890,TELLE B,,WIFES NICKNAME,TELLE BITCH,N
14001,AREE 88,2,NO MEANING ON REG 17,88 HATE SYMBOL,N
19367,HBGRL1 3,2,HUNTINGTON BEACH LOCAL GIRL,13 = GANG NUMBER,N
15902,LEO13H4,2,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL,13=GANG,N
14266,PHQDKHD,3,PHYSIQUE DUCK HEAD OREGON DUCKS FAN,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",N
15780,WUTANNG,1,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.,TANG=PUSSY,Y
21673,BIGMO69,1,NICKNAME,PULLED FOR 69 Cant see ANI,N
10407,DR STANK,2,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME,Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotations…?,N
2263,STIDFWU,3,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DON’T WANT ANY TROUBLES,I DON’T FUCK WITH YOU,N
21686,DVLMOBL,2,THE CAR IS A RAT ROD AND THE NAME IS DEVIL MOBILE,DEVIL MOBILE,Y
3982,AMF HTRS,2,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE,HATERS,N
5517,FNH FAL,2,FAVORITE HISTORICAL FIREARM,FN FAL IS A SEMI AUTOMATIC RIFLE,N
1427,ABMK$14,2,FOUR FIRST LETTERS OF OUR FAMILY MEMBERS AND 14 FOR THE YEAR OUR YOUNGEST WAS BORN,14-HITLER,N
1737,73CMNDO,1,NO MICRO,CAMANDO,N
16824,BEES HUM,1,"HONEY BEES HUM, AS IN SINGING","HUM CAN HAVE SEXUAL CONNOTATIONS, NO HUMMER ON ANI",N
6200,CANABCH,3,"name of my company: cannabeach, llc",cannabeach is a medical marijuana delivery service,N
8480,CAZZO,3,OUR FAVORITE RESTAURANT IN DALLAS,ITALIAN FOR FUCK,N
4195,69CUDIE,1,FOR MY 1969 BARRACUDA,COULDNT VERIFY 1969. CUDIE..SEX,N
14707,BUBZS,1,SONS NICKNAME,BOOBS,N
15665,FADYNP,1,FADY NP,COULD BE FATTY NIP (NIPPLE),N
12177,HY ROLER,7D,NAME OF THE VEHICLE ITS GOING ON. ITS A CUSTOM LIFTED VEHICLE. HIGH ROLLER,HIGH ROLLER COULD BE DRUG REFERENCE,N
20364,GSLILCR,2,GLORIA SASSES LITTLE CAR,"GS LITTLE CAR G, GANG REFERENCE",N
7887,RSQKTY,1,rescue kitty,"kitty=pussy, no cat car. this is a Pet plate, she has FERALV now on a Pet plate",Y
7935,WET WLYS,1,WE HAVE A JEEP WILLYS,WET-CAN BE SEXUAL,N
21247,SHIV OO1,2,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME.","SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)",Y
18421,JDUBS,7D,MY CAR NICKNAME....,"DUB, DRUG REFERENCE",N
37,MI HYNA,2,NO MICRO AVAILABLE,GANGSTER GIRL OR CHOLA,N
8246,LOCO8N1,2,CRAZY 8,LOCO=CRAZY,Y
3978,KLR 65OE,2,NO MICRO,"650 AREA CODE, KILLER",N
3058,CHILA 18,2,NICKNAME,18 HITLER REFERENCE,N
15977,EL CHOPR,2,NICK NAME,"THE CHOPPER, HOSTILE",N
7080,2TITG1B,1,TOO TIGHT….GONNA GO 1ST BEST (IN SHOW),TIT-LIKE BREAST?,N
18166,BKICKER,,ITS THE NAME OF MY HOME INSPECTION COMPANY: BRICKKICKER,"KICKER OR LOOKS LIKE B, KICK HER",N
8539,IFUWKIT,3,IF YOU WORK IT,I FUCK WITH IT,N
21125,GUEROSI,,FAMILY NAME,GUEROSI (Customers name is Rosales.,N
21536,GT VAPE,7D,ITS MY COMPANYS NAME,PULLED FOR VAPE,Y
762,GASSSUC,3,GAS POLLUTES THE ENVIRONMENT,SUCKS?,N
16645,HLYWDHI,7D,I GRADUATED FROM HOLLYWOOD HIGH SCHOOL,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE",N
15312,PDEWAGN,5,PADY WAGON,PADDY WAGON = POLICE VAN,N
12634,TRILL OG,2,TRILOGY,OG = ORIGINAL GANGSTER,N
11645,6939OC6,6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,LOOK A LIKE,N
17080,1776US1,6,AMERICAN INDEPENDANCE,LOOK A LIKE,N
19955,N54GANG,2,"N54 IS THE NAME OF THE CARS ENGINE, N54GANG IS AN INSTAGRAM ACCOUNT.","GANG, GANG REFERENCE",N
22117,MLUVSTX,1,MELISSA LOVES TONI XANAYA,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS",Y
12816,DEEPRED,2,"CAR IS DARK RED, OFTEN CALLED DEEP RED.","RED, GANG REFERENCE",Y
575,KATHELL,3,HELL CAT IS NAME OF OUR MODEL CAR,"no dodge on ani, hell",N
17783,LOVE BJ,1,I LOVE BEIJING,BJ BLOW JOB,N
21377,OL 5O,5,ITS FOR A 1950 PACKARD,"5O, LAW ENFORCEMENT REFERENCE",Y
17901,BETHE B,3,NO MEANING ON REG 17,BE THE BITCH,N
23156,ICEUP,7D,ICE UP MEANS STEP YOUR GAME UP,ICE IS ANOTHER WORD FOR DRUGS,N
19865,PWNED13,2,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH,13 = GANG NUMBER,N
4961,MUFAXUH,3,LONG HAIR JUST LIKE THE LION FROM LION KING,MOTHER FUCKER,N
18393,ARCE,1,MY NAME,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS",N
10367,8O8POKE,1,HAWAIIN STYLE POKE,POKE-SEXUAL?,N
15061,75TH JP,,75TH ANNIVERSARY JEEP,JP LOOKS LIKE JEEP OR JAP,N
6745,HITMAN,2,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK!",KILLER,N
22846,88BURNZ,2,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER,"88, GANG REFERENCE",N
1247,WSUPESE,2,WHATS GOING ON MAN,WHATS UP ESE GANG SLANG?,N
9530,RED TOP,7,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",RED-GANG COLOR. IT IS A BUSINESS,Y
21618,CRYRMOB,2,CRYER FAMILY,MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name,N
13542,DINAN AF,3,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS,AF = AS FUCK,N
13796,BLK PC,,BLACK PORSCHE CARRERA,BLACK P C,N
1408,MUTANT G,2,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES",G,N
2131,FIGHTS,2,BUSINESS,fight,N
6111,BRYTBLU,7,NO MICRO,BLUE- GANG COLOR,Y
11703,CHEEEX,1,NICKNAME FROM DECEASED GRANDMOTHER,CHEEKS=ASS,N
17826,BCH4YOU,2,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT,BEACH FOR YOU OR BITCH FOR YOU,N
7345,HAT3,2,no quickweb,"HATE (not a lookalike or sub, customer last name is Hatfield)",N
20098,BLK SVGE,2,THE COLOR IF THE CAR AND REPRESENTS WHAT IVE BEEN THROUGH IN LIFE. A STRONG PERSON.,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON,N
9828,1968 U14,2,NO MICRO AVAILABLE,14 GANG REFERENCE,N
14210,HIF4LFE,7D,HEARTS IN FOCUS FOR LIFE,HI FOR LIFE,N
1779,UTRA GNZ,,no micro,UTRA GNZ,N
8099,RUSSO13,2,LAST NAME AND FAVORITE NUMBER,13-GANG,N
7260,BLK911S,2,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.,BLACK 911,Y
14393,YRU1 2H8,2,WHY ARE YOU ONE TO HATE,WHY ARE YOU ONE TO HATE,N
13290,AGENCYG,2,I RUN A COMPANY CALLED THE AGENCY AND MY LAST NAME STARTS WITH G,"G, GANG REFERENCE",N
13661,J13BON,2,J - GERMAN FOR YOUNG 13- AGE I STARTED BONSAI BON- BONSAI ARTFORM,13 GANG REFERENCE,N
11604,JG13ZL1,2,NAME AND MAKE,13 GANG REFERENCE,N
1030,88LDYM,2,NO MICRO,88-HITLER,N
20231,ST4R W4R,2,MOVIE,STAR WAR IS  MARKED UNACCEPTABLE,N
2734,ANNSBCH,3,NO MICRO,ANNS BITCH…ANNS BEACH.. NOT ON COASTAL,N
6320,4QIDGAF,3,LIFE IS SHORT,IDGAF-I DONT GIVE A FUCK,N
1095,YUGO G,2,CARS NAME,YOU GO G AS IN GANGSTER,N
4083,NNJA HLR,2,NINJA HAULER,NINJA ALSO ANOTHER FOR NIGGA ..,Y
23052,COMEONB,3,WIFES NAME IS BRENDA. I CALL HER B  FOR SHORT.,B = BITCH,N
3917,C ME 4MJ,D,I WORK FOR THE MAUI JIM SUNGLASS COMPANY,SEE ME FOR MARY JANE,N
23209,UR MVN,2,YOU ARE MOVING. I AM A REALTOR,"YOU, COULD BE HOSTILE",Y
14045,SCHIZAH,3,THIS IS MY NICKNAME.,SHIT IN GERMAN,N
16633,DFIESTA,1,CAR MODEL,"THE D COULD STAND FOR DICK, DICK PARTY",N
4903,IDGT714,2,FAMILY INITIALS,714 AREA CODE(too many ANI),N
4866,PIMPJCE,2,THE NICKNAME MY FATHER GAVE THE CAR WHEN I BROUGHT IT HOME,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,N
20060,DNAZZTY,1,NICKNAME,THE D COULD STAND FOR DICK,N
7029,CUDA 7T,1,1970 CUDA,CUDA SLANG FOR VAGINA,Y
10782,FUCKK IT,3,MY DAUGHTERS PET NAME,SELF EXPLANITORY,N
17173,YE2TH 13,2,NICKNAME AND BIRTHDATE,13=GANG NUMBER,N
9476,MALIBU G,7,NO MICRO,G-GANGSTER,N
4512,WSUC$UG,2,(WSU)=WASHINGTON STATE UNIVERSITY ; (C*UG)= SCHOOL MASCOT IS THE COUGAR.,SUCK,N
9097,5PTHOE,3,5 BECAUSE IM THE 5TH CHILD. PTH IS MY MOMS INTIALS AND OE IS MY DADS,HOE-WHORE.,N
4174,MNT CHP,5,MINT CHIP ICE CREAM,MINT CHIP…. CHP,N
19170,SMOKY,,MY NICKNAME,SMOKY,N
22527,JONKY,7D,JOHN KINGSLEY,JUNKY? - Customers name is Chudi Christopher Nduaguibe,N
2563,CRP INS,2,CALIFORNIA REVOLVER AND PISTOL INSTRUCTION,CRIP,N
2522,11O4DGO,2,NO MICRO,DGO LOOKS LIKE DIEGO,N
19831,DEAD1CO,1,DEAD AND CO IS THE NAME OF A BAND I LOVE,PULLED FOR DEAD,N
7266,FLIPN RE,3,FLIPPING REAL ESTATE,FLIPPIN AS N FUCKIN,N
22146,8183,6,BIRTH YEAR OF HUSBAND AND MYSELF,ALL DIGITS,Y
8460,HMSTRKR,2,no quickweb,STRIKE HER?,N
6941,$BOHDI8,2,TREE OF AWAKENING,LOOKS LIKE 18 HITLER REFERENCE,N
9614,BONGSKE,7,ALIAS,BONG-WEED,N
22587,13PSALM,2,RELIGIOUS,13 = GANG NUMBER,N
16861,OPD6M52,5,DEPARTMENT NAME,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)",N
15050,1PXIDST,,OUR DOGS NAME,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS,N
4563,OG LARAM,2,ORIGINAL LOS ANGELES RAMS FAN,OG=ORIGINAL GANGSTER,Y
17223,JWLUV13,2,J W LOVE  13 FAVORITE NUMBER,13 = GANG NUMBER,N
12309,PUMPGUY,2,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY,PUMP GUY SEXUALL REFERENCE,Y
18473,FORDFX,3,MODEL OF MY CAR,FX COULD STAND FOR FUCKS,Y
22491,#C4 28K,2,THIS IS MY AMPARTMENT NUMBER IN MY HOMETOWN,C4 EXPLOSIVE,N
659,GTFO1O1,3,GOOD TIMES FOR OUR 101,GTFO=GET THE FUCK OUT (OR ON),N
641,6VISIX,4,MY BIRTHDAY,666,Y
1132,KAMAL 14,2,MY SON NAME AND HIS YEAR OF BIRTH,14 GANG REFERENCE no 2014 on record,N
7674,4A12K88,7,NAME AND BIRTHDATE,88-HITLER. NAME AND BIRTHDATE VERIFIED,N
17402,DOCVAJJ,1,KIDS NAMES,"DOCTOR VAGINA, SEXUAL REFERENCE",N
2187,ZH2O46O,,FIRST PLATE ISSUED TO A PORSCHE 356 IN SWITZERLAND,IS THIS A TRAILOR,N
4189,YK69NYJ,2,YK NICKNAME. 69NYJ IS FAVORITE TEAM AND YEAR,COULDNT VERIFY 1969,N
4369,IVREE88,2,REFERS TO THE NUMBER OF LEYS ON A PIANO.,88=HATE SYMBOL. TRUE ABOUT PIANO KEYS,N
16789,1JMV69,1,MY INITIALS AND BORN YEAR,"69, SEXUAL REFERENCE",N
20438,SUGAR88,2,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,"88, GANG REFERENCE",N
9153,MPG AF,3,I DRIVE A TOYOTA PRIUS AND I GET A LOT OF MPG. I LIKE TO DRIVE AND TRAVEL AND ITS ALWAYS FUN GETTING GOOD MPG,MPG AS FUCK!,N
4516,ILS LOC,2,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,LOC AS GANG REFERENCE,N
5512,DOPE MK6,D,MK6 IS THE TYPE OF CAR I HAVE.,PULLED FOR DRUG REFERENCE,Y
8867,ZRO5ONE,2,NAME OF MY TACTICAL TRAINING/GUN DEALER BUSINESS-ZERO5ONE TACTICAL LLC,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH,Y
20504,BON3SAW,2,THIS IS MY NICKNAME AND COMES FROM SPIDERMAN MOVIE,"BONESAW, SOME MAY FIND IT OFFENSIVE (BONESAW LISTED AS UNACCEPTABLE)",N
7079,WOODIE4,1,MY LAST NAME AND THE NUMBER OF PEOPLE IN MY FAMILY!,SPELLING OF LAST NAME BUT WOODY CAN BE A ERECT PENIS,N
13928,5IVEOHH,,THE ENGINE TO MY CAR IM GETTING THESE FOR IS A 5.0,5O COULD MEAN COP OR MUSTANG,N
20021,2 SICK5O,5,OWN A MUSTANG,"5O, LAW ENFORCEMENT REFERENCE (No Ford on Record)",N
13011,BKBUUTY,2,BEAUTIFUL BLACK TRUCK,BK = BLOOD KILLER,N
9740,MUDKITI,1,NO MICRO,DIRTY KITTY?,N
8271,1 BOLBOL,1,my nick name,Tagalog word means testicles,N
12055,YUHAYTN,2,WHY YOU HATING,"HATE, OFFENSIVE",N
11253,JAPJIT,2,MY SON NAME,"PULLED FOR JAP, RACIALLY DEGRADING TERM",N
12344,BACINGA,,NICKNAME,CAN MEAN FOOLED YOU WHEN JOKING AROUND AND PLAYING PRANKS ON PEOPLE BUT IT CAN ALSO MEAN COCK SUCKER IN GERMAN,N
2554,BLUESTN,2,MY BUSINESS NAME,BLUE,Y
15763,RCOCHO 8,3,FRIENDSHIP BOND,"GOOGLE SAYS COCHO CAN MEAN SHIT/FUCK/VAGINA IN SPANISH, AN ALL PURPOSE CURSE WORD. (COCHE=CAR)",N
5584,X6 BFM,3,"X6 JUST CAR TYPE, AND REST OF LETTER DO  NOT HAVE MEANING.",BFM= BILL FUCKING MURRAY,N
3559,NWA IE,2,COMPANY NAME,NWA,N
19864,PUBER,1,LIKE UBER BUT PUBER. MY NAME IS PETER AND I DRIVE EVERYONE AROUND LIKE UBER.,PULLED FOR PUBE,N
11414,KNKLS UP,2,KNUCKLES UP  THE NAME OF MY OFF ROAD GROUP..  YOUR KNUCKLES ARE UP WHEN RIDING  DIRT BIKES,PREPARE TO FIGHT,N
15604,THREEPR,2,3 PERCENTER,"REEPER, SOME MAY FIND OFFENSIVE",N
17507,DHAMI88,2,LAST NAME AND FAVORITE NUMBER,"88, GANG REFERENCE",N
2622,G BEAST,,GUSTAVOS BEAST,G AS IN GANGSTER,N
12963,8168O,6,JERSEY NUMBERS FOR SAN FRANCISCO PLAYERS STEVE YOUNG JOE MONTANA JERRY RICE,ALL DIGITS,N
4846,YE4PLAY,1,YE IS MY SON. 4TH KID THAT PLAYS SPORTS,YEA PLAY OR YEA FOREPLAY,N
11430,OGRCHK3,2,03 GRAND CHEROKEE,OG ORIGINAL GANGSTER,Y
1617,LIT,D,BASICALLY MEANS AWESOME OR COOL LIKE THAT IS COOL.. THAT IS LIT,LIT CAN MEAN HIGH OR DRUNK,N
3368,AJNDRVR,2,"I AM A FATHER OF THREE ADAM, JESSIE AND NIKKI WHOM I AM ALWAYS CARTING TO SCHOOL PRACTICE MOVIES AND DINNER.",LOOKS LIKE ASIAN DRIVER,N
6259,FDGNEMO,3,NEW CAR ORANGE NEMO FAN,FUDGE CAN BE SLANG FOR FUCK,N
2944,AMERI AF,3,PATRIOTIC….. AMERICAN,AS FUCK,N
18959,CTM 72,3,nickname,EITHER CONCHA DE TU MADRE ( YOUR MOTHERS PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (its not his initials),N
9806,69BSTNG,1,1969 DODGE SUPER BEE BEE STING,69 SEXUAL. NO 69 CAR,N
12339,FLIPNLA,3,HOUSE FLIPPING,FLIPPIN LA,N
22837,JS4LUCY,7D,JUST FOR LUCY,"J COULD STAND FOR JOINTS, JOINTS FOR LUCY",Y
19719,RCO4FBI,5,INITIALS/BIRTHDATE/AND 3 CHARACTERS OF FROM MY FIRST LICENSE PLATE,"FBI, LAW ENFORCEMENT REFERENCE",N
1052,TS 13,2,NO MICRO,13-GANG,N
7166,BLZ EYE,2,BULLS EYE,BULLS EYE LIKE TARGET PRATICE LIKE TO SHOOT?,Y
22139,ZEUS666,2,FAMILYS TRADITION,"666, SOME COULD FIND IT HOSTILE",Y
2228,# MJF 88,2,NO MICRO,88-HITLER,N
1740,FMLY CAT,2,NO MICRO,CAT,N
1091,FSTRIDE,2,FAST RIDE,FAST RIDE,Y
22503,BLUCRZY,2,STANDS FOR BLUE CRAZY. MOTORCYCLE IS BEAUTIFUL BLUE.,BLUE,Y
4947,98 BEAVR,1,"I OWN A 1998 BEAVER MARQUIS DIAMONTE, ONLY 30 MADE",BEAVER SEXUAL REFERENCE,Y
12270,18SMB,2,OUR FAVORITE NUMBER AND OUR INITIALS,18 GANG REFERENCE,N
2463,69 PRIMO,1,ONLY ONE 1969 CAMARO,COULDN’T VERIFY 1969,N
5135,TOR HMR,1,MIDDLE NAME AND NORDIC GOD,HMR HUMMER,Y
4627,BRAPP88,2,ROTARY ENGINE NOISE BRAPP BRAPP 88= 8= WEALTH,COULDNT VERIFY 1988 VEHICLE,N
2568,FXXK IT,3,EFFECT IT,FUCK IT,N
12765,UEMEFER,3,YOU AND ME FOR EMERGENCY ROOM,YOU MOTHER FUCKER,N
14915,RDNKBMW,2,RED NECK BMW,REDNECK BMW,N
22741,KATS T,1,WIFE NAME AND T FOR TESLA,"CAT, COULD BE CONSIDERED SEXUAL",Y
