index,plate,review_reason_code,customer_meaning,reviewer_comments,status,review_reason_code,meaning
11753,BLKBEZY,3,"BLACK FOR BLACK CAR, BEEZY NICKNAME",BEZY=BEEZY WHICH IS SLANG FOR BITCH,N,1,"BLACK FOR BLACK CAR, BEEZY NICKNAME"
21570,STANKEE,1,(VEHICLE) IT STINKS,CAN BE SLANG FOR VAGINA,N,1,(VEHICLE) IT STINKS
17937,L A BUMZ,2,LOS ANGELES DODGERS ARE BUMS. GO GIANTS!,an insult… but has been out spelled with an s since 1984,N,2,an insult… but has been out spelled with an s since 1984
6814,MY 1 TACO,1,MY FIRST TACOMA. TACO IS SHORT FOR TACOMA (TOYOTA TRUCK),TACO SEXUAL REFERENCE,N,1,MY FIRST TACOMA. TACO IS SHORT FOR TACOMA (TOYOTA TRUCK)
21387,R1O2712,6,BIRTH DATE,LOOK ALIKE,N,1,BIRTH DATE
1089,515OR8,2,OAKLAND RAIDERS FAN NICKNAME,CRAZY R8,Y,1,OAKLAND RAIDERS FAN NICKNAME
22054,KHACH$U,2,MEMORIAL FOR MY OLDER BROTHER WHO PASSED AWAY,"YOU, COULD BE CONSIDERED HOSTILE",Y,1,MEMORIAL FOR MY OLDER BROTHER WHO PASSED AWAY
22901,IRINA D,1,WIFES NAME,STAND ALONE D,N,1,WIFES NAME
19079,OO7S911,,JAMES BOND CAR,911 EMERGENCY,Y,1,JAMES BOND CAR
16188,3OH XHT,,30 IS MY FAVORITE NUMBER. H IS MY LOVERS INTIAL. X FOR KISS. HT IS MY INITIALS,THANKS HOE,N,1,30 IS MY FAVORITE NUMBER. H IS MY LOVERS INTIAL. X FOR KISS. HT IS MY INITIALS
8057,PAPO,1,MEANS LITTLE BOY,SPANISH SLANG FOR VAGINA,N,2,SPANISH SLANG FOR VAGINA
8023,GRVSEND,2,GRAVES END AN AREA OF BROOKLYN NY,"GRAVE SEND, LIKE SEND YOU TO THE GRAVE? BUT GRAVESEND IS A NEIGHBORHOOD IN BROOKLYN",N,1,GRAVES END AN AREA OF BROOKLYN NY
21339,GTOKEEF,7D,KEITHS GTO,"GTO KEEF, KEEF IS THE CRYSTALS ON MARIJUANA",N,1,KEITHS GTO
1001,MAS TACO,1,TACOMAS IN RANDOM SEQUENCE,TACO SLANG FOR VAGINA,N,1,TACOMAS IN RANDOM SEQUENCE
3046,415 JEEP,2,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE,415 AREA CODE,N,1,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE
17184,82 WPB,3,82 FOOT US COAST GUARD PATROL BOAT,WE PULL BITCHES. THIS IS A VETERAN AUTO PLATE,Y,2,WE PULL BITCHES. THIS IS A VETERAN AUTO PLATE
13533,8O5BUMN,2,(805) AREA CODE IN SANTA BARBARA (BUMN) BEING A BUM ON THE BEACH,805 = AREA CODE,N,1,(805) AREA CODE IN SANTA BARBARA (BUMN) BEING A BUM ON THE BEACH
17096,BLU7PRL,2,SPIRITUAL WISDOM,BLUE,Y,3,SPIRITUAL WISDOM BLUE 
8779,LT HOE,3,LITTLE MODEL LY CHEVY TAHOE,HOE-WHORE,N,2,HOE-WHORE
19388,SAVG TRD,2,SAVAGE TOYOTA RACING DEVELOPMENT,"PULLED FOR SAVAGE, TRD",Y,1,SAVAGE TOYOTA RACING DEVELOPMENT
1270,NR & OG,7,NO REGRETS ORIGINAL MEMBER. ITS A CAR CLUB.,OG-ORIGINAL GANGSTER,N,1,NO REGRETS ORIGINAL MEMBER. ITS A CAR CLUB.
15435,GRINNY G,2,I GRIN A LOT,G = GANGSTER,N,1,I GRIN A LOT
16243,SXYLITB,1,SEXY LITTLE BUICK,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH",N,2,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH"
15653,KRAPF,3,FAMILY NAME,KRAPF IS THE CUSTOMERS LAST NAME BUT KRAPF IS VERY SIMILAR TO CRAP,N,1,FAMILY NAME
7690,4BULYS,2,NO MICRO,BULLIES LIKE PICK ON PEOPLE? IT IS A PET PLATE SO PROBABLY PITBULLS,Y,0,
6995,IIDH8TO,7,INDUSTRIAL INJECTION DIESEL HOUSTON,HATE IS STICKING OUT,N,1,INDUSTRIAL INJECTION DIESEL HOUSTON
639,2JS OSHT,3,FUNNY QUOTE FROM THE MOVIE FAST AND  FURIOUS,OH SHIT,N,1,FUNNY QUOTE FROM THE MOVIE FAST AND  FURIOUS
7325,PC PUMPN,2,STANDS FOR PACIFIC COAST CONCRETE PUMPING,PUMPIN IS A SEXUAL REFERENCE,N,2,PUMPIN IS A SEXUAL REFERENCE
11432,PEW X2,D,PEW PEW WAS TAKEN. ITS A FUNNY WAY OF SAYING TARGET PRACTICE FOR VETERA,REFERENCE TO A GUN,Y,1,PEW PEW WAS TAKEN. ITS A FUNNY WAY OF SAYING TARGET PRACTICE FOR VETERA
20226,TMGLIFE,1,MY LIFESTYLE,TMG = TAKE MANS GASH (GIRL),Y,2,TMG = TAKE MANS GASH (GIRL)
21659,GUN1NER,2,MOTORCYCLE MODEL,GUN OR GUNNER,N,1,MOTORCYCLE MODEL
716,MO THUGZ,2,HIGH SCHOOL NICKNAME,THUGZ,N,1,HIGH SCHOOL NICKNAME
18211,RAPT KLR,2,VEHICLE HAS A VINYL BODY WRAP AND ITS FAST SO ITS A KLR RIDE,PULLED FOR KILLER,N,1,VEHICLE HAS A VINYL BODY WRAP AND ITS FAST SO ITS A KLR RIDE
1790,2F4 PLAY,,no micro,TO FORPLAY SEXUAL REFERENCE,N,2,TO FORPLAY SEXUAL REFERENCE
14165,FKNJAYY,3,NICK NAME,FUCKING JAY,N,2,FUCKING JAY
2221,TNT GPA,2,NO MICRO,TNT,N,0,
17979,HNC 72,2,NO MEANING WRITTEN ON REG 17,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",N,2,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN"
21371,NISMO J,7D,NISMO IS THE TYPE OF NISSAN JUKE I OWN AND J IS FOR MY FOR FIRST NAME,J COULD STAND FOR JOINT,Y,1,NISMO IS THE TYPE OF NISSAN JUKE I OWN AND J IS FOR MY FOR FIRST NAME
22028,SD14,2,WIFES INITIALS AND MY SONS DATE OF BIRTH,"14, GANG REFERENCE",N,1,WIFES INITIALS AND MY SONS DATE OF BIRTH
4205,PUFF N1,D,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE,PUFFIN ONE… SMOKING ONE,N,1,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE
20961,B 7 KY,1,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME,NAME IS KIKY… KY COULD HAVE A SEXUAL CONNOTATION,Y,1,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME
17658,GDELEON,2,OWNERS NAME,"G, GANG REFERENCE",N,1,OWNERS NAME
733,RAMS31O,7,NO MICRO,310 BELLFLOWER AREA CODE,N,0,
11423,MAMRED,2,LOVE MOM RED,GANG COLOR,Y,1,LOVE MOM RED
14667,MAY*88,2,NO MEANING ON REG 17,88=HATE SYMBOL,N,0,
309,QUIK II,1,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK,"QUICKIE CAN HAVE SEXUAL CONNOTATIONS, CUSTOMER DOES HAVE A LOT OF CHEVYS",N,1,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK
23447,GRDEAD,2,ABBREVIATION FOR MY FAVORITE BAND THE GRATEFUL DEAD,DEAD ON A PET LOVERS PLATE?,N,1,ABBREVIATION FOR MY FAVORITE BAND THE GRATEFUL DEAD
19425,PANDA13,2,PANDA THE ANIMAL AND GRADUATION YEAR,13 = GANG NUMBER,N,1,PANDA THE ANIMAL AND GRADUATION YEAR
18031,GOTAB18,2,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA,"18, GANG REFERENCE",N,1,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA
17960,CATNI,1,MY WIFE AND I,"CAT=PUSSY, HE ALREADY HAS CATIAM",Y,1,MY WIFE AND I
5664,JAPXCN,2,JAPANESE MEXICAN,JAP SLANG FOR JAPANESE,N,1,JAPANESE MEXICAN
6128,D#KIKE,4,D FOR THE FIRST LETTER OF MY DAUGHTERS NAME AND DANIELA. KIKE IS FOR NICKNAME FOR MY SON ENRIQUE,KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.,N,3,D FOR THE FIRST LETTER OF MY DAUGHTERS NAME AND DANIELA. KIKE IS FOR NICKNAME FOR MY SON ENRIQUE KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.
7584,GOBLU23,2,UNIVERSITY OF MICHIGAN BAND SONG LETS GO BLUE 23 IS MY FAVORITE NUMBER,BLUE=GANG COLOR,Y,1,UNIVERSITY OF MICHIGAN BAND SONG LETS GO BLUE 23 IS MY FAVORITE NUMBER
1316,OGDUZIT,2,NICKNAME,ORIGINAL GANGSTER,N,1,NICKNAME
14810,O9WOODY,1,CAR IS 2009 FORD FLEX WITH A FAKE WOODY  PAINT JOB,WOODY IS ANOTHER WORD FOR PENIS,N,1,CAR IS 2009 FORD FLEX WITH A FAKE WOODY  PAINT JOB
788,BAD 13.00,2,NO MICRO,13-GANG,N,0,
2269,18HD BYZ,2,1800S IS WHEN PERU GOT THEIR INDEPENDENCE,18-HITLER,N,2,18-HITLER
8258,AOB 4ME,2,All of Books 4 Me To Read,"AOB is a street gang in Sacramento, customer is in N. Highlands",N,1,All of Books 4 Me To Read
21496,JIVECAT,1,COOL GUY,"CAT, SEXUAL REFERENCE",Y,1,COOL GUY
19688,AHHDAMN,3,JUST MY EVERYDAY EXPRESSION EVERYTIME I SEE AN AWESOME OR FUNNY STUFF I TEND TO SAY OHH DAMN. THANK YOU!,"DAMN, PROFANITY",N,1,JUST MY EVERYDAY EXPRESSION EVERYTIME I SEE AN AWESOME OR FUNNY STUFF I TEND TO SAY OHH DAMN. THANK YOU!
21240,PAGERO8,2,EIGHTY EIGHT,MEANING SAYS 88 = HATE NUMBER (No 88 on ANI),Y,0,
22722,GT 5O CS,5,2011 MUSTANG GT CALIFORNIA SPECIAL,"5O, LAW ENFORCEMENT REFERENCE",Y,1,2011 MUSTANG GT CALIFORNIA SPECIAL
18983,1BLKBOX,1,ONE BLACK BOX BECAUSE MY CAR IS SHAPED LIKE A BOX AND ITS BLACK,box=vagina. Customer has a 2016 Ford UT,N,1,ONE BLACK vagina  bad words
22357,TNT12B,2,EXPLOSIVE COMBAT ENGINEER,TNT,N,3,TNT12B
1669,69  VA,1,1969 NOVA,"69, no 1969 car on ani",N,2,"69, no 1969 car on ani"
4013,2REDRUM,2,ONLY HORSE IN THE HISTORY OF THE AINTREE GRAND NATIONAL TO WIN THREE TIMES,MURDER,N,2,MURDER
19558,VRGON,,NAME,"VIRGIN, ITS NOT CUSTOMERS NAME",Y,1,NAME
283,KATITUD,1,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.","NO JAGUAR ON ANI, CAT=PUSSY",N,1,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR."
9873,TLB8888,,TLB IS MY NAME . NUMBER 8 IS LUCKY NUMBER.,88 HILTER REFERENCE,N,1,TLB IS MY NAME . NUMBER 8 IS LUCKY NUMBER.
15531,L9NEGRA,2,MY TRUCK IS ALL BLACK SO I CALL HER LA NEGRA. ITS A SPANISH MEANING FOR A BLACK TRUCK,NEGRA IS SIMILAR TO NEGRO,N,1,MY TRUCK IS ALL BLACK SO I CALL HER LA NEGRA. ITS A SPANISH MEANING FOR A BLACK TRUCK
4350,U2RNEXT,2,FORUM NAME,THREATENING? YOU TOO ARE NEXT,N,2,THREATENING? YOU TOO ARE NEXT
13647,CRXXXAL,1,"CRYSTAL, A GIRLS NAME. WITH THREE X IN PLACE OF Y, S AND T.",XXX SEXUAL REFERENCE,N,1,"CRYSTAL, A GIRLS NAME. WITH THREE X IN PLACE OF Y, S AND T."
22826,7MACK,1,US ARMY VETERAN,MAC IS ANOTHER WORD FOR PIMP,Y,1,US ARMY VETERAN
3840,SUPR TCO,1,NICKNAME,SUPER TACO. COULDNT VERIFY TOYOTA,N,2,SUPER TACO. COULDNT VERIFY TOYOTA
21278,VRMBL B,3,RMBLE B WASNT AVAILABLE SO I OPTED FOR THIS. THE VEHICLE IS YELLOW AND  BLACK AND FAST. VROOM AND LOOKS LIKE A BUMBLE BEE. HEE HEE. OH AND I  LOVE THE AMERICA!,STAND ALONE B (2016 Chevy on record),Y,0,
18513,CODE MKY,,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.,LOOKS LIKE MONKEY,N,1,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.
15746,ESKLAID,1,IT MEANS ESCALADE IN DIFERENT WORDS,"HAS A 2015 CADI, PULLED BECAUSE OF THE WAY LAID IS SPELLED, A SEXUAL CONNOTATION",Y,2,"HAS A 2015 CADI, PULLED BECAUSE OF THE WAY LAID IS SPELLED, A SEXUAL CONNOTATION"
2051,7YDP18,2,NO MICRO,18-HITLER,N,2,18-HITLER
18636,3B$CHON,,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.,3 BITCHIN,Y,3,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.3 BITCHIN
17089,78SC911,2,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,911 EMERGENCY,Y,1,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC
12369,CHP1969,,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE,"CHP, POLICE REFERENCE",N,1,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE
12384,FACT5O,,DJ NAME,"5O, POLICE REFERENCE",N,2,"FUCK 5O, POLICE REFERENCE"
17530,HNTRTRK,2,HUNTERS TRUCK,"HUNT, HOSTILE",Y,1,HUNTERS TRUCK
15898,F4OEATR,1,"MY LAST CAR, AN F40 BIT IT & THIS IS MY REPLACEMENT",EAT,N,1,"MY LAST CAR, AN F40 BIT IT & THIS IS MY REPLACEMENT"
17924,G WULF,2,IT MEANS GRAY WULF NATIVE AMERCAN NAME.,G=GANGSTER,N,1,IT MEANS GRAY WULF NATIVE AMERCAN NAME.
14350,MNT MRDR,2,"PAYING HOMAGE TO A TRIBE CALLED QUESTS ALBUM, MIDNIGHT MARAURDERS",PULLDED FOR MRDR = MURDER?,N,2,PULLDED FOR MRDR = MURDER?
22309,OMW7FYB,1,"MEANING ON MY WAY FOREVER YOUNG BABE, AND THE 7 IS HOW LONG WE HAVE BEEN TOGETHER.",ON MY WAY FUCK YOU BITCH,N,2,ON MY WAY FUCK YOU BITCH
9455,HH 20,2,INITIALS AND BIRTHDAY,HAIL HITLER,Y,1,INITIALS AND BIRTHDAY
7807,CALKUSH,2,FROM A POPULAR SONG.,CALIFORNIA KUSH WEED,N,0,
6669,707 OMG,7,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.,707- SANTA ROSA AREA CODE,N,1,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.
21394,SNWBNDT,7D,SNOW BANDIT. MEANING I LOVE THE SNOW.,"SNOW CAN BE ANOTHER WORD FOR COCAINE, COCAINE BANDET",Y,1,SNOW BANDIT. MEANING I LOVE THE SNOW.
17322,MAXATTK,2,MAXIMUM ATTACK,"ATTACK, HOSTILE TERM",N,1,MAXIMUM ATTACK
5343,TERRA18,2,NOT AVAILABLE ON QUICKWEB YET,18=HATE SYMBOL,N,0,
2366,HUMMY,1,"NICKNAME FOR VEHICLE, WHICH IS A HUMMER H3.",HUM IS A SLANG WORD FOR FELACIOUS ACTS,N,1,"NICKNAME FOR VEHICLE, WHICH IS A HUMMER H3."
18643,BSD 88.00,,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI,88 HITLER REFERENCE,N,1,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI
15555,OHELLNA,3,OH HELL NO!,"HELL, OFFENSIVE",N,1,OH HELL NO!
