index,valid,plate,customer_meaning,reviewer_comments,status,review_reason_code
1698,2,GYPSY45,MY ETHNICY AND ZIP CODE OF DEPARTEMENT OF FRANCE WHEN I WAS THERE,GYPSY 45=gun CALIBER,N,2
1902,0,OOO22,FAVORITE NUMBER,IS THIS A LOOK A LIKE,N,
9164,3,KTTYL$R,KITTY (CAT) LOVER,OR KITTY=PUSSY LOVER,N,1
17345,2,TNTNSON,FAMILY NAME,"TNT N SON, WEAPON REFERENCE",N,2
13555,0,AIB,COMPANY,BIA BITCH BACKWARDS,N,
19581,3,I PLA 18,IM A GOLFER AND I PLAY 18 HOLES OF GOLF,18=HATE SYMBOL?,N,2
4781,2,F DUQUE,FAMILY NAME,F=FUCK DUQUE,N,3
12428,2,MOBXFOE,MOBILITY FOREVER. MEANING ALWAYS ON THE ROAD LEARNING NEW THINGS,MOB FOR EVER,N,
12214,2,ETAHDCK,EVERY TIME ANYTHINGS HARD DONT COME KNOCKING,EAT A DICK,N,2
23063,1,MSSK2BU,MUST SUCK TO BE YOU,SUCK,N,2
7683,1,831 ROVR,AREA CODE AND CAR TYPE(ROVER),831 CUSTOMERS AREA CODE,N,7
7822,0,EUROP 88,NO MICRO,88-HITLER RELATED,N,7
10431,3,MI COCO,MY CHOCOLATE,COCO CAN MEAN COCAINE,N,3
11667,1,HUUKRUP,HOOK HER UP,HOOKER OR HOOK HER UP,N,1
18687,1,BRNHLD,short for brunhilde name of the bike (VALKYRE),CAN NOT TRANSLATE,Y,
12078,2,BBNGA,CHILDS NICKNAME,LOOKS LIKE BB NIGGA,N,2
4484,2,EFUU,ERIC FU,E(HEY?) FUCK YOU,N,3
20003,2,WITHAZZ,GONZALEZ IS LAST NAME. TWO ZZ NOT AN S,LOOKS LIKE WITH ASS,N,3
3526,2,MINI AF,I DRIVE A MINI COOPER AND I SUPPORT THE AIR FORCE (I DO A LOT OF WORK FOR THEM AND I AM CLOSE TO A LOT OF AIRMEN),MINI AS FUCK,N,3
18419,3,ICUCAR,EYE SEE YOU CAR,OR ICU(INTENSIVE CARE UNIT) CAR,Y,2
8062,1,BANG OUT,BANG OUT,SEXUAL TERM,N,1
19256,0,642,THESE ARE SIMPLY NUMBERS.,ALL DIGITS,Y,6
17104,1,KUZURUG,IT SI OUR COMPANY NAME KUZURUG.COM KUZU MEANS LAMB IN TURKISH,CAUSE YOURE UGLY,N,2
2454,0,REVS818,MY SHORT NAME AND FAVORITE NUMBER,CA AREA CODE,N,2
14989,1,DONTH81,DON’T HATE,DONâ€™T HATE ONE,N,
12972,0,GBRAR,NAME,"G, GANG REFERENCE",N,2
1680,2,LUCKYO2,LUCK YOU TOO,luck you too=fuck you too?,Y,3
12587,0,DK 214,MY INITIALS AND MY BADGE NUMBER,DK LOOKS LIKE DICK,N,1
18023,1,BADASMM,BAD ASS MOM,BAD ASS,N,3
18986,0,5OCLGNR,US ARMY GUNNER SGT,"50=POLICE, NO MUSTANG ON ANI",N,5
19229,1,MT714,"MATTHEW 7:14- BECAUSE SMALL IS THE GATE AND NARROW IS THE ROAD THAT LEADS TO LIFE, AND ONLY A FEW FIND IT.",AREA CODE,N,2
9327,0,SHARK13,NICKNAME AND LUCKY NUMBER,13-GANG,N,7
6034,0,MOPAR G,MOPAR MEANS A LOT TO ME,"G. GANGSTA. MOPAR IS A PARTS, SERVICE AND CUSTOMER ORGANIZATION FOR CARS.",N,7
12257,3,PINKEEE,PINKY NICKNAME,VAGINA REFERENCE,Y,2
19748,0,13FOX4,MILITARY JOB TITLE,"13, GANG REFERENCE",N,2
16783,1,TURBOGS,TURBO [CAR NAME],"G, GANG REFERENCE",Y,2
22166,2,CZE DOA,HOMETOWN IN EUROPE,CAUSE/COUS(IN)? DOA=DEAD ON ARRIVAL,N,7D
10846,1,88 FORD,1988 FORD TRUCK,88-HITLER RELATED. DOES HAVE A 88 REGISTERED,Y,7
6718,1,TOY  14,TOY = TOYOTA 14 = 2014,HAS 2014 TOYOTA,Y,2
16993,0,DAGOWYF,FOR MY WIFES (WYF) CAR. I AM ITALIAN AND THE NAME OF MY SIDE BY SIDE ATV IS DAGO RED FOR WHICH I ORDERED A CA LICENSE PLATE FOR ALSO.,DAGO,N,2
12179,3,I WAS 14,I WAS 14 YEARS OLD,14 = HATE NUMBER?,N,2
20962,3,CAKEWRX,CAKE(BAKERY) WORK,CAKE=ASS?,N,1
3776,1,8O8 ADCT,ADDICTED TO 808S (MUSIC),"808=HAWAII AREA CODE OR DRUMS, PULLED FOR ADDICT",N,2
16111,2,CUMN QCK,CUMMINS MOTOR FAN,CUMMING QUICK,N,
3688,0,TRIRED$,no micro,RED,Y,2
5054,2,YAAR BMB,IT MEANS ME AND MY FRIENDS ARE GREA.,YOURE bomb(COOL),N,2
3898,0,BUDDY13,NICKNAME AND LUCKY NUMBER,13 GANG REFERENCE,N,2
919,0,CMILANP,NO MICRO,SEE MILAN PEE?,N,2
807,2,D MOBSTA,ONLINE ID OF GAMING CONSOLE PLAYSTATION NETWORK ACCOUNT DAVIDTHEMOBSTA,MOBSTER,N,7
4643,0,ADS 13,ATMOSPHERE DIVE PILOT 13,13 GANG REFERENCE,N,2
17335,0,REDSJKU,MY JEEP,"RED, GANG REFERENCE",Y,2
13774,1,RDNCKRV,RED NECK RV,REDNECK,N,4
1045,0,69DONZI,NO MICRO,69,N,1
22132,0,TETE DF,CHILDHOOD NICKNAME,"TETE SOUNDS LIKE TITTIE, SEXUAL REFERENCE",N,1
13447,1,BABYKO,MY BABY IN TAGALOG,"BABY KNOCK OUT, COULD BE OFFENSIVE",N,3
17276,2,SHH H8RZ,SILENT TO THE CRITICS,SHUSH HATERS,N,2
7540,1,BOBSICL,BOB-BISYCLE OR BOB-MOTORCYCLE,BOB BICYCLE? RIDE BOB?,N,1
23098,2,DTARD15,DTARD15,RETARD,N,2
1848,0,EROS51O,THEY ARE THE INITIALS OF MY CHILDREN. THE NUMBER IS BECAUSE OF ITS MODEL.,CA AREA CODE,N,2
419,3,3O INCHR,30 INCHER,POTENTIALLY SEXUAL,N,1
19006,3,KITTY UP,I AM A CAT BREEDER,KITTY=PUSSY? UP,N,1
7768,1,KLRMULE,KLR IS THE TYPE OF MOTORCYCLE. MULE BECAUSE IT WORKS LIKE A MULE,KILLER,N,2
2205,0,CFEDS,CERTIFIED FEDERAL SURVEYOR,FEDS,N,5
10358,2,JOY TOY,FUN CAR TO DRIVE,JOY(RIDE) TOY ,N,1
2233,0,COCHO 69,NO MICRO,NO 1969 VEHICLE VERIFIED,N,1
2741,0,AWLL 9O9,"ALBERT W LEWIS LEBA IS MY NAME, THESE ARE MY INITIALS, BIRTHDAY 9/9",AREA CODE,N,2
18732,1,MTNCAT1,MOUNTAINCAT,PULLED FOR CAT,Y,1
7257,2,BAAAWSS,IM THE OWNER OF MY BUSINESS,BALLS,N,1
15444,0,ARIEL13,DAUGHTER,"13, GANG REFERENCE",N,2
13952,2,BLUGOLD,COLORS OF CALIFORNIA HIGHWAY PATROL OF WHICH INAM AN EMPLOYEE,BLUE GOLD,Y,
4974,2,H8JOKER,I HATE THE JOKER BECAUSE I AM BATMAN,HATE JOKER(CHARACTER),N,2
19611,2,FH8CNCR,FAMILY HAS LOST 8 FAMILY MEMBERS TO CANCER ILLNESSES.,FUCKING HATE CANCER,N,2
7740,2,JSTHETP,JUSTIN THE TOP. TECH AT MY WORK,JUST THE TIP,N,1
5061,0,2 MOJA2,INITIALS,"TOO WET, NOT HIS INITIALS",N,1
10352,1,PSYC,PSYCHOLOGY,PSY-PUSSY?,Y,1
2905,1,TOPMAN,TOP MAN,TOP can have sexual connotations,N,1
8005,2,LXIXSTR,LEXI IS MY WIFE AND SHE IS A SURVIVOR SO THE STR INDICATES STRENGTH,LXIX=69 STAR,N,1
6928,0,5TENDAT,DATSUN 510,510 AREA CODE,Y,2
8416,1,FIEND,FIEND,can have a drug connotation,Y,3
10267,1,FYR PMP,FIRE PUMP,FIRE FIGHTER PLATEâ€¦ FIRE PIMP,N,1
19208,1,FIREOPS,FIREFIGHTING OPERATIONS,FIRE CAN BE A WORD TO DESCRIBE MARIJUANA,Y,7D
12672,0,G BLKPRL,GONZALES BLACKPEARL,g=gangster,Y,2
2805,3,FIFONIT,FIVE (DOLLARS) ON IT,GAMBLING?,N,D
21899,0,RES DGO,"RESENDIZ - LAST NAME, DGO- DURANGO, CITY IN MEXICO",DOES IT LOOK LIKE DAGO?,N,2
2362,0,818 E46,818 IS MY HOMETOWN AREA CODE AND E46 IS THE MODEL DESIGNATION OF MY VEHICLE.,818 AREA CODE,N,2
10516,0,JAPO HD,NO MICRO,URBAN DICTIONARY SAYS A DEROGATORY TERM TO JAPANESE. 32 UP 18 DWN,N,2
20101,1,CALI 4O8,CALIFORNIA [AREA CODE],408 area code - San Jose,N,2
8924,1,SNO TACO,SNOW TACOMA(CAR),TACO,N,1
12040,0,SRIWAY,SRIWAY IS A COMBINATION OF SRI FOR MY  FIRST NAME AND WAY FOR THE WAY I TRAVEL.,"SOUNDS SIMILAR TO THREEWAY, SEXUAL",Y,1
4713,0,805 NOK,CAR CLUB,805 AREA CODE,N,2
19752,0,ICS POT2,MY CAR IN TAGALOG,"POT, DRUG REFERENCE",N,7D
8934,1,BLUOVRU,BLUE ON ROOF (OF CAR),BLUE,N,2
1973,2,I AM OG,"MY DOG RECENTLY PASSED AWAY, HIS INTIALS ARE OG, FOR OREAO GAVIRIA.",I AM OG-ORIGINAL GANGSTER,N,7
26,0,OAK KLAN,CITY I GREW UP IN.,KLAN,N,2
18833,1,48BOMBR,1948 CHEVY BOMBER,"BOMBER, WEAPON REFERENCE",Y,2
4390,2,H8EVRY1,MY PARENTS USED TO CALL ME LITTLE HATER WHEN I WAS LITTLE. ALWAYS WANTED A LICENSE PLATE OF IT. FINALLY THOUGHT OF THIS ONE AND ITS AVAILABLE.,HATE EVERYONE,N,2
3159,0,DONYEYO,??,YEYO- COCAINE,N,D
20536,0,1321,ROCK UNDERWORLD,"13, GANG REFERENCE",N,2
23408,0,F6F3CAT,WWII HELLCAT FIGHTER PLANE DESIGNATION,"pulled for CAT=PUSSY, CANT FIND CUSTOMER ON ANI TO SEE IF THEY HAVE CAT TYPE CAR BUT F6 AND F3 HELLCATS ARE FIGHTER AIRCRAFT",N,1
20022,1,2121,21 SAVAGE (RAPPER),ALL DIGITS,Y,6
6420,2,UTOO PID,NO MICRO,YOU STUPID,N,7
22201,1,14UVS19,"HERES ONE FOR YOU, NINETEEN FOR ME (SONG LYRIC)",14=GANG,N,2
4576,2,TNTSPRT,TROY AND TERRI SPORT,tnt=EXPLOSIVE SPORT/SPRINTER,N,2
9701,0,SM2BLK4,PROJECT AT WORK,SM=SADO-MASOCHISM OR SLAVE MASTER,N,1
9772,1,DAMNRAT,DAMN RAT,DAMN?,N,3
14000,0,AFT STI,NICKNAME OF SELF AND MODEL OF THE CAR,ABOUT FUCKING TIME,N,3
3610,2,PORKER,ITS MY PORSHCES NICKNAME. PORSCHE = PORKER,PORKER=OBESE,N,2
14006,2,BOGAN4U,BOGANVILLIA FLOWERS FOR YOU,BOGAN(INSULT)\ FOR YOU,N,2
15705,2,RLAFTY,MOTORCYCLE IS A HARLEY DAVIDSON FATBOY  ROLLING A FATBOY,"ROLL A FATTY, DRUG REFERENCE",N,7D
19924,2,GET HYE,I OWN A 4X4 TRUCK I CUSTOM LIFTED TO LOOK HIGH OFF THE GROUND.,"GET HIGH, DRUG REFERENCE ",N,7D
8739,1,LVH8ERS,I LOVE HATERS,HATERS,N,7
13036,2,IMAGOON,"JUST MEANS IM A GOON, I HAVE A GOOFY PERSONALITY",I'M A GOON,N,2
6726,2,1955XXX,YEAR OF THE CAR,1955 XXX=PORN,N,1
17187,1,CYNCATS,CANYON CATS,cats=pussies,Y,1
8089,2,CUCHIE,MY WIFES NAME AND IT WILL BE FOR HER CAR,CUCHIE=VAGINA,N,1
11660,2,CARSLUT,HUMOR,CAR SLUT,N,1
20416,0,O9834,RETIRED CUP OFFICERS BADGE NUMBER,ALL DIGITS,Y,6
17579,1,RTD5O,RETIRED OFFICER(FIVE-0),"5O, POLICE REFERENCE",N,5
3580,0,AK MUSIC,I SING AND WRITE MUSIC. MY INITIALS ARE AK.,AK AS IN GUN,N,2
4698,3,SWISHRR,SWISHER=CIGAR,POSSIBLE BLUNT MARIJUANA WRAP,N,D
431,2,RAM YOU,DODGE RAM FOR YOU,RAM YOU (SEXUAL?),N,1
15105,0,LCONCHO,HOMETOWN  (FROM ORIGINAL T00),***THIS IS A DUPLICATE***ONLY SAY NO IF YOU WANT TO DO A RECALL ON THIS. ORIG T00 WAS 3/3/14. CONCHO=MILDER FORM OF CONO(SLANG FOR FUCKER/CUNT) SIMILAR TO CONCHA (SLANG FOR PUSSY) DOES APPEAR TO BE A PLACE NAME IN MEXICO BASED ON GOOGLE SEARCH,Y,3
18336,2,MJANE,"TRUCK NAME, MARY JANE",MARY JANE=MARIJUANA,N,7D
9293,0,14ALP17,14 IS THE YEAR OF MY DAUGHTERS BIRTHDAY. ALP IS THE INITIALS OF MY DAUGHTER AND FIANCE. 17 IS THE YEAR WE WILL GET MARRIED,14 GANG REFERENCE,N,2
19483,2,BLACKAF,BLACK AND FAST,BLACK AS FUCK,N,2
12918,0,TMEST88,TEAM ESTABLISHED IN 1988,"88, GANG REFERENCE",N,2
12941,0,1FST8,A TRIBUTE TO FAST AND FURIOUS THE MOVIE 1-8,"18, GANG REFERENCE",N,2
10011,0,SHMIKE,MY NAME,URBAN DIC SAYS IT MEANS GUIDO,N,2
16325,0,TANK 88,THE CAR IS AS BIG AS A COMABT TANK,88 HITLER REFERENCE,N,
4281,2,MN KILLA,NATIVE AMERICAN LAST NAME.,MAN KILLER,N,2
21700,2,LIT 5OH,MY CAR IS ON FIRE AS IN COOL AND IT HAS AN ENGINE DISPLACEMENT OF 5.0 LITERS,LIT FIVE-OH(POLICE REFERENCE),N,7D
21276,2,$TREEES,LOVE TREES,MONEY TREES,N,7D
9313,1,UB2JLS,YOU BE(ARE) TOO JEALOUS,YOU BE TO JEALOUS,N,2
16579,0,9O9MPRS,MY LICENS PLATE SIGNIFIES THE BRAND OF MY DODGE ENGINE WHICH IS A MOPAR.,909 = AREA CODE,N,2
6685,1,BLACKOP,BLACK OPERATIONS(MILITARY),BLACK OPS=SECRET MISSION CARRIED OUT BY A MILITARY ORGANIZATION,Y,5
9258,0,RR 2 88,"MY NAME AND BIRTHDAY. ROBERT RODERICK FEB 28, 1988",88-HITLER. BIRTHDATE CONFIRMED.,N,7
11340,3,TRDS/WRX,TIME AND RELATIVE DIMENSIONS IN SPACE(TV REFERENCE),OR TURDS WORKS,N,D
17818,0,G $GMEN,GO GMEN THIS IS IN SUPPORT OF THE SAN FRANCISCO GIANTS,G AS IN GANGSTER,Y,2
2108,3,ST8 OG,STRAIGHT OG,OG=ORIGINAL GANGSTER,N,2
5191,2,H8 TTUN,THAT TEAM UP NORTH,HATE THAT TEAM UP NORTH (MICHIGAN REFERED BY OHIO STATE FANS),N,2
10767,1,RVRRED,RIVER RED,RED,N,2
694,3,THUGNMD,THE UGLY NOMAD,THUGGIN MAD?,N,2
91,2,2BG NUGZ,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,TWO BIG NUGS-WEED(BALLS?),N,7
10632,2,BAC DOR,LAST ONE IN LINE,BACK DOOR(SEXUAL?),N,1
8737,2,BICHASS,NO MEANING,BITCH ASS,N,3
10675,1,NO PLN B,NO PLAN B,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION,Y,1
18000,1,SIG X,SIGMA CHI (FRATERNITY),SIG SAUER X-SERIES,N,2
9341,0,DEEBO,MY DOGS NAME,URABN SAYS SLANG FOR STEALING 286 UP 151 DOWN?,N,7
8504,2,STONER,A DEVICE FOR REMOVING STONES FROM FRUIT,STONER=PERSON WHO SMOKES MARIJUANA,N,7
7368,2,OH 5H1T,perfect plate for my crazy looking 24 t bucket project car,OH SHIT,N,3
12845,0,HZGORDA,NICKNAME FOR MY WIFE,"GORDA MEANS FAT, SOME MAY FIND IT OFFENSIVE",Y,3
15711,2,AUDZNTZ,AUDIENCE,"AWW, DEEZ NUTS",N,3
13464,2,HOP2BCH,OUR LAST NAME IS HOPP AND WE LIVE ON  STAIRS TO THE BEACH,HOP TO BITCH,N,3
18002,2,SIX GUN,MOVIE TITLE,SIX GUN,N,2
1827,0,14NANDO,NO MICRO,14-HITLER,N,2
9807,0,7OK14WA,MOVED FROM OK TO WASHINGTON IN 2007 LEFT WASHINGTON TO CA IN 2014,14-HITLER RELATED. NO 2014 CAR,N,7
22114,1,LIL RCKT,LITTLE ROCKET (AS IS ROCKETSHIP),SOUNDS LIKE A SEXUAL REFERENCE TO ME,Y,1
7522,0,COON DOG,NO MICRO AVAILABALE,COON DEROGATORY TERM TOWARDS BLACKS,N,2
10836,2,SMKWEED,SMOKE WEED,SMOKE WEED/MARIJUANA,N,7
7400,1,RED DAWN,RED DAWN,RED=GANG COLOR,Y,2
6921,0,SHYAGRA,MY NAME IS SHAYAN BUT EVERYONE CALLS ME SHY AND MY FAMILY IS FROM AGRA WHICH IS A CITY IN INDIA (ALSO WHERE THE TAJ MAHAL IS LOCATED),LOOKS LIKE VIAGRA,N,1
3908,3,BCH LUV,BEACH LOVE,BITCH LOVE,Y,2
10028,2,WTFLOCK,FLOCK OF BIRDS,WTF LOCK(?),N,3
13318,1,DUKHNNT,DUCK HUNT (GAME),"HUNT, WEAPONG REFERENCE",Y,2
16940,1,RVSDCAT,RIVERSIDE CAT,PULLED FOR CAT,Y,1
17320,0,LCMNO69,1969 EL CAMINO,"69, SEXUAL REFERENCE",Y,1
9029,0,AZUL 29,AZUL IS BLUE IN SPANISH AND 29 PERSONAL SPORT NUMBER,BLUE-GANG,Y,7
2186,1,XPCTOPM,EXPECTO PATRONUM (MOVIE REFERENCE),EXPECT OPIUM,N,
2445,0,KMA FTW,GAMERTAG AND FOR THE WIN,FTW,N,3
2000,1,WCKD M3,WICKED(COOL),NO BMW. WCKDME IS CURRENT?,N,7
16042,0,415 S55O,I ADOPTED A DOG ON APRIL 2015. WHICH IS 4/15. THIS PLATE IS FOR MY BENZ MODEL S550. BOTH MY DOG AND MY CAR I REALLY CARE FOR.,415 = AREA CODE,N,2
18203,0,HKS SS,HECTORS SS,PULLED F0R SS,Y,2
4061,2,R2 VAPE,R2 VAPE IS MY COMPANY R2 DISTRIBUTION INC,VAPE,N,D
7229,0,69C1O,YR OF TRUCK & MODEL,69 SEXUAL REFERENCE,N,1
10001,3,POPS 5O,FATHER OR,5-0 =POLICE,N,5
15255,2,MACHN G,"MACH IS FORMACH 1 MUSTANG, N IS AND, G IS FOR MY FIRST NAME GERALDO",MACHINE GUN,N,2
16403,2,SCDK,INITIALS OF A SPECIAL PERSON,SUCK DICK,N,1
18504,0,BLRDUP,OWNER IS A MARTIAL ARTS PRACTIONER,BALLER DUF,Y,
20419,0,PJEWELL,MY DAUGHTERS NAME,THE P COULD STAND FOR PUSSY,Y,1
19945,2,LILMEOW,MY CARS NICKNAME,LITTLE MEOW,Y,1
11902,1,KLLER B,KILLER B(TYPE OF MOTOR),KILLER BLOOD,N,2
3401,0,STLRS88,MY FAVORITE TEAM,88 HITLER REFERENCE,N,2
19946,0,LMNS13X,LE MANS 13X ( RACE WINS),"13, GANG REFERENCE",N,2
18794,2,HAHABIH,MY DOGS NAME,HAHA BIH=BITCH,N,3
12096,1,BLUER2,BLUE R2-D2 (CHARACTER),"BLUE, GANG REFERENCE",Y,2
22018,0,MEI1O88,NAME,"88, GANG REFERENCE",N,2
13294,0,BAMM4O8,FAMILY,"4O8, AREA CODE",N,2
18351,0,SERC7O7,MY LAST NAME IS SERCIA AND THE CAR HAS 707 HP,AREA CODE,N,2
12469,0,2O13SI,THE YR OF THE CAR.. AND NAME,"13, GANG REFERENCE",Y,
15499,1,GRAMYWD,GRANDMA WOOD,"WOOD, SEXUAL",N,1
3761,1,TACOMOB,TACO MOB,"TACO=FEMALE ANATOMY, MOB=ORGANIZED CRIME, MONEY OVER BITCHES OR MEMBER OF BLOODS",N,"1, 2"
5477,1,2017 GT,2017 FORD GT,LOOK A LIKE,N,6
4772,2,BTFD 15,BUDS TOGETHER FUN AND DISAPPOINTMENT. ITS TO HONOR MY BEST FRIEND WHO PASSED AWAY LAST YEAR FROM A MOTORCYCLE CRASH. THIS IS OUR SAYING AND 15 IS THE YEAR HE PASSED,BEAR THE FUCK DOWN (PHRASE),N,3
13540,0,X88$88X,LOVE AND JOY IN ALL DIRECTIONS,88 = HATE NUMBER,N,2
17765,0,EFG FAM,ELEANOR AND FRANK GONZALES FAMILY.,EFFING FAM,N,3
11265,2,SCUMMYY,NICKNAME,SCUMMY,Y,2
18937,3,AF FAMLY,AIR FORCE FAMILY,OR AF = AS FUCK FAMILY,Y,3
3911,0,ASERE13,CUBAN WORD FOR BROTHER,13-GANG,N,2
13396,1,TAIFTR,TIE FIGHTER FROM STAR WARS,"FIGHTER, COULD BE TAKEN AS HOSTILE",N,2
14002,2,BB HEAD,FIST WORD OF MY SON WHEN HE WAS BABY,HEAD=SEXUAL,N,1
12458,1,USAGA,USA GREAT AGAIN,"G, GANG REFERENCE",Y,
4540,2,AFEEM,NOT ON QUICKWEB YET,ANOTHER NAME FOR OPIUM,N,D
19283,1,BNHUNTN,BEEN HUNTING,"HUNTING, HOSTILE",Y,2
10038,2,69 BOTCH,NICKNAME,69(SEXUAL) BOTCH=BITCH,N,3
2073,2,FAASS,MY DOGS NAME,FAT ASS,N,3
4027,2,CHN SMKG,"IT MEANS CHAIN SMOKING, MY FRIENDS MAKE FUN OF ME, I LOVE CIGARS",CHAIN SMOKING,N,2
23184,1,OSPRREY,OSPREY(BIRD),"PREY, SOME MAY FIND HOSTILE",Y,2
19301,1,KILABMR,KILLA(KILLER/COOL) BEAMER,"KILLA, HOSTILE",N,2
64,3,LYFISHT,LIFE IS SHORT,OR LIFE IS SHIT,N,3
18586,0,ORTIZ 13,LAST NAME AND FAVORITE NUMBER,13 GANG REFERENCE,N,
13097,3,KCKROCS,KICK ROCKS,PHRASE MEANING GET OUT OF HERE,Y,2
4450,0,BAGTEET,NOT ON QUICKWEB YET,BAG TEATâ€¦ IS THAT LIKE BAG ASS MEANING TO LEAVE? TEAT=NIPPLE,N,3
50,0,HB 707,MOTORCYCLE CLUB,707 AREA CODE,N,2
4794,2,NUQ 1724,NOT ON QUICKWEB YET,NUKE 1724,N,2
13215,2,FKNBDAZ,FRANKLIN MOTORS IN BULLHEAD ARIZONA. ITS WHERE IM FROM AND WHERE MY CAR WAS BUILT. I AM REPRESENTING THEM OUT IN HERE IN CALIFORNIA,FUCKING BADASS,N,3
11531,0,GOPS911,INITIALS AND MODEL OF CAR,911,Y,2
16666,1,O61541L,NAME AND BIRTH,LOOK ALIKE,N,6
11195,2,SIG 9MM,SIMPLE IS GOOD REMEMBERING 9 MILLION  MOTHERS,9MM GUN,N,
19354,1,ACMPLCE,ACCOMPLICE,PERSON WHO HELPS ANOTHER COMMIT A CRIME,Y,2
6797,2,SALTYAF,I LOVE SALTY FOOD AND AF IS MY FRIENDS INITIALS,SALTY AS FUCK,N,3
