index,plate,review_reason_code,customer_meaning,reviewer_comments,status,valid,meaning
22692,BLK SNKE,1,BLACK COBRA SINCE IM PUTTING IT ON A FORD MUSTANG COBRA,SNAKE COULD BE A REFERENCE TO A PENIS,N,1,BLACK COBRA SINCE IM PUTTING IT ON A FORD MUSTANG COBRA
16178,L$ PINK,,LOVE PINK,PINK ..VAGINA,N,1,LOVE PINK
7581,FTP,3,STANDS FOR FREE THE PRESS,FUCK THE POLICE,N,2,FUCK THE POLICE
8571,JGER BMB,2,JAGER BOMB,JAGER BOMB BOMB,N,1,JAGER BOMB
8917,LKMYBLZ,1,FOR A MANLY VEHICLE. MEANS LUCKY MARBELZ,LICK MY BALLS,N,2,LICK MY BALLS
18662,OG TIME,,OG TIME,OG ORIGINAL GANGSTER,N,3,OG TIME OG ORIGINAL GANGSTER
4558,KSS MAAS,3,KARISHMA IS MY GODMOTHER. HER MIDDLE NAME IS ANGELICA AND HER LAST NAME IS SINGH.,KISS MY ASS,N,2,KISS MY ASS
21710,QN PUMA,2,QUEEN PUMA,PULLED FOR QUEEN,Y,1,QUEEN PUMA
13430,69BRO,1,STATES YEAR OF VEHICLE AND BRO,"69, SEXUAL REFERENCE",N,2,"69, SEXUAL REFERENCE"
14328,FK CANZR,3,FINDING CURES FOR CSNCER,FUCK CANCER,N,2,FUCK CANCER
2084,HRS3 SHT,3,"NO MEANING, JUST LUCKY NUMBERS.",HORSE SHIT,N,2,HORSE SHIT
5941,DKYND69,1,VERY CLEAN AND PRETTY CAR,SEXUAL 69,N,2,SEXUAL 69
11296,SPHYNX5/,D,SPHYNX IS CAT BREED #5 FAV NUMBER,SPHINCTER,N,1,SPHYNX IS CAT BREED #5 FAV NUMBER
10356,415 BORN,7,BORN IN SAN FRANCISCO,415 SAN FRANCISCO AREA CODE,N,3,BORN IN SAN FRANCISCO 415 SAN FRANCISCO AREA CODE
13431,69ELDO,1,1969 CADILLAC ELDORADO,"69, SEXUAL REFERENCE",N,1,1969 CADILLAC ELDORADO
6066,K TRAXHO,1,PERSON WITH HONDURAN ORIGIN,TRACKS HOE,N,2,TRACKS HOE
12541,FCKFRND,1,FEED COOL KIDS FRIENDS,FUCK FRIEND,N,2,FUCK FRIEND
10797,AUW13 88,7,"NAME, FAVORITE NUMBER, YEAR BORN",13 N 88- GANG N HITLER RELATED,N,2,13 N 88- GANG N HITLER RELATED
11581,CANEFAN,1,IM A UNIVERSITY OF MIAMI HURRICANE FAN. RAISED IN MIAMI,CANE SEXUAL REFERENCE,N,1,IM A UNIVERSITY OF MIAMI HURRICANE FAN. RAISED IN MIAMI
16673,RIPPPER,2,"LIKE RIPPING IT UP, LIKE GOING FAST.","COULD BE A REFERENCE TO JACK THE RIPPER, A FAMOUS SERIAL KILLER",N,1,"LIKE RIPPING IT UP, LIKE GOING FAST."
404,A BMF GT,3,NO MICRO,A BAD MOTHER FUCKER GT,N,2,A BAD MOTHER FUCKER GT
14378,TMSNSHT,3,TIMEN HOT SS (FOR A 1974 SS EL CAMINO 8 SECOND DRAG CAR),TOO MUCH SWAG N SHIT?,N,2,TOO MUCH SWAG N SHIT?
1113,SVR BLET,2,VEHICLE IS SILVER AND IS SHAPED LIKE A BULLET,SILVER BULLET,N,3,VEHICLE IS SILVER AND IS SHAPED LIKE A BULLET SILVER BULLET
2760,MLHH818,2,MOTHERS MEMORIAL,818 AREA CODE,N,3,MOTHERS MEMORIAL 818 AREA CODE
14217,APXSLYR,2,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.,"SLAYER, HOSTILE",N,1,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.
19503,DOPEZ33,7D?,THE CAR IS A COOL Z 33 ( NISSAN 350Z ),PULLED FOR DOPE (MEANINGING DRUGS) ALTHOUGH THEY MEAN IT AS COOL,N,3,THE CAR IS A COOL Z 33 ( NISSAN 350Z ) PULLED FOR DOPE (MEANINGING DRUGS) ALTHOUGH THEY MEAN IT AS COOL
58,FCUK BOI,3,FANBOY FOR FRENCH CONNECTION AND DESIGNER APPAREL,FUCK BOY,N,2,FUCK BOY
11559,G&GUNNA,2,GREAT GRANDMOTHER,GUN,N,2,GUN
9114,PENIS69,1,MY NICKNAME,PENIS 69,N,2,PENIS 69
20945,AMNUTS6,2,MY BUSINESS NAME,"I AM NUTS, SLANG FOR CRAZY",N,2,"I AM NUTS, SLANG FOR CRAZY"
11337,SX/BANGR,1,CAR IS A V6,"SIX BANGER, SEX BANGER, BANGER CAN BE A TERM FOR A GUN, ALSO CAN BE SEXUAL",N,2,"SIX BANGER, SEX BANGER, BANGER CAN BE A TERM FOR A GUN, ALSO CAN BE SEXUAL"
16998,EL GATOG,2,NICK NAME,G AS IN GANGSTER,N,3,NICK NAME G AS IN GANGSTER
16045,515OFAN,5,CRAZY FAN,PULLED FOR 5O,Y,1,CRAZY FAN
18346,RIOTBAY,2,I WORK AT RIOT GAMES (BASED OUT OF LA) IN  THE BAY AREA OFFICE (LOS ALTOS).,"RIOT, HOSTILE",N,1,I WORK AT RIOT GAMES (BASED OUT OF LA) IN  THE BAY AREA OFFICE (LOS ALTOS).
11338,TILL/DIE,D,I LOVE FOOTBALL UNTIL I DIE,DIE CAN BE VIOLENT,N,1,I LOVE FOOTBALL UNTIL I DIE
22458,GORRAM,3,"MADE UP WORD, REFERENCE TO FIREFLY SCI-FI TV SERIES",SLANG FOR A LOT OF THINGS GOD DAMN FROM A TV SHOW,Y,3,"MADE UP WORD, REFERENCE TO FIREFLY SCI-FI TV SERIES SLANG FOR A LOT OF THINGS GOD DAMN FROM A TV SHOW"
776,GARY8IT,1,MY NAME AND I ATE IT. I LIKE TO EAT,SEXUAL? HE FELL AND ATE IT?,N,1,MY NAME AND I ATE IT. I LIKE TO EAT
10975,MOMS BOX,1,my cars name,box=vagina. She has a 2006 Toyota BTM=UT,N,2,box=vagina. She has a 2006 Toyota BTM=UT
16750,G1971,2,LAST NAME INITIAL AND MY BIRTH YEAR,"G, GANG REFERENCE",N,1,LAST NAME INITIAL AND MY BIRTH YEAR
14495,DUBTREY,7D,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD,DUB IS A DRUG REFERENCE,N,1,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD
11007,FUGAA C,3,ITALIAN FOR ALL SCREWED UP.,"NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)",N,2,"NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)"
18424,JMAC5O,5,MY HUSBANDS NICK NAME AND HIS AGE,"5O, POLICE REFERENCE",Y,1,MY HUSBANDS NICK NAME AND HIS AGE
13014,BRACAM,2,"BRA=BRASIL, CAM=SOCCER",BRA CAMERA?,Y,2,BRA CAMERA?
1903,PWDRHWY,,POWDER HIGHWAY. WHICH MEANS A SKI ROAD TRIP GOING FROM MOUNTAIN TO MOUNTAIN 0VER THE WINTER.,"POWDER HIGHWAY, SOUNDS LIKE POWDER AS COCAINE NOSE",N,2,"POWDER HIGHWAY, SOUNDS LIKE POWDER AS COCAINE NOSE"
13700,ASKYB,3,ASK YB STANDS FOR ASK YURI BORKOWITZ HE IS A FAMOUS CAR ENTHUSIAST OR CAR MECHANIC,B COULD STAND FOR BITCH IN THIS CASE. COULD BE ASK WHY BITCH,N,2,B COULD STAND FOR BITCH IN THIS CASE. COULD BE ASK WHY BITCH
19034,DUSTY D,,MY FIRST NAME AND MIDDLE INITIAL,DUSTY DICK,N,2,DUSTY DICK
22009,G A Y 1,4,HAPPY ONE.,"REFERENCE TO A PERSON WHO IS HOMOSEXUAL, SOME MAY FIND OFFENSIVE OR IT COULD MAKE THE PERSON A TARGET FOR HATRED",N,2,"REFERENCE TO A PERSON WHO IS HOMOSEXUAL, SOME MAY FIND OFFENSIVE OR IT COULD MAKE THE PERSON A TARGET FOR HATRED"
6302,BUULITT,7,NO MIRCO,BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD BULLET CAR,N,2,BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD BULLET CAR
16232,OZLIVI,7d,KIDS NAMES,OZ STANDING ALONE COULD BE A DRUG REFERENCE,Y,1,KIDS NAMES
13074,YLD ASS,3,WILD ASS/DONKEY /ZEBRA..ITS FOR MY BRONCO WITH ZEBRA STRIPES :),PULLED FOR ASS,N,1,WILD ASS/DONKEY /ZEBRA..ITS FOR MY BRONCO WITH ZEBRA STRIPES :)
22232,MGNUM44,2,MY NICKNAME IN COLLEGE ON FOOTBALL TEAM,GUN,N,1,MY NICKNAME IN COLLEGE ON FOOTBALL TEAM
5530,IMLAYJR,1,I AM LARRY ALAN YOUNG JR.,LAY CAN HAVE SEXUAL CONNOTATIONS BUT IT IS HIS INITIALSâ¦,Y,1,I AM LARRY ALAN YOUNG JR.
18176,D BABIES,,DAMASCUS BABIES,DA BABIES,N,2,DA BABIES
23460,BLNT 4C,2,"MY LAST NAME, BLUNT","BLUNT FORCE (TRAUMA) KILLS PEOPLE, HIS LAST NAME IS BLUNT",N,1,"MY LAST NAME, BLUNT"
5358,HFA BOX,1,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER,box=pussy but he does have a Porsche and those are his initials,N,1,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER
19311,SHANGO1,2,NICKNAME FROM HIGHSCHOOL,"SHANGO IS A RELIGIOUS CULT, COULD BE HOSTILE",N,1,NICKNAME FROM HIGHSCHOOL
12012,LUBRUP,1,L-LIFTED SUSPENSION  U-UNCUT BR-BRONCO,"LOOKS LIKE LUBE HER UP, SEXUAL",N,2,"LOOKS LIKE LUBE HER UP, SEXUAL"
10187,ETMYTCO,1,REFERS TO A 4WHEEL TRAIL THAT USUALLY EATS UP TACOMA TRUCKS. EAT MY TACOMA,EAT MY TACO. SEXUAL,N,2,EAT MY TACO. SEXUAL
17668,URSRVD,2,YOU ARE SERVED,"YOU, HOSTILE",N,1,YOU ARE SERVED
19236,PIETRUK,1,PIE AS OF THE CAKE PIE AND TRUCK BECAUSE THIS IS GOING ON A TRUCK THAT DELIVERS PIE,"PIE, SEXUAL",N,1,PIE AS OF THE CAKE PIE AND TRUCK BECAUSE THIS IS GOING ON A TRUCK THAT DELIVERS PIE
10365,TIKITNT,7,TIKI TERRI N TOM (OUR INTIALS),TNT-BOMB?,N,2,TNT-BOMB?
997,NOTCOPS,5,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS ITS NOT THE POLICE,COP?,N,1,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS ITS NOT THE POLICE
18227,RD&NECK,2,RED NECK,RED NECK,N,1,RED NECK
15535,MIKE661,2,NAME AND MONTH YEAR BORN,AREA CODE,N,1,NAME AND MONTH YEAR BORN
13516,LAHOOD4,2,LAST NAME,LA HOOD? (LAST NAME IS LAHOOD),Y,1,LAST NAME
17253,31OHWKI,2,LOS ANGELES IOWA HAWKEYES,310 = AREA CODE,N,1,LOS ANGELES IOWA HAWKEYES
8412,CAMA55,3,no quickweb,"no 1955 car, not his birth year. ASS? Last name is Camarena.",N,2,"no 1955 car, not his birth year. ASS? Last name is Camarena."
14581,2TAL4YU,2,TO TALL FOR YOU,"U, HOSTILE",N,1,TO TALL FOR YOU
15437,KASH 14,2,KASH = KASHMIR (FAVORITE SONG) 14 = 2014 (YEAR OF VEHICLE),14 = GANG NUMBER,N,1,KASH = KASHMIR (FAVORITE SONG) 14 = 2014 (YEAR OF VEHICLE)
16779,SUPRB69,1,1969 SUPER BEE,"69, SEXUAL REFERENCE",Y,3,"1969 SUPER BEE 69, SEXUAL REFERENCE"
6690,DIRTY V,1,PLUMBING JOBS,DIRTY VAGINA,N,2,DIRTY VAGINA
7298,I$MYCAT,1,MY WIFES NAME,I LOVE MY CAT,N,2,I LOVE MY CAT
286,LMTHANG,1,LITTLE MOTOR THING,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",N,2,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW"
3283,YU LEWZ,2,YOU LOSE,YOU LOSE,N,1,YOU LOSE
16376,GETVJOB,1,ITS MY CAR ITS A CTS-V WITH A CORVETTE MOTOR SO ITS MY LOGO OR BRAND IN A WAY,LIKE BLOW JOB BUT VAGINA JOB,N,2,LIKE BLOW JOB BUT VAGINA JOB
19494,CONAN G,2,ITS SHORT FOR MY NICK NAME: CONAN GUO,"G=GANGSTER, HIS LAST NAME IS GUO",N,1,ITS SHORT FOR MY NICK NAME: CONAN GUO
5080,COPS MTR,4,COPS MATTER,"COPS, I THINK ITS SUPPORTIVE BUT NOT SURE IF CUSTOMER COULD BE TARGETED",N,1,COPS MATTER
4864,NFLXCHL,1,NETFLIX CHANNEL,NETFLIX CHILL,Y,2,NETFLIX CHILL
16556,WARPONI,2,NATIVE AMERICAN TERM FOR A HORSE THAT CARRIED THEM IN TO BATTLE.,"WAR, HOSTILE",N,2,"WAR, HOSTILE"
3167,G RUSTY,2,GUSTAVOS TRUCK NAME RUSTY,G,N,1,GUSTAVOS TRUCK NAME RUSTY
8826,FUNDIO,3,"reccognition of la fundidora de fierro y acero de monrterre, a tourist attraction in mexico",Spanish slang for ass or asshole,N,2,Spanish slang for ass or asshole
20174,DCBZ TX,3,DALLAS COWBOYS TEXAS,"BZ, BEEZY = BITCH",Y,1,DALLAS COWBOYS TEXAS
14037,OGRCON1,2,INITIALS OF OWNER AND HIS FIRST TRUCK,OG-- OSCAR GARCIA,N,1,INITIALS OF OWNER AND HIS FIRST TRUCK
18827,WAVYAF,3,WELL-GROOMED INDIVIDUAL,AF CAN STAND FOR AS FUCK,N,3,WELL-GROOMED INDIVIDUAL AF CAN STAND FOR AS FUCK
18445,SMOKT,7D,SMOKED OUT PAINT JOB,"SMOKED, DRUG REFERENCE",N,2,"SMOKED, DRUG REFERENCE"
38,DAD$PP,2,DAD LOVES PP,PP AS IN URINE,N,1,DAD LOVES PP
1252,PCP SRT,D,PLUM CRAZY PURPLE STREET AND RACING TECHNOLOGEY,PCP-ANGELDUST A DRUG,N,2,PCP-ANGELDUST A DRUG
17694,EL 8A,1,my last name,8 LOOKS LIKE ATE,Y,1,my last name
4131,HOE TOX,2,PLASTIC SURGERY,HOE,N,3,PLASTIC SURGERY HOE
16411,UGLY  SS,2,ITS A 1963 CHEVY,UGLY ASS OR SIMPLY SS TYPE,N,3,ITS A 1963 CHEVY UGLY ASS OR SIMPLY SS TYPE
5372,BIG A JP,2,NOT ON QUICK WEB YET,BIG ASS JEEP/JAP,N,2,BIG ASS JEEP/JAP
14554,R8RSCUM,3,WHAT THE RAIDER FANS SOMETIMES CALL  THEMSELVES. WE ARE RAIDER FANS,RAIDER SCUM OR RAIDERS CUM. EITHER ONE IS INAPPROPRIATE AND VULGAR,N,2,RAIDER SCUM OR RAIDERS CUM. EITHER ONE IS INAPPROPRIATE AND VULGAR
13913,YOGI CAT,,I TEACH YOGA AND LOVE CATS,CAT,Y,1,I TEACH YOGA AND LOVE CATS
21390,SHRK FN,3,SJ SHARKS HOCKEY FAN,FN CAN STAND FOR FUCKING,Y,1,SJ SHARKS HOCKEY FAN
5639,OG49ERS,2,OLD SCHOOL 49ERS FAN,OG,N,1,OLD SCHOOL 49ERS FAN
8589,BSTRDS,2,"2ND BATTALION, 4TH MARINE REGIMENT MONIKER.",BASTARDS,N,2,BASTARDS
4951,OG $4L,2,MY FIANCE NAME IS OWEN GARNETT AND MY NICKNAME IS LOLA. OWEN GARNETT HAS LOVE FOR LOLA.,OG ORIGINAL GANGSTER,N,3,MY FIANCE NAME IS OWEN GARNETT AND MY NICKNAME IS LOLA. OWEN GARNETT HAS LOVE FOR LOLA. OG ORIGINAL GANGSTER
5845,TRK YEAA,3,TRUCK YEA A SONG,TRUCK YEAH FUCK YEAH,Y,2,TRUCK YEAH FUCK YEAH
6552,DD WANDA,1,"MY FIRST NAME IS WANDA, NICKNAME IS DEEDEE. ALWAYS GONE BY DDWANDA.",DOUBLE D WANDA. MIDDLE INITIAL IS D.,N,2,DOUBLE D WANDA. MIDDLE INITIAL IS D.
16837,F URESTI,3,FIRST INITIAL AND LAST NAME.,EFF YOU. BUT IT IS CUSTOMER FIRST INITIAL AND LAST NAME,N,2,EFF YOU. BUT IT IS CUSTOMER FIRST INITIAL AND LAST NAME
8016,BGAS WNG,1,NO QUICKWEB,BIG ASS WANG,N,2,BIG ASS WANG
8482,CHRMNMF,3,I AM THE CHAIRMAN OF OUR MINI FANTASY FOOTBALL LEAGUE COMMITTEE.,CHAIRMAN MOTHER FUCKER,N,2,CHAIRMAN MOTHER FUCKER
23371,YOUNG YG,2,NICK NAME,YOUNG GANGSTER,N,2,YOUNG GANGSTER
761,GNSQAD,2,GOON SQUAD,GOOGLE AND URBAN SAY GROUP OF CRIMINALS,N,2,GOOGLE AND URBAN SAY GROUP OF CRIMINALS
1634,RED BUL8,2,RED BULL V8 ENGINE,"PULLED FOR RED, ALSO BULLET?",N,2,"PULLED FOR RED, ALSO BULLET?"
11413,KLNSHOT,2,GRANDPA ALWAYS SAYS CLEAN SHOT!.,WEAPON,N,1,GRANDPA ALWAYS SAYS CLEAN SHOT!.
8008,RED ROGR,7,MY HAIR COLOR AND MY NAME,RED-GANG. CUSTOMERS NAME IS ROGER,Y,2,RED-GANG. CUSTOMERS NAME IS ROGER
15484,EWEFKR,3,EAST WEST ELECTRONICS FILTER KING RADIOS,"FKR, SHORT FOR FUCKER",N,2,"FKR, SHORT FOR FUCKER"
22859,BODHI3,2,"BODHI IS A TYPE OF TREE IN INDIA AND THAILAND THAT HOLDS SPECIAL MEANING FROM A BUDDHIST PERSPECTIVE, THREE IS JUST A NUMBER",I3 LOOKS LIKE 13,N,1,"BODHI IS A TYPE OF TREE IN INDIA AND THAILAND THAT HOLDS SPECIAL MEANING FROM A BUDDHIST PERSPECTIVE, THREE IS JUST A NUMBER"
8969,EFFSBLK,3,FUCK BLACKS,EF-SHORT FOR FUCK,N,1,FUCK BLACKS
1969,HACK U,2,I AM A SECIRITY ENGINEER AND HACKING IS PART OF MY JOB. I HAD THE PALTE H4CK U WHEN I WAS IN AZ AND I WANT TO KEEP THE SAME PLATE CHANGED TO CA REGULATIONS.,LIKE CUT YOU UP OR HACK YOUR PC?,N,1,I AM A SECIRITY ENGINEER AND HACKING IS PART OF MY JOB. I HAD THE PALTE H4CK U WHEN I WAS IN AZ AND I WANT TO KEEP THE SAME PLATE CHANGED TO CA REGULATIONS.
21331,GET WOD,1,FIREWOOD SALES,"SIMILAR TO GET WOOD, WOOD CAN BE ANOTHER NAME FOR PENIS. GET WOOD IS SIMILAR TO GET HEAD, SEXUAL",N,2,"SIMILAR TO GET WOOD, WOOD CAN BE ANOTHER NAME FOR PENIS. GET WOOD IS SIMILAR TO GET HEAD, SEXUAL"
23254,FNDRY 1,3,"MY BUSINESS, THE FOUNDRY",EFFIN DRY ONE,N,2,EFFIN DRY ONE
2544,IH8BIFF,2,I HATE BIFF,I HATE,N,1,I HATE BIFF
866,IPA PRN,1,I AM A MICRO BREWER OF IPA. PRN MEANS AS NEEDED,BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN,N,2,BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN
2111,TEARUP,2,not on quickweb yet,tear up like cry or tear up like destroy,N,2,tear up like cry or tear up like destroy
22086,DKHOR35,1,DARK HORSE 35,"DKHOR IS SIMILAR TO DICK WHORE, SEXUAL REFERENCE",N,2,"DKHOR IS SIMILAR TO DICK WHORE, SEXUAL REFERENCE"
3380,HELAPNO,3,JALAPENO,HELLA,Y,1,JALAPENO
21484,KILLEEN,2,LAST NAME,"THE CUSTOMERS LAST NAME IS KILLEEN HOWEVER IT LOOKS SIMILAR TO KILLEN, SOME MAY TAKE IT AS HOSTILE",N,1,LAST NAME
12189,NUT JOB,1,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",COULD HAVE SEXUAL CONNOTATION,Y,1,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS."
22223,GOLDIN P,1,MY COMPANY NAME,GOLDEN SHOWER,N,2,GOLDEN SHOWER
23347,LVOVRH8,2,LOVE OVER HATE,LOVE OVER HATE,Y,2,LOVE OVER HATE
10719,BDKTYKC,,BAD KITTY KASEY,BAD KITTY,N,2,BAD KITTY
6847,GRINDIT,1,I OWN A WOOD GRINDING BUSINESS,COULD BE SEXUAL,N,2,COULD BE SEXUAL
22055,IHUNTER,2,I AM A HUNTER,"HUNTER, COULD BE CONSIDERED HOSTILE",Y,1,I AM A HUNTER
22857,BAD 6D9,1,BAD 69,PULLED FOR 69 (CONVERSION) - on a 69 pontiac,Y,1,BAD 69
19343,MSNIKA,2,MS.NIKA,NIKA CAN BE ANOTHER WORD FOR NIGGA (CUSTOMERS NAME IS TONIKA),N,1,MS.NIKA
16785,UMTACOS,1,UM TACOS,SEXUAL REFERENCE,N,1,UM TACOS
6971,G GOMEZ,2,Name of Son,G AS IN GANGSTER,N,1,Name of Son
2283,831 SURF,2,AREA SURF,CA AREA CODE,N,3,AREA SURF CA AREA CODE
10095,FOOKDUP,3,COUSIN NAME,FUCKED  UP,N,2,FUCKED  UP
3445,LTSBRN1,D,LITTLE SNOWBOARDERS ARE NUMBER 1,LETS BURN ONEâ A JOINT,N,2,LETS BURN ONEâ A JOINT
4732,THZ NUTS,1,I SELL ASSORTED NUTS AT THE STREET FAIRS,THESE NUTS,N,2,THESE NUTS
8959,SHTSHAK,3,STEVENS HAPPY TIME SHACK,SHIT SHACK,N,2,SHIT SHACK
13183,YRU FAT,2,WY ARE YOU FAT,WHY ARE YOU FAT,N,2,WHY ARE YOU FAT
13957,JUICE 88,,NAME IN ENGLISH YEAR OF CAR,88 HITLER REFERENCE,N,2,88 HITLER REFERENCE
22136,UP GANG,2,RAP LABEL,"GANG, GANG REFERENCE",N,2,"GANG, GANG REFERENCE"
7003,DVEL666,2,NICKNAME VARIATION OF FAVORITE SPORTS TEAM & FAVORITE NUMBER,DEVIL 666,Y,2,DEVIL 666
15579,R69DART,1,OUR 1969 DODGE DART,"69, SEXUAL REFERENCE",N,2,"69, SEXUAL REFERENCE"
5736,RED ETIC,2,RED E-TICKET RIDE,RED=GANG COLOR,Y,2,RED=GANG COLOR
18094,DA SUCIA,,THE DIRTY CAR,DIRTY IN SPANISH,N,2,DIRTY IN SPANISH
6462,GOON RJK,,"COMBINATION OF MY FAVORITYE PROFESSIONAL SOCCER TEAM, ARSENAL AND TEAM NAME AND THE MODEL TYPE OF MY JEEP WRANGLER WHICH IS REFERRED TO AS A JK MODEL",GOON THUG,N,2,GOON THUG
6418,POO MNY,7,PLUMBING CONTRACTOR HOW I MAKE MY MONEY,POO MONEY,N,2,POO MONEY
11321,NTHWK13,D,NIGHT HAWK 2013,13 IS GANG RELATED,N,1,NIGHT HAWK 2013
20142,8ONE8DC,2,8ONE8 MEANS THE AREA CODE I LIVE IN AND DC IS MY INITIALS DAVID CONTRERAS,818=WINNETKA AREA CODE,N,1,8ONE8 MEANS THE AREA CODE I LIVE IN AND DC IS MY INITIALS DAVID CONTRERAS
2625,GXCMNDX,,GALACTIC MAN DIME,GO CAMANDO CUSTOMERS ARE USING X AS SUBSTITUTIONS,N,2,GO CAMANDO CUSTOMERS ARE USING X AS SUBSTITUTIONS
19976,RS7NICA,2,INITIALS FOR NAME. DAY BORN(7) NICA FOR NICARAGUA,NICA CAN BE ANOTHER WORD FOR NIGGA,N,2,NICA CAN BE ANOTHER WORD FOR NIGGA
17806,YPAPA D,2,WHY PAPA D,PAPA D,N,1,WHY PAPA D
11712,LARSCAT,1,LARRYS KAT. OUR TWO NAMES TOGETHER.,"CAT=PUSSY, NO CAT CAR (Mary Kathleen)",Y,1,LARRYS KAT. OUR TWO NAMES TOGETHER.
6012,DAM 4WD,3,DAVID ALAN MCCLAFFERTY 4 WHEEL DRIVE,DAMN? IT IS HIS INTIALS DAM,N,1,DAVID ALAN MCCLAFFERTY 4 WHEEL DRIVE
11503,BL3UBYU,2,BLUE BAYOU,"BLUE, GANG REFERENCE",Y,1,BLUE BAYOU
12418,KUNEB8O,,MY NICK NAME AND MODEL OF THE CRUISER,SIMILAR TO COON WHICH CAN BE A RACIAL TERM,N,2,SIMILAR TO COON WHICH CAN BE A RACIAL TERM
